"var","categoria","Muy buena","Buena","Mala","Muy mala","No sabe"
"P07","Inflación",0.304,0.343,0.473,0.349,0.183
"P07","Inseguridad",0.145,0.118,0.065,0.149,0.101
"P07","Pandemia",0.156,0.082,0.155,0.056,0.052
"P07","Educación",0.061,0.144,0.036,0.105,0.023
"P07","Transporte público",0.009,0.016,0,0,0.076
"P07","Desempleo",0.136,0.156,0.062,0.165,0.145
"P07","Corrupción",0.051,0.031,0.194,0.154,0.202
"P07","Vivienda",0.077,0.009,0,0.003,0.012
"P07","Otros",0.025,0.053,0.015,0.009,0.005
"P07","No sabe",0.036,0.048,0,0.01,0.201
"P08","Gerardo Zamora",0.853,0.689,0.131,0.136,0.136
"P08","Pablo Mirolo",0.024,0.05,0.094,0.142,0.11
"P08","Rodrigo Posse",0,0.033,0.125,0.194,0.002
"P08","Natalia Neme",0.027,0.027,0.072,0.074,0
"P08","Emilio Rached",0.002,0.027,0.181,0.085,0.101
"P08","Marcelo Lugones",0,0.011,0.071,0.108,0.043
"P08","No sabe",0.094,0.163,0.326,0.261,0.608
"P09","Gerardo Zamora",0.64,0.461,0.231,0.133,0.291
"P09","Pablo Mirolo",0.085,0.194,0.107,0.158,0.12
"P09","Rodrigo Posse",0.002,0.016,0.099,0.143,0.014
"P09","Natalia Neme",0.029,0.02,0.146,0.16,0.006
"P09","Emilio Rached",0.058,0.035,0.1,0.119,0.109
"P09","Marcelo Lugones",0.003,0.038,0.079,0.046,0
"P09","No sabe",0.183,0.236,0.238,0.241,0.46
"P10","A los candidatos del Frente Cívico por Santiago",0.698,0.513,0.266,0.103,0.276
"P10","A los candidatos del Frente de Todos",0.061,0.063,0.136,0.058,0.035
"P10","A los candidatos de Cambiemos",0.016,0.098,0.319,0.414,0.158
"P10","A otros candidatos",0.038,0.047,0.127,0.277,0.004
"P10","No sabe",0.187,0.279,0.152,0.148,0.527
"P11","Mucho mejor",0.24,0.109,0.066,0,0.114
"P11","Mejor",0.225,0.278,0.014,0.016,0.064
"P11","Peor",0.269,0.273,0.167,0.154,0.168
"P11","Mucho peor",0.155,0.159,0.748,0.816,0.399
"P11","No sabe",0.111,0.181,0.005,0.014,0.255
"P12","Mucho mejor",0.45,0.147,0,0,0.017
"P12","Mejor",0.278,0.5,0.068,0.091,0.169
"P12","Peor",0.132,0.235,0.459,0.145,0.192
"P12","Mucho peor",0.02,0.011,0.464,0.763,0.225
"P12","No sabe",0.12,0.107,0.009,0.001,0.397
"P13","Mucho mejor",0.43,0.155,0,0,0
"P13","Mejor",0.369,0.511,0.059,0.123,0.438
"P13","Peor",0.107,0.214,0.861,0.201,0.067
"P13","Mucho peor",0.051,0,0.071,0.666,0.021
"P13","No sabe",0.043,0.12,0.009,0.01,0.474
"P14","Mucho mejor",0.285,0.203,0,0,0.129
"P14","Mejor",0.388,0.425,0.219,0.278,0
"P14","Peor",0.114,0.169,0.485,0,0.139
"P14","Mucho peor",0.123,0.191,0.296,0.722,0.043
"P14","No sabe",0.09,0.012,0,0,0.689
"P15","Muy buena",0.538,0.097,0.011,0.011,0.12
"P15","Buena",0.242,0.49,0.035,0.01,0.16
"P15","Mala",0.094,0.159,0.335,0.165,0.029
"P15","Muy mala",0.078,0.161,0.587,0.81,0.346
"P15","No sabe",0.048,0.093,0.032,0.004,0.345
"P17","Muy buena",0.311,0.077,0,0,0
"P17","Buena",0.244,0.492,0.035,0.138,0.106
"P17","Mala",0.139,0.324,0.551,0,0
"P17","Muy mala",0.189,0.107,0.414,0.722,0.109
"P17","No sabe",0.117,0,0,0.14,0.785
"P19","Muy buena",0.068,0.019,0.156,0.261,0.069
"P19","Buena",0.053,0.097,0.255,0.131,0.087
"P19","Ni buena ni mala",0.173,0.306,0.294,0.315,0.243
"P19","Mala",0.295,0.229,0.143,0.139,0.168
"P19","Muy mala",0.345,0.206,0.119,0.154,0.157
"P19","No sabe",0.066,0.143,0.033,0,0.276
"P20","Muy buena",0.568,0.177,0.008,0.128,0.16
