"var","categoria","Muy buena","Buena","Mala","Muy mala","No sabe"
"P07","Inflación",0.262,0.319,0.563,0.358,0.07
"P07","Inseguridad",0.158,0.101,0.077,0.139,0.072
"P07","Pandemia",0.167,0.096,0.098,0.097,0.075
"P07","Educación",0.053,0.106,0.027,0.068,0.206
"P07","Transporte público",0.019,0.004,0.013,0,0.092
"P07","Desempleo",0.239,0.149,0.138,0.058,0.064
"P07","Corrupción",0.009,0.054,0.066,0.218,0.069
"P07","Vivienda",0.056,0.1,0.015,0.004,0.004
"P07","Otros",0.009,0.047,0.003,0.023,0.065
"P07","No sabe",0.028,0.024,0,0.035,0.283
"P08","Gerardo Zamora",0.831,0.765,0.516,0.169,0.37
"P08","Pablo Mirolo",0.093,0.019,0.143,0.063,0.004
"P08","Rodrigo Posse",0,0.038,0.01,0.148,0
"P08","Natalia Neme",0.041,0.015,0.041,0.054,0.028
"P08","Emilio Rached",0.006,0.004,0.024,0.166,0
"P08","Marcelo Lugones",0,0,0.02,0.097,0.018
"P08","No sabe",0.029,0.159,0.246,0.303,0.58
"P09","Gerardo Zamora",0.648,0.529,0.443,0.152,0.436
"P09","Pablo Mirolo",0.172,0.153,0.184,0.083,0.005
"P09","Rodrigo Posse",0.004,0.006,0.023,0.121,0
"P09","Natalia Neme",0.041,0.019,0.048,0.129,0.008
"P09","Emilio Rached",0.026,0.014,0.102,0.154,0
"P09","Marcelo Lugones",0.002,0.028,0.023,0.06,0
"P09","No sabe",0.107,0.251,0.177,0.301,0.551
"P10","A los candidatos del Frente Cívico por Santiago",0.761,0.633,0.423,0.13,0.331
"P10","A los candidatos del Frente de Todos",0.084,0.09,0.037,0.077,0.018
"P10","A los candidatos de Cambiemos",0.011,0.034,0.151,0.396,0.008
"P10","A otros candidatos",0.045,0.025,0.137,0.149,0.036
"P10","No sabe",0.099,0.218,0.252,0.248,0.607
"P11","Mucho mejor",0.379,0.147,0.073,0.002,0
"P11","Mejor",0.306,0.376,0.037,0,0.038
"P11","Peor",0.214,0.253,0.332,0.15,0.276
"P11","Mucho peor",0.026,0.052,0.524,0.811,0.235
"P11","No sabe",0.075,0.172,0.034,0.037,0.451
"P12","Mucho mejor",0.435,0.293,0.127,0.022,0.102
"P12","Mejor",0.297,0.504,0.28,0.075,0.106
"P12","Peor",0.169,0.13,0.381,0.222,0.244
"P12","Mucho peor",0.003,0.006,0.188,0.586,0.05
"P12","No sabe",0.096,0.067,0.024,0.095,0.498
"P13","Mucho mejor",0.402,0.284,0.057,0.048,0
"P13","Mejor",0.386,0.55,0.259,0.127,0.303
"P13","Peor",0.141,0.085,0.625,0.421,0.084
"P13","Mucho peor",0.035,0.018,0.009,0.354,0.118
"P13","No sabe",0.036,0.063,0.05,0.05,0.495
"P14","Mucho mejor",0.309,0.273,0.053,0.048,0.093
"P14","Mejor",0.358,0.3,0.353,0.405,0.037
"P14","Peor",0.122,0.194,0.166,0.193,0.129
"P14","Mucho peor",0.123,0.177,0.428,0.354,0
"P14","No sabe",0.088,0.056,0,0,0.741
"P16","Muy buena",0.828,0.376,0.22,0.087,0.21
"P16","Buena",0.103,0.521,0.256,0.125,0.278
"P16","Mala",0.008,0.024,0.342,0.29,0.06
"P16","Muy mala",0.007,0.006,0.162,0.383,0.008
"P16","No sabe",0.054,0.073,0.02,0.115,0.444
"P17","Muy buena",0.275,0.138,0.054,0,0.129
"P17","Buena",0.216,0.499,0.285,0.242,0.041
"P17","Mala",0.164,0.194,0.173,0.352,0.092
"P17","Muy mala",0.161,0.169,0.393,0.406,0
"P17","No sabe",0.184,0,0.095,0,0.738
"P19","Muy buena",0.061,0.008,0.036,0.256,0
"P19","Buena",0.031,0.078,0.118,0.219,0
"P19","Ni buena ni mala",0.199,0.239,0.322,0.28,0.209
"P19","Mala",0.278,0.33,0.303,0.091,0.061
"P19","Muy mala",0.388,0.303,0.221,0.089,0.104
"P19","No sabe",0.043,0.042,0,0.065,0.626
"P20","Muy buena",0.72,0.253,0.143,0.033,0.21
"P20","Buena",0.126,0.494,0.09,0.019,0.02
"P20","Ni buena ni mala",0.122,0.223,0.498,0.132,0.277
"P20","Mala",0.002,0.01,0.26,0.247,0.023
"P20","Muy mala",0,0,0.009,0.567,0.185
"P20","No sabe",0.03,0.02,0,0.002,0.285
"P21","Muy buena",0.769,0.456,0.227,0.052,0.299
"P21","Buena",0.106,0.266,0.03,0,0.097
"P21","Ni buena ni mala",0.071,0.195,0.34,0.039,0.208
"P21","Mala",0.03,0.052,0.187,0.161,0.025
"P21","Muy mala",0.013,0.025,0.161,0.715,0.027
"P21","No sabe",0.011,0.006,0.055,0.033,0.344
"P22","Muy buena",0.029,0.047,0.128,0.303,0.011
"P22","Buena",0.071,0.155,0.108,0.292,0
"P22","Ni buena ni mala",0.365,0.338,0.262,0.144,0.286
"P22","Mala",0.143,0.068,0.203,0.088,0.01
"P22","Muy mala",0.129,0.057,0.04,0.045,0.004
"P22","No sabe",0.263,0.335,0.259,0.128,0.689
"P23","Muy buena",0.193,0.071,0.036,0.041,0
"P23","Buena",0.206,0.384,0.192,0.067,0.047
"P23","Ni buena ni mala",0.344,0.328,0.397,0.11,0.294
"P23","Mala",0.1,0.069,0.191,0.183,0.024
"P23","Muy mala",0.023,0.013,0.1,0.523,0.027
"P23","No sabe",0.134,0.135,0.084,0.076,0.608
"P24","Muy buena",0.017,0.053,0.022,0.379,0
"P24","Buena",0.027,0.029,0.077,0.148,0.028
"P24","Ni buena ni mala",0.273,0.289,0.393,0.237,0.177
"P24","Mala",0.139,0.207,0.134,0.027,0.201
"P24","Muy mala",0.318,0.23,0.156,0.085,0.038
"P24","No sabe",0.226,0.192,0.218,0.124,0.556
"P25","Muy buena",0.124,0.042,0.113,0.454,0
"P25","Buena",0.052,0.09,0.103,0.16,0.059
"P25","Ni buena ni mala",0.241,0.381,0.403,0.179,0.257
"P25","Mala",0.184,0.141,0.071,0.033,0.132
"P25","Muy mala",0.273,0.16,0.134,0.026,0.014
"P25","No sabe",0.126,0.186,0.176,0.148,0.538
"P26","Muy buena",0.735,0.53,0.215,0.089,0.534
"P26","Buena",0.096,0.351,0.277,0.112,0.034
"P26","Ni buena ni mala",0.132,0.102,0.333,0.219,0.236
"P26","Mala",0,0.013,0.125,0.145,0.03
"P26","Muy mala",0.025,0.002,0.045,0.385,0.016
"P26","No sabe",0.012,0.002,0.005,0.05,0.15
"P27","Muy buena",0.221,0.072,0.021,0.062,0.026
"P27","Buena",0.238,0.262,0.181,0.112,0
"P27","Ni buena ni mala",0.368,0.31,0.547,0.369,0.402
"P27","Mala",0.029,0.034,0.048,0.055,0
"P27","Muy mala",0.018,0.03,0.101,0.236,0.042
"P27","No sabe",0.126,0.292,0.102,0.166,0.53
"P28","Muy buena",0.03,0,0,0.148,0
"P28","Buena",0.049,0.062,0.037,0.085,0
"P28","Ni buena ni mala",0.397,0.338,0.545,0.342,0.167
"P28","Mala",0.058,0.05,0.085,0.042,0.026
"P28","Muy mala",0.06,0.052,0.076,0.095,0.021
"P28","No sabe",0.406,0.498,0.257,0.288,0.786
"P29","Muy buena",0.025,0.012,0.027,0.097,0
"P29","Buena",0.08,0.156,0.133,0.146,0
"P29","Ni buena ni mala",0.424,0.428,0.309,0.322,0.145
"P29","Mala",0.088,0.026,0.092,0.056,0
"P29","Muy mala",0.06,0.046,0.105,0.077,0.021
"P29","No sabe",0.323,0.332,0.334,0.302,0.834
"P30","Muy buena",0.072,0.041,0.003,0.163,0
"P30","Buena",0.142,0.213,0.143,0.223,0
"P30","Ni buena ni mala",0.4,0.3,0.394,0.198,0.131
"P30","Mala",0.119,0.131,0.06,0.094,0.065
"P30","Muy mala",0.078,0.057,0.141,0.097,0.022
"P30","No sabe",0.189,0.258,0.259,0.225,0.782
"P31","Muy buena",0.052,0.031,0.014,0.162,0
"P31","Buena",0.032,0.195,0.077,0.126,0.112
"P31","Ni buena ni mala",0.43,0.415,0.449,0.299,0.155
"P31","Mala",0.032,0.02,0.043,0.026,0
"P31","Muy mala",0.039,0.034,0.03,0.122,0.022
"P31","No sabe",0.415,0.305,0.387,0.265,0.711
"P32","Muy buena",0.073,0.035,0.006,0.107,0
"P32","Buena",0.05,0.072,0.055,0.098,0
"P32","Ni buena ni mala",0.316,0.386,0.439,0.33,0.177
"P32","Mala",0.068,0.017,0.044,0.015,0.024
"P32","Muy mala",0.025,0.017,0.036,0.1,0.021
"P32","No sabe",0.468,0.473,0.42,0.35,0.778
"P33","Muy buena",0.06,0.082,0.092,0.093,0.143
"P33","Buena",0.145,0.207,0.078,0.235,0
"P33","Ni buena ni mala",0.263,0.368,0.39,0.284,0.131
"P33","Mala",0.165,0.172,0.19,0.13,0.023
"P33","Muy mala",0.134,0.034,0.11,0.134,0.054
"P33","No sabe",0.233,0.137,0.14,0.124,0.649
"P34","Muy buena",0.761,0.541,0.222,0.108,0.513
"P34","Buena",0.078,0.335,0.393,0.068,0.062
"P34","Ni buena ni mala",0.073,0.086,0.219,0.189,0.045
"P34","Mala",0.065,0.024,0.075,0.179,0
"P34","Muy mala",0.006,0.002,0.023,0.309,0.051
"P34","No sabe",0.017,0.012,0.068,0.147,0.329
"P35","Muy buena",0.274,0.27,0.09,0.07,0.048
"P35","Buena",0.291,0.313,0.167,0.038,0
"P35","Ni buena ni mala",0.252,0.313,0.378,0.275,0.094
"P35","Mala",0.027,0.009,0.164,0.089,0
"P35","Muy mala",0.064,0.008,0.028,0.356,0.05
"P35","No sabe",0.092,0.087,0.173,0.172,0.808
