"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto","opciones"
"Mucho mejor",0.197,0.178,0.214,0.14,0.195,0.295,0.191,0.247,0.186,0.087,0.22,0.276,0.172,5
"Mejor",0.26,0.23,0.289,0.266,0.251,0.25,0.294,0.251,0.251,0.299,0.289,0.351,0.23,5
"Peor",0.204,0.224,0.185,0.176,0.246,0.161,0.22,0.219,0.154,0.245,0.242,0.118,0.197,5
"Mucho peor",0.227,0.237,0.218,0.228,0.255,0.194,0.191,0.187,0.238,0.312,0.133,0.11,0.297,5
"No sabe",0.112,0.131,0.094,0.19,0.053,0.1,0.104,0.096,0.171,0.057,0.116,0.145,0.104,5
"Positiva",0.457,0.408,0.503,0.406,0.446,0.545,0.485,0.498,0.437,0.386,0.509,0.627,0.402,3
"Negativa",0.431,0.461,0.403,0.404,0.501,0.355,0.411,0.406,0.392,0.557,0.375,0.228,0.494,3
"No sabe",0.112,0.131,0.094,0.19,0.053,0.1,0.104,0.096,0.171,0.057,0.116,0.145,0.104,3
