"var","categoria","Mucho mejor","Mejor","Peor","Mucho peor","No sabe"
"P07","Inflación",0.336,0.243,0.386,0.295,0.235
"P07","Inseguridad",0.186,0.058,0.065,0.168,0.111
"P07","Pandemia",0.181,0.203,0.08,0.08,0.032
"P07","Educación",0,0.122,0.07,0.09,0.067
"P07","Transporte público",0,0.007,0.08,0,0.032
"P07","Desempleo",0.174,0.171,0.09,0.053,0
"P07","Corrupción",0.016,0.022,0.181,0.314,0.111
"P07","Vivienda",0.035,0.038,0.008,0,0.069
"P07","Otros",0.041,0.075,0.04,0,0.183
"P07","No sabe",0.031,0.061,0,0,0.16
"P08","Gerardo Zamora",0.959,0.659,0.232,0.15,0.332
"P08","Pablo Mirolo",0.016,0.017,0.103,0.134,0.077
"P08","Rodrigo Posse",0,0.024,0.016,0.298,0
"P08","Natalia Neme",0,0.009,0.135,0,0.158
"P08","Emilio Rached",0,0.007,0.125,0.077,0.057
"P08","Marcelo Lugones",0,0.029,0.107,0.15,0
"P08","No sabe",0.025,0.255,0.282,0.191,0.376
"P09","Gerardo Zamora",0.678,0.473,0.183,0.103,0.505
"P09","Pablo Mirolo",0.084,0.108,0.089,0.134,0.146
"P09","Rodrigo Posse",0.112,0.011,0.123,0.057,0
"P09","Natalia Neme",0.012,0.012,0.081,0.249,0.014
"P09","Emilio Rached",0,0.035,0.069,0.162,0.023
"P09","Marcelo Lugones",0.016,0.073,0.081,0.031,0.025
"P09","No sabe",0.098,0.288,0.374,0.264,0.287
"P10","A los candidatos del Frente Cívico por Santiago",0.794,0.597,0.316,0.103,0.371
"P10","A los candidatos del Frente de Todos",0.048,0.087,0.126,0.093,0
"P10","A los candidatos de Cambiemos",0.012,0.085,0.309,0.488,0.156
"P10","A otros candidatos",0,0.044,0.079,0.171,0.172
"P10","No sabe",0.146,0.187,0.17,0.145,0.301
"P11","Mucho mejor",0.274,0.128,0.064,0,0.025
"P11","Mejor",0.444,0.285,0.044,0,0.25
"P11","Peor",0.178,0.301,0.354,0.01,0.386
"P11","Mucho peor",0.058,0.149,0.465,0.99,0.205
"P11","No sabe",0.046,0.137,0.073,0,0.134
"P12","Mucho mejor",0.701,0.057,0.019,0.05,0.032
"P12","Mejor",0.198,0.637,0.023,0,0.171
"P12","Peor",0.012,0.124,0.789,0.104,0.105
"P12","Mucho peor",0,0.075,0.09,0.846,0.014
"P12","No sabe",0.089,0.107,0.079,0,0.678
"P15","Muy buena",0.494,0.274,0.127,0.072,0.102
"P15","Buena",0.398,0.444,0.087,0.042,0.202
"P15","Mala",0.043,0.112,0.341,0.011,0.084
"P15","Muy mala",0.065,0.1,0.42,0.797,0.156
"P15","No sabe",0,0.07,0.025,0.078,0.456
"P16","Muy buena",0.763,0.381,0.139,0.15,0.174
"P16","Buena",0.237,0.456,0.242,0,0.421
"P16","Mala",0,0.027,0.503,0.094,0.016
"P16","Muy mala",0,0.048,0.099,0.744,0.016
"P16","No sabe",0,0.088,0.017,0.012,0.373
"P19","Muy buena",0.067,0.041,0.087,0.276,0.153
"P19","Buena",0.048,0.073,0.265,0.181,0
"P19","Ni buena ni mala",0.192,0.257,0.282,0.153,0.181
"P19","Mala",0.353,0.298,0.24,0.115,0.288
"P19","Muy mala",0.277,0.266,0.1,0.275,0.159
"P19","No sabe",0.063,0.065,0.026,0,0.219
"P20","Muy buena",0.578,0.299,0.12,0.05,0.106
"P20","Buena",0.237,0.275,0.069,0.122,0.126
"P20","Ni buena ni mala",0.103,0.259,0.221,0.074,0.4
"P20","Mala",0.024,0.097,0.203,0.112,0.07
"P20","Muy mala",0.043,0.024,0.37,0.564,0.147
"P20","No sabe",0.015,0.046,0.017,0.078,0.151
"P21","Muy buena",0.482,0.423,0.197,0.149,0.193
