"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto","opciones"
"Muy buena",0.353,0.272,0.428,0.329,0.354,0.386,0.356,0.427,0.341,0.178,0.486,0.316,0.287,5
"Buena",0.242,0.269,0.217,0.253,0.228,0.265,0.218,0.215,0.23,0.333,0.21,0.297,0.251,5
"Mala",0.154,0.213,0.099,0.109,0.161,0.2,0.179,0.13,0.163,0.202,0.128,0.098,0.176,5
"Muy mala",0.147,0.173,0.123,0.166,0.173,0.114,0.068,0.124,0.162,0.185,0.103,0.139,0.173,5
"No sabe",0.104,0.073,0.133,0.143,0.084,0.035,0.179,0.104,0.104,0.102,0.073,0.15,0.113,5
"Positiva",0.595,0.541,0.645,0.582,0.582,0.651,0.574,0.642,0.571,0.511,0.696,0.613,0.538,3
"Negativa",0.301,0.386,0.222,0.275,0.334,0.314,0.247,0.254,0.325,0.387,0.231,0.237,0.349,3
"No sabe",0.104,0.073,0.133,0.143,0.084,0.035,0.179,0.104,0.104,0.102,0.073,0.15,0.113,3
