"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto"
"Gerardo Zamora",0.413,0.356,0.465,0.489,0.399,0.363,0.327,0.476,0.418,0.245,0.457,0.38,0.393
"Pablo Mirolo",0.123,0.17,0.079,0.13,0.139,0.087,0.11,0.14,0.109,0.099,0.111,0.286,0.103
"Rodrigo Posse",0.039,0.065,0.016,0.001,0.065,0.035,0.067,0.038,0.043,0.037,0.04,0.007,0.044
"Natalia Neme",0.061,0.054,0.067,0.08,0.075,0.016,0.035,0.036,0.077,0.097,0.051,0.023,0.072
"Emilio Rached",0.061,0.064,0.059,0.007,0.072,0.095,0.124,0.043,0.08,0.077,0.045,0.011,0.079
"Marcelo Lugones",0.035,0.036,0.034,0.002,0.029,0.116,0.011,0.016,0.048,0.065,0.046,0.059,0.025
"No sabe",0.268,0.255,0.28,0.291,0.221,0.288,0.326,0.251,0.225,0.38,0.25,0.234,0.284
