"var","categoria","Mucho mejor","Mejor","Peor","Mucho peor","No sabe"
"P07","Inflación",0.135,0.112,0.362,0.277,0.05
"P07","Inseguridad",0.09,0.228,0.22,0.029,0.025
"P07","Pandemia",0.27,0.209,0.043,0.172,0
"P07","Educación",0.29,0.132,0.094,0.018,0
"P07","Transporte público",0.123,0,0,0,0.23
"P07","Desempleo",0,0.187,0.121,0.23,0.142
"P07","Corrupción",0.054,0,0.16,0.191,0
"P07","Vivienda",0,0.046,0,0.044,0.096
"P07","Otros",0.038,0.026,0,0.039,0.048
"P07","No sabe",0,0.06,0,0,0.409
"P08","Gerardo Zamora",0.639,0.614,0.574,0.302,0.353
"P08","Pablo Mirolo",0.241,0.092,0.106,0.2,0
"P08","Rodrigo Posse",0,0,0.011,0,0
"P08","Natalia Neme",0,0,0,0.102,0
"P08","Emilio Rached",0,0.128,0,0.014,0
"P08","Marcelo Lugones",0,0,0.089,0.17,0.132
"P08","No sabe",0.12,0.166,0.22,0.212,0.515
"P09","Gerardo Zamora",0.729,0.291,0.482,0.289,0.303
"P09","Pablo Mirolo",0.21,0.395,0.311,0.2,0.05
"P09","Rodrigo Posse",0,0,0,0.124,0
"P09","Natalia Neme",0,0,0,0.047,0
"P09","Emilio Rached",0,0,0,0.078,0
"P09","Marcelo Lugones",0,0.128,0.043,0.09,0.132
"P09","No sabe",0.061,0.186,0.164,0.172,0.515
"P10","A los candidatos del Frente Cívico por Santiago",0.85,0.579,0.464,0.352,0.378
"P10","A los candidatos del Frente de Todos",0,0.158,0.222,0.048,0
"P10","A los candidatos de Cambiemos",0,0,0.089,0.277,0
"P10","A otros candidatos",0,0.01,0.051,0.042,0
"P10","No sabe",0.15,0.253,0.174,0.281,0.622
"P11","Mucho mejor",0.658,0.168,0.075,0.148,0
"P11","Mejor",0.25,0.156,0.198,0.066,0.274
"P11","Peor",0.054,0.194,0.331,0.079,0.075
"P11","Mucho peor",0,0.282,0.336,0.677,0.32
"P11","No sabe",0.038,0.2,0.06,0.03,0.331
"P12","Mucho mejor",0.712,0.197,0.103,0.12,0.025
"P12","Mejor",0.25,0.578,0.325,0.33,0.142
"P12","Peor",0,0.092,0.344,0.153,0
"P12","Mucho peor",0,0.121,0.124,0.382,0.23
"P12","No sabe",0.038,0.012,0.104,0.015,0.603
"P15","Muy buena",0.501,0.313,0.214,0.151,0.234
"P15","Buena",0.331,0.196,0.253,0.161,0.111
"P15","Mala",0.059,0.21,0.198,0.357,0
"P15","Muy mala",0.059,0.27,0.259,0.331,0
"P15","No sabe",0.05,0.011,0.076,0,0.655
"P16","Muy buena",0.548,0.401,0.25,0.179,0.286
"P16","Buena",0.375,0.422,0.357,0.268,0.036
"P16","Mala",0,0.064,0.298,0.121,0
"P16","Muy mala",0,0.113,0,0.412,0
"P16","No sabe",0.077,0,0.095,0.02,0.678
"P17","Muy buena",0.51,0.063,0.045,0.015,0.088
"P17","Buena",0.313,0.56,0.101,0.077,0.036
"P17","Mala",0,0.257,0.596,0.113,0.025
"P17","Muy mala",0.1,0,0.236,0.795,0.065
"P17","No sabe",0.077,0.12,0.022,0,0.786
"P19","Muy buena",0.046,0,0,0.302,0
"P19","Buena",0,0.154,0.074,0.039,0
"P19","Ni buena ni mala",0.552,0.384,0.364,0.156,0.316
"P19","Mala",0.279,0.155,0.409,0.159,0.142
"P19","Muy mala",0.064,0.23,0.153,0.344,0.096
"P19","No sabe",0.059,0.077,0,0,0.446
