"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.501,0.372,0.379,0.435,0.341,0.361,0.33,0.252
"P06","Bastante",0.293,0.367,0.289,0.302,0.295,0.235,0.249,0.256
"P06","Poco",0.17,0.22,0.241,0.143,0.301,0.305,0.311,0.333
"P06","Nada",0.025,0.035,0.077,0.094,0.039,0.079,0.098,0.088
"P06","No sabe",0.011,0.006,0.014,0.026,0.024,0.02,0.012,0.071
"P07","Siempre",0.276,0.248,0.231,0.254,0.258,0.259,0.38,0.256
"P07","Casi siempre",0.45,0.466,0.347,0.429,0.401,0.411,0.328,0.345
"P07","Casi nunca",0.2,0.229,0.306,0.245,0.247,0.254,0.205,0.206
"P07","Nunca, pero esta es una excepción",0.074,0.057,0.116,0.072,0.094,0.076,0.087,0.193
"P08","Tiene Decidido que va a ir a votar",0.889,0.864,0.847,0.815,0.799,0.884,0.684,0.676
"P08","Tiene dudas sobre si va a ir a  votar",0.072,0.093,0.105,0.158,0.178,0.081,0.204,0.2
"P08","Tiene Decidido que no va a ir a votar",0.039,0.043,0.048,0.027,0.023,0.035,0.112,0.124
"P10","Unión por la Patria",0.76,0.118,0.093,0.307,0.205,0.173,0.26,0.085
"P10","Juntos por el Cambio",0.125,0.777,0.121,0.197,0.286,0.333,0.343,0.258
"P10","Liberales",0.019,0.044,0.635,0.087,0.093,0.041,0.014,0.066
"P10","Izquierda",0.015,0.006,0.018,0.293,0.031,0.047,0.009,0.042
"P10","Otro",0.027,0.015,0.042,0.053,0.245,0.211,0.079,0.112
"P10","No sabe",0.054,0.04,0.091,0.063,0.14,0.195,0.295,0.437
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.727,0.019,0.042,0.194,0.088,0.049,0.185,0.066
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.167,0.01,0.023,0.174,0.101,0.143,0.113,0.062
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.014,0.727,0.046,0.101,0.127,0.076,0.046,0.05
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.024,0.183,0.057,0.161,0.153,0.32,0.213,0.205
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.037,0.792,0.086,0.048,0.067,0.06,0.057
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.002,0.005,0.205,0.006,0.017,0.023,0.036
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.007,0.008,0.014,0.422,0.014,0.042,0.016
"P11","Otros",0.014,0.005,0.016,0.022,0.031,0.268,0.049,0.082
"P11","En blanco",0.005,0.003,0.005,0.024,0.006,0.021,0.205,0.084
"P11","No sabe",0.011,0.007,0.006,0.019,0.018,0.025,0.064,0.342
"P14","Totalmente seguro",0.67,0.642,0.715,0.493,0.493,0.584,0.445,0.352
"P14","Bastante seguro",0.188,0.158,0.115,0.179,0.211,0.183,0.118,0.136
"P14","Algo seguro",0.079,0.115,0.133,0.218,0.213,0.084,0.104,0.132
"P14","Para nada seguro",0.063,0.085,0.037,0.11,0.083,0.149,0.333,0.38
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.57,0.048,0.056,0.245,0.162,0.082,0.138,0.081
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.221,0.018,0.019,0.16,0.104,0.091,0.123,0.058
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.04,0.495,0.311,0.087,0.2,0.153,0.128,0.124
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.05,0.263,0.066,0.112,0.117,0.232,0.169,0.135
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.05,0.138,0.469,0.106,0.122,0.069,0.092,0.059
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.002,0.003,0.201,0.019,0.027,0.045,0.026
