"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.478,0.524,0.374,0.327,0.381,0.376,0.338,0.353,0.264,0.181
"P06","Bastante",0.297,0.299,0.35,0.343,0.274,0.14,0.254,0.197,0.192,0.232
"P06","Poco",0.183,0.132,0.233,0.259,0.248,0.285,0.31,0.332,0.381,0.311
"P06","Nada",0.031,0.04,0.034,0.06,0.084,0.105,0.061,0.092,0.111,0.184
"P06","No sabe",0.011,0.005,0.009,0.011,0.013,0.094,0.037,0.026,0.052,0.092
"P07","Siempre",0.293,0.229,0.25,0.239,0.229,0.285,0.189,0.184,0.257,0.089
"P07","Casi siempre",0.423,0.432,0.458,0.451,0.305,0.349,0.403,0.367,0.239,0.292
"P07","Casi nunca",0.212,0.262,0.235,0.218,0.339,0.216,0.325,0.304,0.286,0.339
"P07","Nunca, pero esta es una excepción",0.072,0.077,0.057,0.092,0.127,0.15,0.083,0.145,0.218,0.28
"P08","Tiene Decidido que va a ir a votar",0.881,0.866,0.855,0.843,0.85,0.697,0.832,0.764,0.544,0.627
"P08","Tiene dudas sobre si va a ir a  votar",0.075,0.084,0.099,0.116,0.095,0.173,0.117,0.172,0.209,0.234
"P08","Tiene Decidido que no va a ir a votar",0.044,0.05,0.046,0.041,0.055,0.13,0.051,0.064,0.247,0.139
"P10","Unión por la Patria",0.75,0.695,0.114,0.104,0.091,0.054,0.11,0.074,0.053,0.042
"P10","Juntos por el Cambio",0.119,0.123,0.779,0.757,0.085,0.102,0.174,0.113,0.115,0.08
"P10","Liberales",0.015,0.036,0.041,0.042,0.653,0.072,0.064,0.071,0.086,0.042
"P10","Izquierda",0.016,0.032,0.009,0.007,0.019,0.586,0.011,0.085,0.101,0.007
"P10","Otro",0.038,0.053,0.011,0.029,0.056,0.049,0.381,0.32,0.121,0.045
"P10","No sabe",0.062,0.061,0.046,0.061,0.096,0.137,0.26,0.337,0.524,0.784
"P14","Totalmente seguro",0.693,0.59,0.66,0.504,0.725,0.493,0.488,0.427,0.321,0.07
"P14","Bastante seguro",0.186,0.215,0.144,0.24,0.1,0.134,0.171,0.148,0.072,0.048
"P14","Algo seguro",0.062,0.141,0.118,0.149,0.127,0.122,0.18,0.159,0.134,0.114
"P14","Para nada seguro",0.059,0.054,0.078,0.107,0.048,0.251,0.161,0.266,0.473,0.768
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.532,0.485,0.047,0.091,0.08,0.183,0.155,0.112,0.045,0.112
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.23,0.217,0.013,0.033,0.012,0.144,0.036,0.051,0.06,0.022
