"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.244,0.234,0.253,0.183,0.24,0.272,0.277,0.284,0.232,0.223,0.502,0.063,0.118,0.208,0.212,0.289,0.28
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.076,0.078,0.074,0.082,0.087,0.074,0.047,0.059,0.068,0.1,0.14,0.026,0.076,0.075,0.047,0.082,0.087
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.246,0.227,0.264,0.166,0.188,0.313,0.361,0.22,0.245,0.272,0.065,0.46,0.184,0.271,0.219,0.195,0.245
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.114,0.104,0.124,0.108,0.102,0.11,0.151,0.106,0.117,0.117,0.052,0.182,0.143,0.101,0.131,0.085,0.122
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.182,0.236,0.133,0.301,0.228,0.112,0.062,0.186,0.19,0.17,0.101,0.213,0.219,0.182,0.247,0.199,0.154
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.014,0.019,0.022,0.02,0.012,0.012,0.017,0.014,0.021,0.02,0.004,0.013,0.017,0.011,0.045,0.016
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.023,0.025,0.015,0.027,0.027,0.022,0.019,0.027,0.024,0.025,0.018,0.074,0.047,0.017,0.006,0.01
"Otros",0.032,0.033,0.031,0.044,0.042,0.02,0.016,0.04,0.032,0.025,0.036,0.01,0.073,0.033,0.046,0.026,0.026
"En blanco",0.02,0.017,0.022,0.027,0.02,0.015,0.017,0.027,0.018,0.015,0.021,0.007,0.027,0.024,0.024,0.02,0.014
"No sabe",0.045,0.034,0.055,0.052,0.046,0.045,0.035,0.042,0.057,0.033,0.038,0.017,0.073,0.042,0.046,0.053,0.046
