"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.503,0.376,0.429,0.279
"P06","Bastante",0.309,0.366,0.255,0.271
"P06","Poco",0.157,0.219,0.225,0.315
"P06","Nada",0.022,0.033,0.083,0.086
"P06","No sabe",0.009,0.006,0.008,0.049
"P07","Siempre",0.289,0.264,0.291,0.222
"P07","Casi siempre",0.457,0.454,0.384,0.357
"P07","Casi nunca",0.193,0.219,0.237,0.31
"P07","Nunca, pero esta es una excepción",0.061,0.063,0.088,0.111
"P08","Tiene Decidido que va a ir a votar",0.894,0.869,0.814,0.795
"P08","Tiene dudas sobre si va a ir a  votar",0.075,0.095,0.126,0.145
"P08","Tiene Decidido que no va a ir a votar",0.031,0.036,0.06,0.06
"P10","Unión por la Patria",0.727,0.091,0.175,0.131
"P10","Juntos por el Cambio",0.152,0.643,0.116,0.243
"P10","Liberales",0.026,0.19,0.429,0.241
"P10","Izquierda",0.02,0.007,0.066,0.047
"P10","Otro",0.029,0.032,0.085,0.087
"P10","No sabe",0.046,0.037,0.129,0.251
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.647,0.008,0.089,0.074
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.189,0.009,0.082,0.033
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.041,0.56,0.072,0.083
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.041,0.176,0.092,0.171
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.02,0.21,0.463,0.358
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.002,0.047,0.022
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.013,0.05,0.065
"P11","Otros",0.02,0.007,0.067,0.073
"P11","En blanco",0.003,0.006,0.026,0.004
"P11","No sabe",0.013,0.009,0.012,0.117
"P14","Totalmente seguro",0.661,0.653,0.658,0.549
"P14","Bastante seguro",0.198,0.164,0.117,0.089
"P14","Algo seguro",0.083,0.121,0.127,0.151
"P14","Para nada seguro",0.058,0.062,0.098,0.211
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.506,0.035,0.084,0.129
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.225,0.013,0.076,0.038
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.057,0.494,0.12,0.143
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.062,0.228,0.112,0.148
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.064,0.179,0.383,0.272
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.002,0.041,0.007
