"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.506,0.373,0.375,0.556,0.337,0.378,0.328,0.2
"P06","Bastante",0.302,0.367,0.293,0.265,0.289,0.268,0.375,0.312
"P06","Poco",0.154,0.224,0.252,0.103,0.291,0.251,0.186,0.355
"P06","Nada",0.027,0.029,0.068,0.074,0.07,0.059,0.089,0.094
"P06","No sabe",0.011,0.007,0.012,0.002,0.013,0.044,0.022,0.039
"P07","Siempre",0.294,0.268,0.223,0.264,0.229,0.278,0.357,0.198
"P07","Casi siempre",0.446,0.464,0.372,0.418,0.405,0.373,0.341,0.431
"P07","Casi nunca",0.193,0.216,0.3,0.225,0.269,0.267,0.203,0.242
"P07","Nunca, pero esta es una excepción",0.067,0.052,0.105,0.093,0.097,0.082,0.099,0.129
"P08","Tiene Decidido que va a ir a votar",0.884,0.869,0.854,0.87,0.76,0.859,0.814,0.713
"P08","Tiene dudas sobre si va a ir a  votar",0.078,0.087,0.109,0.079,0.216,0.077,0.078,0.187
"P08","Tiene Decidido que no va a ir a votar",0.038,0.044,0.037,0.051,0.024,0.064,0.108,0.1
"P10","Unión por la Patria",0.765,0.13,0.073,0.308,0.163,0.186,0.226,0.12
"P10","Juntos por el Cambio",0.123,0.776,0.203,0.166,0.316,0.345,0.457,0.359
"P10","Liberales",0.021,0.032,0.587,0.049,0.088,0.043,0.023,0.05
"P10","Izquierda",0.018,0.007,0.011,0.379,0.023,0.037,0.04,0.036
"P10","Otro",0.022,0.019,0.037,0.048,0.227,0.239,0.086,0.074
"P10","No sabe",0.051,0.036,0.089,0.05,0.183,0.15,0.168,0.361
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.717,0.026,0.027,0.155,0.084,0.093,0.084,0.092
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.17,0.009,0.019,0.246,0.071,0.15,0.09,0.06
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.017,0.601,0.183,0.109,0.252,0.281,0.447,0.298
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.022,0.31,0.028,0.069,0.063,0.082,0.071,0.068
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.027,0.029,0.704,0.038,0.066,0.053,0.095,0.052
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.004,0.002,0.29,0.007,0.036,0.004,0.026
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.005,0.006,0.029,0.379,0.003,0.009,0.01
"P11","Otros",0.013,0.005,0.02,0.032,0.046,0.252,0.041,0.085
"P11","En blanco",0.005,0.003,0.006,0.021,0.014,0.021,0.1,0.045
"P11","No sabe",0.012,0.008,0.005,0.011,0.018,0.029,0.059,0.264
"P14","Totalmente seguro",0.679,0.618,0.71,0.572,0.492,0.567,0.67,0.361
"P14","Bastante seguro",0.187,0.177,0.116,0.166,0.222,0.167,0.101,0.123
"P14","Algo seguro",0.074,0.122,0.132,0.163,0.174,0.127,0.086,0.12
"P14","Para nada seguro",0.06,0.083,0.042,0.099,0.112,0.139,0.143,0.396
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.549,0.063,0.05,0.188,0.157,0.106,0.07,0.119
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.235,0.013,0.015,0.239,0.089,0.087,0.038,0.056
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.456,0.317,0.13,0.201,0.276,0.392,0.236
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.045,0.337,0.064,0.048,0.116,0.119,0.083,0.107
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.057,0.091,0.489,0.075,0.106,0.062,0.091,0.034
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.003,0.002,0.242,0.026,0.046,0.013,0.02
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.01,0.016,0,0.231,0.012,0.021,0.007
"P23","Otros",0.02,0.009,0.015,0.042,0.048,0.254,0.053,0.094
"P23","En blanco",0.011,0.008,0.017,0.034,0.006,0.018,0.165,0.009
"P23","No sabe",0.011,0.01,0.015,0.002,0.02,0.02,0.074,0.318
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.9,0.033,0.019,0.146,0.049,0.065,0.05,0.101
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.025,0.813,0.19,0.134,0.207,0.261,0.474,0.301
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.025,0.033,0.758,0.051,0.053,0.029,0.041,0.029
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.012,0.01,0.547,0.006,0.031,0.022,0.013
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.023,0.002,0.072,0.649,0.016,0,0.005
"P30","Otros",0.007,0.047,0.011,0.03,0.027,0.536,0.04,0.019
"P30","En blanco",0.009,0.012,0.004,0.02,0.009,0.028,0.268,0.046
"P30","No sabe",0.009,0.027,0.006,0,0,0.034,0.105,0.486
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.911,0.082,0.045,0.471,0.21,0.237,0.178,0.185
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.028,0.816,0.596,0.147,0.335,0.384,0.533,0.378
"P36","En blanco",0.04,0.049,0.234,0.315,0.199,0.176,0.183,0.08
"P36","No sabe",0.021,0.053,0.125,0.067,0.256,0.203,0.106,0.357
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.125,0.783,0.21,0.3,0.346,0.409,0.551,0.384
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.068,0.096,0.735,0.066,0.145,0.051,0.081,0.078
"P37","En blanco",0.582,0.065,0.035,0.453,0.295,0.281,0.281,0.121
