"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.467,0.499,0.381,0.356,0.363,0.435,0.365,0.428,0.257,0.196
"P06","Bastante",0.297,0.287,0.326,0.349,0.3,0.199,0.319,0.181,0.325,0.29
"P06","Poco",0.185,0.179,0.234,0.247,0.244,0.223,0.217,0.28,0.265,0.344
"P06","Nada",0.04,0.028,0.048,0.036,0.078,0.099,0.053,0.086,0.1,0.099
"P06","No sabe",0.011,0.007,0.011,0.012,0.015,0.044,0.046,0.025,0.053,0.071
"P07","Siempre",0.276,0.235,0.262,0.222,0.245,0.214,0.234,0.267,0.254,0.187
"P07","Casi siempre",0.42,0.469,0.419,0.456,0.35,0.393,0.42,0.38,0.309,0.379
"P07","Casi nunca",0.226,0.213,0.248,0.252,0.289,0.255,0.264,0.251,0.279,0.275
"P07","Nunca, pero esta es una excepción",0.078,0.083,0.071,0.07,0.116,0.138,0.082,0.102,0.158,0.159
"P08","Tiene Decidido que va a ir a votar",0.877,0.872,0.86,0.839,0.854,0.779,0.797,0.858,0.697,0.657
"P08","Tiene dudas sobre si va a ir a  votar",0.067,0.09,0.1,0.101,0.105,0.113,0.185,0.118,0.179,0.24
"P08","Tiene Decidido que no va a ir a votar",0.056,0.038,0.04,0.06,0.041,0.108,0.018,0.024,0.124,0.103
"P10","Unión por la Patria",0.673,0.691,0.117,0.156,0.135,0.391,0.168,0.251,0.164,0.089
"P10","Juntos por el Cambio",0.15,0.166,0.596,0.628,0.271,0.094,0.233,0.156,0.185,0.207
"P10","Liberales",0.034,0.021,0.194,0.083,0.413,0.042,0.15,0.105,0.165,0.075
"P10","Izquierda",0.025,0.028,0.009,0.016,0.031,0.282,0.029,0.076,0.029,0.017
"P10","Otro",0.049,0.053,0.033,0.024,0.046,0.11,0.229,0.229,0.135,0.041
"P10","No sabe",0.069,0.041,0.051,0.093,0.104,0.081,0.191,0.183,0.322,0.571
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.6,0.642,0.043,0.096,0.081,0.293,0.165,0.15,0.226,0.101
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.168,0.185,0.021,0.016,0.036,0.257,0.054,0.093,0.021,0.007
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.054,0.036,0.453,0.51,0.248,0.036,0.133,0.056,0.134,0.089
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.048,0.043,0.19,0.239,0.071,0.069,0.099,0.07,0.07,0.083
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.066,0.024,0.241,0.075,0.479,0.06,0.202,0.1,0.162,0.103
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.025,0.003,0.014,0.012,0.167,0.015,0.042,0.024,0.017
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.009,0.016,0.017,0.03,0.067,0.219,0.012,0.032,0.017
"P11","Otros",0.015,0.017,0.017,0.004,0.026,0.025,0.025,0.358,0.046,0.028
"P11","En blanco",0.003,0.011,0.007,0.016,0.007,0.011,0.012,0.064,0.192,0.069
"P11","No sabe",0.017,0.008,0.009,0.013,0.01,0.015,0.076,0.055,0.093,0.486
"P14","Totalmente seguro",0.639,0.668,0.686,0.51,0.69,0.553,0.515,0.483,0.578,0.28
"P14","Bastante seguro",0.203,0.2,0.13,0.224,0.097,0.179,0.151,0.194,0.107,0.046
"P14","Algo seguro",0.077,0.085,0.1,0.144,0.155,0.117,0.215,0.098,0.073,0.173
"P14","Para nada seguro",0.081,0.047,0.084,0.122,0.058,0.151,0.119,0.225,0.242,0.501
