"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.505,0.394,0.379,0.303
"P06","Bastante",0.307,0.32,0.363,0.323
"P06","Poco",0.159,0.225,0.198,0.284
"P06","Nada",0.018,0.054,0.049,0.055
"P06","No sabe",0.011,0.007,0.011,0.035
"P07","Siempre",0.288,0.235,0.293,0.289
"P07","Casi siempre",0.453,0.419,0.451,0.417
"P07","Casi nunca",0.194,0.268,0.195,0.222
"P07","Nunca, pero esta es una excepción",0.065,0.078,0.061,0.072
"P08","Tiene Decidido que va a ir a votar",0.898,0.858,0.853,0.836
"P08","Tiene dudas sobre si va a ir a  votar",0.07,0.102,0.101,0.117
"P08","Tiene Decidido que no va a ir a votar",0.032,0.04,0.046,0.047
"P10","Unión por la Patria",0.726,0.094,0.152,0.107
"P10","Juntos por el Cambio",0.152,0.39,0.65,0.609
"P10","Liberales",0.02,0.414,0.031,0.034
"P10","Izquierda",0.026,0.011,0.036,0.031
"P10","Otro",0.028,0.037,0.06,0.054
"P10","No sabe",0.048,0.054,0.071,0.165
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.65,0.015,0.069,0.048
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.177,0.013,0.066,0.033
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.052,0.356,0.433,0.481
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.038,0.091,0.27,0.23
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.017,0.483,0.028,0.026
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.003,0.024,0.019
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.015,0.034,0.032
"P11","Otros",0.023,0.011,0.038,0.04
"P11","En blanco",0.005,0.004,0.022,0.016
"P11","No sabe",0.011,0.009,0.016,0.075
"P14","Totalmente seguro",0.655,0.684,0.65,0.507
"P14","Bastante seguro",0.194,0.134,0.15,0.182
"P14","Algo seguro",0.084,0.132,0.108,0.134
"P14","Para nada seguro",0.067,0.05,0.092,0.177
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.503,0.04,0.077,0.089
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.218,0.013,0.067,0.028
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.071,0.364,0.366,0.399
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.057,0.144,0.28,0.253
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.06,0.372,0.061,0.06
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.003,0.023,0.013
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.014,0.023,0.03
"P23","Otros",0.029,0.019,0.035,0.037
"P23","En blanco",0.01,0.015,0.042,0.005
"P23","No sabe",0.014,0.016,0.026,0.086
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.784,0.021,0.084,0.074
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.078,0.407,0.626,0.581
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.024,0.5,0.033,0.038
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.013,0.042,0.021
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.018,0.057,0.069
"P30","Otros",0.023,0.022,0.08,0.073
"P30","En blanco",0.014,0.006,0.047,0.017
"P30","No sabe",0.02,0.013,0.031,0.127
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.784,0.029,0.118,0.063
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.088,0.312,0.578,0.556
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.025,0.588,0.041,0.059
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.004,0.034,0.021
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.021,0.057,0.061
"P31","Otros",0.025,0.016,0.071,0.065
"P31","En blanco",0.006,0.014,0.077,0.011
"P31","No sabe",0.021,0.016,0.024,0.164
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.888,0.039,0.107,0.086
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.721,0.637,0.578
"P36","En blanco",0.027,0.151,0.226,0.05
"P36","No sabe",0.017,0.089,0.03,0.286
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.188,0.406,0.627,0.609
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.061,0.549,0.053,0.043
"P37","En blanco",0.544,0.027,0.285,0.049
"P37","No sabe",0.207,0.018,0.035,0.299
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.863,0.053,0.106,0.058
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.074,0.573,0.563,0.57
"P38","En blanco",0.03,0.237,0.298,0.031
"P38","No sabe",0.033,0.137,0.033,0.341
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.274,0.281,0.585,0.565
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.666,0.043,0.047
"P39","En blanco",0.462,0.029,0.319,0.038
"P39","No sabe",0.211,0.024,0.053,0.35
"P43","Lo votaría",0.798,0.027,0.096,0.067
"P43","Puede que lo vote",0.112,0.115,0.08,0.077
"P43","Nunca lo votaría",0.063,0.817,0.785,0.692
"P43","No sabe",0.027,0.041,0.039,0.164
"P44","Lo votaría",0.551,0.025,0.093,0.038
"P44","Puede que lo vote",0.206,0.053,0.064,0.033
"P44","Nunca lo votaría",0.189,0.881,0.808,0.8
"P44","No sabe",0.054,0.041,0.035,0.129
"P45","Lo votaría",0.113,0.453,0.553,0.541
"P45","Puede que lo vote",0.068,0.236,0.123,0.129
"P45","Nunca lo votaría",0.786,0.281,0.304,0.198
"P45","No sabe",0.033,0.03,0.02,0.132
"P46","Lo votaría",0.078,0.297,0.53,0.529
"P46","Puede que lo vote",0.121,0.278,0.168,0.189
"P46","Nunca lo votaría",0.762,0.387,0.26,0.151
"P46","No sabe",0.039,0.038,0.042,0.131
"P47","Lo votaría",0.058,0.57,0.106,0.08
"P47","Puede que lo vote",0.068,0.276,0.129,0.177
"P47","Nunca lo votaría",0.85,0.133,0.723,0.584
"P47","No sabe",0.024,0.021,0.042,0.159
"P48","Lo votaría",0.108,0.06,0.049,0.018
"P48","Puede que lo vote",0.322,0.072,0.1,0.057
"P48","Nunca lo votaría",0.507,0.825,0.818,0.802
"P48","No sabe",0.063,0.043,0.033,0.123
"P49","Lo votaría",0.076,0.064,0.068,0.069
"P49","Puede que lo vote",0.256,0.172,0.171,0.169
"P49","Nunca lo votaría",0.6,0.702,0.717,0.606
"P49","No sabe",0.068,0.062,0.044,0.156
"P60","Si",0.501,0.536,0.497,0.43
"P60","No",0.499,0.464,0.503,0.57
