"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A Tolosa Paz por el Frente de Todos",0.351,0.25,0.441,0.274,0.369,0.394,0.362,0.451,0.33,0.259,0.33,0.384,0.36,0.638,0.082,0,0.787,0.106,0.071,0.18,0.068,0.002,0,0.215,0.395,0.294
"A Santilli y Manes por Juntos",0.441,0.508,0.382,0.494,0.389,0.466,0.46,0.39,0.465,0.469,0.425,0.475,0.446,0.198,0.824,0.32,0.127,0.852,0.811,0.044,0.056,0.163,0.206,0.346,0.105,0.424
"A del Caño por el Frente de Izquierda",0.075,0.06,0.089,0.081,0.089,0.04,0.085,0.074,0.048,0.123,0.028,0.057,0.135,0.078,0.008,0.16,0.057,0.01,0.025,0,0.876,0.04,0.499,0.242,0,0.115
"A Espert por Avanza libertad",0.081,0.107,0.057,0.11,0.082,0.068,0.041,0.061,0.076,0.111,0.13,0.052,0.037,0.042,0.066,0.367,0.004,0.024,0.074,0.403,0,0.723,0,0.179,0.026,0.14
"A Randazzo por ""Vamos con vos""",0.039,0.055,0.024,0.04,0.053,0.021,0.025,0.019,0.072,0.008,0.076,0.023,0.005,0.036,0.015,0.153,0.017,0.003,0.019,0.326,0,0.018,0,0,0.474,0.017
"A Hotton por “+Valores”",0.013,0.02,0.007,0.001,0.018,0.011,0.027,0.005,0.009,0.03,0.011,0.009,0.017,0.008,0.005,0,0.008,0.005,0,0.047,0,0.054,0.295,0.018,0,0.01
