"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Horacio Rodriguez Larreta","Muy buena",0.208,0.233,0.185,0.241,0.177,0.216,0.239,0.222,0.21,0.187,0.211,0.244,0.188,0.073,0.457,0.058,0.073,0.489,0.262,0.056,0,0.087,0.039,0,0,0.255
"Horacio Rodriguez Larreta","Buena",0.19,0.144,0.232,0.123,0.201,0.227,0.206,0.133,0.201,0.246,0.189,0.194,0.19,0.103,0.313,0.404,0.096,0.319,0.408,0.199,0.083,0.221,0.142,0.027,0.009,0.175
"Horacio Rodriguez Larreta","Ni buena ni mala",0.178,0.183,0.174,0.174,0.172,0.203,0.162,0.11,0.25,0.151,0.15,0.236,0.183,0.191,0.124,0.127,0.182,0.104,0.201,0.258,0.372,0.338,0,0.211,0.391,0.152
"Horacio Rodriguez Larreta","Mala",0.126,0.157,0.097,0.093,0.141,0.088,0.189,0.173,0.106,0.096,0.144,0.053,0.138,0.171,0.054,0.148,0.166,0.029,0.044,0.092,0,0.135,0,0.541,0.035,0.111
"Horacio Rodriguez Larreta","Muy mala",0.26,0.259,0.261,0.356,0.271,0.213,0.148,0.275,0.222,0.302,0.277,0.228,0.256,0.43,0.047,0.263,0.48,0.046,0.058,0.271,0.545,0.219,0.683,0.221,0.307,0.251
"Horacio Rodriguez Larreta","No sabe",0.038,0.024,0.051,0.013,0.038,0.053,0.056,0.087,0.011,0.018,0.029,0.045,0.045,0.032,0.005,0,0.003,0.013,0.027,0.124,0,0,0.136,0,0.258,0.056
"Alberto Fernandez","Muy buena",0.165,0.121,0.206,0.223,0.131,0.171,0.169,0.209,0.172,0.098,0.192,0.085,0.173,0.335,0.008,0.007,0.383,0.003,0.139,0.014,0,0.03,0.131,0.05,0.201,0.16
"Alberto Fernandez","Buena",0.144,0.127,0.16,0.075,0.175,0.173,0.112,0.214,0.111,0.106,0.142,0.178,0.132,0.263,0.017,0,0.313,0.009,0.03,0.166,0,0,0,0.088,0.223,0.133
"Alberto Fernandez","Ni buena ni mala",0.125,0.103,0.144,0.131,0.117,0.107,0.167,0.103,0.108,0.18,0.081,0.151,0.16,0.151,0.075,0.021,0.087,0.075,0.074,0.148,0.445,0,0.626,0.307,0.053,0.16
"Alberto Fernandez","Mala",0.12,0.137,0.105,0.122,0.109,0.126,0.143,0.129,0.117,0.114,0.149,0.116,0.091,0.08,0.157,0.322,0.098,0.126,0.177,0.175,0.19,0.109,0.143,0.04,0.276,0.083
