"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"A Segundo cernadas por Juntos",0.406,0.466,0.35,0.457,0.348,0.449,0.426,0.362,0.418,0.444,0.41,0.417,0.396,0.191,0.801,0.313,0.127,0.843,0.775,0.035,0.056,0.163,0.206,0.306,0.04,0.395
"A Gisela Zamora por el frente de todos",0.318,0.22,0.407,0.253,0.324,0.369,0.328,0.393,0.301,0.244,0.306,0.348,0.317,0.61,0.08,0.014,0.761,0.104,0.075,0.145,0.068,0.002,0,0.144,0.15,0.269
"A Juan José Cervetto por avanza libertad",0.067,0.083,0.052,0.102,0.058,0.063,0.038,0.037,0.068,0.104,0.107,0.047,0.033,0.041,0.063,0.364,0.004,0.023,0.068,0.325,0,0.721,0,0.042,0.01,0.131
"A Paula Yamila Akerfeld por el Frente de Izquierda",0.069,0.054,0.084,0.075,0.079,0.036,0.085,0.065,0.045,0.118,0.026,0.054,0.121,0.079,0.008,0.158,0.058,0.01,0.024,0,0.876,0.04,0.498,0.153,0,0.112
"A Matias Orfo por Vamos con vos",0.033,0.049,0.018,0.037,0.04,0.02,0.022,0.017,0.059,0.009,0.071,0.006,0.004,0.028,0.014,0.151,0.008,0.003,0.018,0.263,0,0.018,0,0,0.18,0.016
"A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.012,0.018,0.007,0.001,0.016,0.01,0.025,0.004,0.008,0.031,0.01,0.012,0.016,0.01,0.005,0,0.01,0.005,0,0.038,0,0.054,0.296,0.013,0,0.009
"En blanco o anularía",0.095,0.11,0.082,0.075,0.135,0.053,0.076,0.122,0.101,0.05,0.07,0.116,0.113,0.041,0.029,0,0.032,0.012,0.04,0.194,0,0.002,0,0.342,0.62,0.068
