"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A Segundo cernadas por Juntos",0.449,0.524,0.381,0.494,0.402,0.474,0.461,0.412,0.465,0.467,0.441,0.472,0.447,0.199,0.825,0.313,0.131,0.853,0.807,0.044,0.056,0.163,0.206,0.465,0.105,0.424
"A Gisela Zamora por el frente de todos",0.351,0.247,0.443,0.274,0.375,0.39,0.355,0.448,0.335,0.257,0.329,0.394,0.357,0.636,0.082,0.014,0.786,0.105,0.078,0.18,0.068,0.002,0,0.219,0.395,0.289
"A Juan José Cervetto por avanza libertad",0.074,0.093,0.057,0.11,0.067,0.066,0.041,0.042,0.076,0.109,0.115,0.053,0.037,0.043,0.065,0.364,0.004,0.024,0.071,0.403,0,0.723,0,0.064,0.026,0.14
"A Paula Yamila Akerfeld por el Frente de Izquierda",0.076,0.061,0.091,0.081,0.091,0.038,0.092,0.074,0.05,0.124,0.028,0.061,0.136,0.082,0.008,0.158,0.06,0.01,0.025,0,0.876,0.04,0.498,0.232,0,0.12
"A Matias Orfo por Vamos con vos",0.037,0.055,0.02,0.04,0.046,0.021,0.024,0.019,0.065,0.01,0.076,0.007,0.005,0.029,0.015,0.151,0.008,0.003,0.019,0.326,0,0.018,0,0,0.474,0.017
"A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.013,0.02,0.008,0.001,0.019,0.011,0.027,0.005,0.009,0.033,0.011,0.013,0.018,0.011,0.005,0,0.011,0.005,0,0.047,0,0.054,0.296,0.02,0,0.01
