"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Diego Santilli y Facundo Manes por “Juntos”",0.276,0.252,0.298,0.127,0.337,0.267,0.364,0.304,0.276,0.238,0.278,0.289,0.268,0.484,0.075,0.288,0.555,0.094,0.092,0.174,0.158,0.05,0.745,0.228,0,0.3
"Victoria Tolosa Paz por el Frente de todos",0.483,0.523,0.445,0.653,0.404,0.488,0.417,0.362,0.491,0.63,0.511,0.422,0.478,0.26,0.831,0.448,0.156,0.851,0.821,0.464,0.482,0.924,0.255,0.335,0.389,0.415
"Nicolás del Caño por el Frente de Izquierda",0.058,0.048,0.069,0.093,0.041,0.065,0.042,0.075,0.039,0.069,0.047,0.029,0.083,0.061,0.051,0.009,0.118,0.017,0.034,0.056,0.205,0.002,0,0.118,0,0.02
"José Luis Espert por “Avanza Libertad”",0.047,0.08,0.017,0.117,0.024,0.037,0.013,0.05,0.069,0.007,0.08,0.012,0.028,0.082,0,0.235,0.092,0,0,0.037,0,0,0,0.026,0.029,0.094
"Florencio Randazzo por “Vamos con vos”",0.004,0.007,0.001,0,0.007,0.006,0,0,0.008,0.003,0.002,0.012,0.003,0.004,0,0,0,0.003,0,0,0.155,0,0,0,0,0.007
"Cynthia Hotton por “+Valores”",0.013,0.006,0.019,0,0.006,0.042,0.008,0.022,0.012,0.002,0.003,0.015,0.021,0.024,0,0,0.015,0,0,0.112,0,0,0,0,0.029,0
"Ninguna en particular",0.088,0.067,0.108,0,0.14,0.072,0.108,0.13,0.087,0.034,0.064,0.184,0.074,0.062,0.032,0.02,0.054,0.017,0.034,0.157,0,0.024,0,0.293,0.268,0.116
"No sabe",0.031,0.017,0.043,0.01,0.041,0.023,0.048,0.057,0.018,0.017,0.015,0.037,0.045,0.023,0.011,0,0.01,0.018,0.019,0,0,0,0,0,0.285,0.048
