"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.197,0.183,0.212,0.213,0.156,0.228,0.243,0.199,0.205,0.186,0.178,0.327,0.081,0.055,0.322,0.21,0.199,0.179,6
"Buena",0.202,0.219,0.184,0.24,0.193,0.2,0.193,0.2,0.226,0.173,0.115,0.382,0.103,0.024,0.368,0.228,0.161,0.21,6
"Ni buena ni mala",0.128,0.138,0.117,0.152,0.133,0.117,0.106,0.154,0.117,0.12,0.144,0.112,0.109,0.08,0.155,0.143,0.1,0.136,6
"Mala",0.14,0.139,0.141,0.075,0.143,0.154,0.169,0.182,0.132,0.117,0.179,0.045,0.141,0.201,0.078,0.112,0.139,0.177,6
"Muy mala",0.325,0.316,0.335,0.317,0.368,0.297,0.265,0.252,0.313,0.398,0.382,0.118,0.558,0.636,0.075,0.297,0.391,0.295,6
"No sabe",0.008,0.005,0.011,0.003,0.007,0.004,0.024,0.013,0.007,0.006,0.002,0.016,0.008,0.004,0.002,0.01,0.01,0.003,6
"Positiva",0.399,0.402,0.396,0.453,0.349,0.428,0.436,0.399,0.431,0.359,0.293,0.709,0.184,0.079,0.69,0.438,0.36,0.389,4
"Neutra",0.128,0.138,0.117,0.152,0.133,0.117,0.106,0.154,0.117,0.12,0.144,0.112,0.109,0.08,0.155,0.143,0.1,0.136,4
"Negativa",0.465,0.455,0.476,0.392,0.511,0.451,0.434,0.434,0.445,0.515,0.561,0.163,0.699,0.837,0.153,0.409,0.53,0.472,4
"No sabe",0.008,0.005,0.011,0.003,0.007,0.004,0.024,0.013,0.007,0.006,0.002,0.016,0.008,0.004,0.002,0.01,0.01,0.003,4
