"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.149,0.148,0.15,0.175,0.148,0.11,0.182,0.207,0.15,0.092,0.174,0.136,0.089,0.145,0.158,0.151,0.128,0.169
"2",0.098,0.089,0.109,0.065,0.083,0.119,0.149,0.112,0.097,0.088,0.103,0.1,0.083,0.107,0.077,0.102,0.103,0.089
"3",0.089,0.092,0.086,0.116,0.061,0.111,0.097,0.074,0.099,0.088,0.074,0.104,0.08,0.099,0.09,0.087,0.078,0.102
"4",0.075,0.078,0.071,0.063,0.058,0.098,0.096,0.095,0.057,0.08,0.091,0.071,0.08,0.099,0.053,0.075,0.07,0.079
"5",0.148,0.146,0.151,0.172,0.147,0.128,0.156,0.139,0.133,0.179,0.169,0.134,0.168,0.138,0.158,0.146,0.17,0.13
"6",0.062,0.067,0.056,0.052,0.072,0.057,0.053,0.044,0.065,0.075,0.079,0.046,0.08,0.088,0.043,0.049,0.088,0.052
"7",0.051,0.06,0.042,0.012,0.068,0.057,0.046,0.039,0.055,0.057,0.047,0.055,0.054,0.05,0.05,0.045,0.047,0.064
"8",0.065,0.064,0.066,0.096,0.065,0.056,0.041,0.058,0.067,0.069,0.056,0.083,0.084,0.059,0.084,0.072,0.076,0.044
"9-Pésimo",0.185,0.189,0.18,0.174,0.222,0.187,0.091,0.157,0.195,0.196,0.151,0.207,0.184,0.165,0.203,0.206,0.166,0.175
"No sabe",0.078,0.067,0.089,0.075,0.076,0.077,0.089,0.075,0.082,0.076,0.056,0.064,0.098,0.05,0.084,0.067,0.074,0.096
