"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Victoria Villarruel","Positiva",0.406,0.407,0.405,0.421,0.368,0.444,0.431,0.405,0.422,0.386,0.315,0.692,0.173,0.093,0.701,0.461,0.331,0.409
"Victoria Villarruel","Neutra",0.17,0.18,0.16,0.145,0.177,0.155,0.199,0.208,0.186,0.119,0.201,0.141,0.139,0.141,0.164,0.157,0.201,0.156
"Victoria Villarruel","Negativa",0.403,0.394,0.412,0.401,0.441,0.382,0.339,0.34,0.377,0.486,0.467,0.128,0.68,0.742,0.124,0.351,0.454,0.42
"Victoria Villarruel","No sabe",0.021,0.019,0.023,0.033,0.014,0.019,0.031,0.047,0.015,0.009,0.017,0.039,0.008,0.024,0.011,0.031,0.014,0.015
"Aníbal Tortoriello","Positiva",0.287,0.298,0.276,0.279,0.223,0.349,0.365,0.343,0.273,0.26,0.226,0.59,0.093,0.169,0.395,0.359,0.217,0.264
"Aníbal Tortoriello","Neutra",0.353,0.329,0.379,0.223,0.41,0.356,0.322,0.357,0.381,0.315,0.372,0.261,0.42,0.319,0.371,0.313,0.374,0.384
"Aníbal Tortoriello","Negativa",0.301,0.322,0.278,0.364,0.335,0.233,0.258,0.24,0.293,0.358,0.328,0.139,0.465,0.444,0.189,0.294,0.336,0.275
"Aníbal Tortoriello","No sabe",0.059,0.051,0.067,0.134,0.032,0.062,0.055,0.06,0.053,0.067,0.074,0.01,0.022,0.068,0.045,0.034,0.073,0.077
"Alberto Weretilneck","Positiva",0.327,0.316,0.338,0.327,0.29,0.316,0.442,0.419,0.31,0.275,0.535,0.211,0.245,0.467,0.214,0.346,0.307,0.322
"Alberto Weretilneck","Neutra",0.308,0.292,0.324,0.273,0.311,0.325,0.304,0.304,0.317,0.299,0.307,0.232,0.303,0.298,0.305,0.295,0.334,0.297
"Alberto Weretilneck","Negativa",0.351,0.373,0.329,0.366,0.384,0.357,0.24,0.252,0.36,0.419,0.155,0.548,0.422,0.231,0.469,0.342,0.355,0.36
"Alberto Weretilneck","No sabe",0.014,0.019,0.009,0.034,0.015,0.002,0.014,0.025,0.013,0.007,0.003,0.009,0.03,0.004,0.012,0.017,0.004,0.021
"Javier Milei","Positiva",0.425,0.445,0.404,0.44,0.395,0.465,0.428,0.454,0.431,0.395,0.349,0.677,0.181,0.114,0.719,0.475,0.359,0.427
"Javier Milei","Neutra",0.096,0.099,0.093,0.047,0.096,0.106,0.124,0.13,0.091,0.075,0.095,0.111,0.108,0.058,0.111,0.108,0.083,0.094
"Javier Milei","Negativa",0.466,0.447,0.486,0.51,0.498,0.413,0.426,0.385,0.469,0.525,0.543,0.198,0.708,0.817,0.167,0.396,0.546,0.475
"Javier Milei","No sabe",0.013,0.009,0.017,0.003,0.011,0.016,0.022,0.031,0.009,0.005,0.013,0.014,0.003,0.011,0.003,0.021,0.012,0.004
"Patricia Bullrich","Positiva",0.399,0.402,0.396,0.453,0.349,0.428,0.436,0.399,0.431,0.359,0.293,0.709,0.184,0.079,0.69,0.438,0.36,0.389
"Patricia Bullrich","Neutra",0.128,0.138,0.117,0.152,0.133,0.117,0.106,0.154,0.117,0.12,0.144,0.112,0.109,0.08,0.155,0.143,0.1,0.136
"Patricia Bullrich","Negativa",0.465,0.455,0.476,0.392,0.511,0.451,0.434,0.434,0.445,0.515,0.561,0.163,0.699,0.837,0.153,0.409,0.53,0.472
"Patricia Bullrich","No sabe",0.008,0.005,0.011,0.003,0.007,0.004,0.024,0.013,0.007,0.006,0.002,0.016,0.008,0.004,0.002,0.01,0.01,0.003
"María Emilia Soria","Positiva",0.3,0.309,0.29,0.291,0.286,0.302,0.344,0.372,0.249,0.31,0.347,0.179,0.633,0.521,0.128,0.303,0.283,0.313
"María Emilia Soria","Neutra",0.279,0.265,0.295,0.274,0.275,0.273,0.306,0.272,0.302,0.256,0.348,0.208,0.243,0.271,0.271,0.264,0.3,0.278
"María Emilia Soria","Negativa",0.379,0.385,0.372,0.354,0.41,0.379,0.317,0.311,0.401,0.402,0.262,0.583,0.119,0.177,0.562,0.384,0.373,0.377
"María Emilia Soria","No sabe",0.042,0.041,0.043,0.081,0.029,0.046,0.033,0.045,0.048,0.032,0.043,0.03,0.005,0.031,0.039,0.049,0.044,0.032
"Juan Schiaretti","Positiva",0.245,0.255,0.234,0.243,0.214,0.261,0.304,0.269,0.242,0.23,0.234,0.371,0.153,0.146,0.33,0.26,0.229,0.241
"Juan Schiaretti","Neutra",0.386,0.381,0.391,0.327,0.401,0.403,0.371,0.393,0.409,0.349,0.401,0.41,0.321,0.324,0.445,0.402,0.367,0.384
"Juan Schiaretti","Negativa",0.325,0.327,0.324,0.379,0.353,0.289,0.26,0.279,0.305,0.389,0.328,0.172,0.505,0.498,0.176,0.299,0.361,0.323
"Juan Schiaretti","No sabe",0.044,0.037,0.051,0.051,0.032,0.047,0.065,0.059,0.044,0.032,0.037,0.047,0.021,0.032,0.049,0.039,0.043,0.052
"CFK","Positiva",0.372,0.357,0.388,0.364,0.368,0.357,0.417,0.378,0.364,0.378,0.455,0.142,0.646,0.729,0.082,0.319,0.459,0.354
"CFK","Neutra",0.118,0.098,0.14,0.196,0.123,0.078,0.099,0.146,0.116,0.1,0.127,0.088,0.13,0.111,0.098,0.134,0.125,0.092
"CFK","Negativa",0.5,0.535,0.463,0.424,0.504,0.56,0.463,0.467,0.506,0.519,0.398,0.768,0.224,0.147,0.815,0.542,0.403,0.543
"CFK","No sabe",0.01,0.01,0.009,0.016,0.005,0.005,0.021,0.009,0.014,0.003,0.02,0.002,0,0.013,0.005,0.005,0.013,0.011
"Axel Kicillof","Positiva",0.36,0.35,0.371,0.388,0.346,0.359,0.376,0.323,0.341,0.416,0.429,0.114,0.701,0.727,0.075,0.293,0.48,0.328
"Axel Kicillof","Neutra",0.111,0.102,0.121,0.08,0.137,0.074,0.133,0.126,0.13,0.074,0.146,0.083,0.104,0.128,0.088,0.15,0.079,0.093
"Axel Kicillof","Negativa",0.514,0.536,0.49,0.499,0.513,0.543,0.479,0.521,0.515,0.505,0.409,0.796,0.19,0.125,0.827,0.547,0.428,0.556
"Axel Kicillof","No sabe",0.015,0.012,0.018,0.033,0.004,0.024,0.012,0.03,0.014,0.005,0.016,0.007,0.005,0.02,0.01,0.01,0.013,0.023
"Sergio Massa","Positiva",0.261,0.234,0.289,0.238,0.245,0.264,0.32,0.269,0.255,0.261,0.347,0.105,0.468,0.515,0.06,0.223,0.318,0.253
"Sergio Massa","Neutra",0.195,0.206,0.183,0.213,0.226,0.144,0.178,0.226,0.202,0.161,0.226,0.139,0.228,0.27,0.123,0.181,0.228,0.179
"Sergio Massa","Negativa",0.541,0.553,0.528,0.546,0.529,0.588,0.488,0.497,0.543,0.573,0.426,0.755,0.304,0.213,0.816,0.592,0.452,0.564
"Sergio Massa","No sabe",0.003,0.007,0,0.003,0,0.004,0.014,0.008,0,0.005,0.001,0.001,0,0.002,0.001,0.004,0.002,0.004
"Mauricio Macri","Positiva",0.239,0.227,0.25,0.238,0.201,0.239,0.343,0.287,0.23,0.212,0.175,0.458,0.207,0.105,0.35,0.238,0.234,0.244
"Mauricio Macri","Neutra",0.195,0.204,0.185,0.185,0.192,0.221,0.17,0.199,0.211,0.171,0.18,0.236,0.131,0.082,0.274,0.232,0.161,0.18
"Mauricio Macri","Negativa",0.562,0.563,0.562,0.574,0.606,0.53,0.482,0.506,0.557,0.612,0.643,0.306,0.659,0.811,0.371,0.529,0.602,0.566
"Mauricio Macri","No sabe",0.004,0.006,0.003,0.003,0.001,0.01,0.005,0.008,0.002,0.005,0.002,0,0.003,0.002,0.005,0.001,0.003,0.01
