"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.252,0.236,0.269,0.235,0.243,0.244,0.306,0.272,0.233,0.26,0.327,0.078,0.448,0.518,0.047,0.224,0.309,0.231,6
"Buena",0.12,0.121,0.119,0.129,0.125,0.113,0.111,0.106,0.131,0.118,0.128,0.064,0.198,0.211,0.035,0.095,0.15,0.123,6
"Ni buena ni mala",0.118,0.098,0.14,0.196,0.123,0.078,0.099,0.146,0.116,0.1,0.127,0.088,0.13,0.111,0.098,0.134,0.125,0.092,6
"Mala",0.193,0.194,0.192,0.207,0.181,0.191,0.214,0.237,0.202,0.147,0.191,0.271,0.117,0.087,0.266,0.233,0.113,0.221,6
"Muy mala",0.307,0.341,0.271,0.217,0.323,0.369,0.249,0.23,0.304,0.372,0.207,0.497,0.107,0.06,0.549,0.309,0.29,0.322,6
"No sabe",0.01,0.01,0.009,0.016,0.005,0.005,0.021,0.009,0.014,0.003,0.02,0.002,0,0.013,0.005,0.005,0.013,0.011,6
"Positiva",0.372,0.357,0.388,0.364,0.368,0.357,0.417,0.378,0.364,0.378,0.455,0.142,0.646,0.729,0.082,0.319,0.459,0.354,4
"Neutra",0.118,0.098,0.14,0.196,0.123,0.078,0.099,0.146,0.116,0.1,0.127,0.088,0.13,0.111,0.098,0.134,0.125,0.092,4
"Negativa",0.5,0.535,0.463,0.424,0.504,0.56,0.463,0.467,0.506,0.519,0.398,0.768,0.224,0.147,0.815,0.542,0.403,0.543,4
"No sabe",0.01,0.01,0.009,0.016,0.005,0.005,0.021,0.009,0.014,0.003,0.02,0.002,0,0.013,0.005,0.005,0.013,0.011,4
