"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Si",0.792,0.8,0.784,0.775,0.797,0.827,0.746,0.665,0.812,0.894,0.816,0.739,0.786,0.903,0.72,0.802,0.801,0.772
"No",0.208,0.2,0.216,0.225,0.203,0.173,0.254,0.335,0.188,0.106,0.184,0.261,0.214,0.097,0.28,0.198,0.199,0.228
