"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.092,0.085,0.098,0.143,0.056,0.099,0.128,0.122,0.084,0.077,0.077,0.163,0.119,0.06,0.114,0.09,0.103,0.082,6
"Buena",0.147,0.142,0.152,0.095,0.145,0.14,0.215,0.165,0.146,0.135,0.098,0.295,0.088,0.045,0.236,0.148,0.131,0.162,6
"Ni buena ni mala",0.195,0.204,0.185,0.185,0.192,0.221,0.17,0.199,0.211,0.171,0.18,0.236,0.131,0.082,0.274,0.232,0.161,0.18,6
"Mala",0.252,0.256,0.249,0.304,0.259,0.239,0.207,0.282,0.26,0.219,0.302,0.152,0.163,0.295,0.219,0.268,0.227,0.258,6
"Muy mala",0.31,0.307,0.313,0.27,0.347,0.291,0.275,0.224,0.297,0.393,0.341,0.154,0.496,0.516,0.152,0.261,0.375,0.308,6
"No sabe",0.004,0.006,0.003,0.003,0.001,0.01,0.005,0.008,0.002,0.005,0.002,0,0.003,0.002,0.005,0.001,0.003,0.01,6
"Positiva",0.239,0.227,0.25,0.238,0.201,0.239,0.343,0.287,0.23,0.212,0.175,0.458,0.207,0.105,0.35,0.238,0.234,0.244,4
"Neutra",0.195,0.204,0.185,0.185,0.192,0.221,0.17,0.199,0.211,0.171,0.18,0.236,0.131,0.082,0.274,0.232,0.161,0.18,4
"Negativa",0.562,0.563,0.562,0.574,0.606,0.53,0.482,0.506,0.557,0.612,0.643,0.306,0.659,0.811,0.371,0.529,0.602,0.566,4
"No sabe",0.004,0.006,0.003,0.003,0.001,0.01,0.005,0.008,0.002,0.005,0.002,0,0.003,0.002,0.005,0.001,0.003,0.01,4
