"var","categoria","Inflación","Desempleo","Corrupción","Precio del dólar","Inseguridad","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Toloza Paz",0.459,0.473,0.096,0.547,0.349,0.371,0.323,0.528,0.426,0.338
"P09","Diego Santilli",0.228,0.135,0.383,0.17,0.27,0.208,0.432,0.189,0.108,0.132
"P09","Facundo Manes",0.076,0.07,0.139,0.09,0.086,0.036,0.004,0.088,0.157,0.113
"P09","Florencio Randazzo",0.044,0.037,0.063,0.039,0.054,0.052,0,0.034,0.019,0.026
"P09","A los candidatos de la izquierda",0.017,0.028,0.032,0.008,0.022,0.05,0,0.007,0.041,0.014
"P09","Jose Luis Espert",0.061,0.063,0.128,0.004,0.03,0.084,0.12,0,0.019,0.067
"P09","Otros candidatos",0.038,0.098,0.061,0.082,0.107,0.083,0.045,0.05,0.049,0.22
"P09","Votaría en blanco o anularía",0.077,0.096,0.098,0.06,0.082,0.116,0.076,0.104,0.181,0.09
