"","Si","Puede ser","No"
"Toloza Paz",0.384,0.166,0.058
"Diego Santilli",0.26,0.301,0.156
"Facundo Manes",0.085,0.095,0.146
"Florencio Randazzo",0.046,0.027,0.02
"A los candidatos de la izquierda",0.027,0.068,0.031
"Jose Luis Espert",0.083,0.052,0.038
"Otros candidatos",0.067,0.135,0.052
"Votaría en blanco o anularía",0.048,0.156,0.499
