"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.931,0.82,0.752,0.889,0.684,0.884,0.736,0.4
"Puede ser",0.055,0.13,0.116,0.071,0.237,0.076,0.205,0.179
"No",0.014,0.05,0.132,0.04,0.079,0.04,0.059,0.421
