"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro pais","Otro","En blanco","No sabe"
"P05","Mucho",0.48,0.289,0.308,0.246,0.328,0.282,0.11,0.13
"P05","Bastante",0.283,0.288,0.172,0.227,0.036,0.071,0.188,0.085
"P05","Poco",0.127,0.223,0.3,0.232,0.152,0.352,0.301,0.252
"P05","Nada",0.091,0.172,0.172,0.245,0.334,0.236,0.367,0.429
"P05","No sabe",0.019,0.028,0.048,0.05,0.15,0.059,0.034,0.104
"P06","Siempre",0.27,0.115,0.15,0.052,0.277,0.105,0.109,0.07
"P06","Casi siempre",0.316,0.329,0.136,0.048,0.206,0.246,0.099,0.108
"P06","Casi nunca",0.248,0.252,0.417,0.618,0.268,0.205,0.411,0.316
"P06","Nunca, pero esta es una excepción",0.166,0.304,0.297,0.282,0.249,0.444,0.381,0.506
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.399,0.087,0.055,0.168,0.121,0.114,0.044,0.078
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.049,0.043,0.011,0.048,0.04,0,0.033,0.007
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.269,0.018,0.085,0.072,0.02,0.111,0.021,0.082
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.066,0.018,0,0.048,0.118,0,0.048,0.039
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.084,0.469,0.11,0.079,0.25,0.075,0.073,0.031
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.022,0.226,0.016,0.162,0.084,0.027,0.055,0.027
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.079,0.057,0.691,0.078,0.281,0.075,0.158,0.07
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.001,0,0.012,0.153,0.015,0.08,0.051,0.164
"P10","En blanco",0.003,0.018,0,0.024,0,0.118,0.458,0.032
"P10","No sabe",0.028,0.064,0.02,0.168,0.071,0.4,0.059,0.47
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.612,0.099,0.051,0.131,0.279,0.21,0.068,0.163
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.092,0.582,0.123,0.093,0,0.042,0.09,0.036
