"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.395,0.345,0.385,0.305,0.214,0.285
"P05","Bastante",0.284,0.207,0.212,0.183,0.407,0.146
"P05","Poco",0.208,0.226,0.191,0.16,0.142,0.18
"P05","Nada",0.087,0.179,0.171,0.285,0.237,0.3
"P05","No sabe",0.026,0.043,0.041,0.067,0,0.089
"P06","Siempre",0.202,0.199,0.227,0.199,0.08,0.137
"P06","Casi siempre",0.362,0.343,0.179,0.062,0.323,0.133
"P06","Casi nunca",0.279,0.238,0.332,0.458,0.203,0.323
"P06","Nunca, pero esta es una excepción",0.157,0.22,0.262,0.281,0.394,0.407
"P09","Unión por la Patria",0.754,0.246,0.167,0.169,0.251,0.141
"P09","Juntos por el Cambio",0.039,0.583,0.179,0.132,0.307,0.285
"P09","De los Liberales libertarios",0.06,0.03,0.468,0.14,0,0.011
"P09","De la Izquierda",0.021,0.025,0.025,0.434,0.04,0.011
"P09","Hacemos por nuestro pais",0.026,0.015,0.084,0,0.014,0.026
"P09","Otro",0.019,0.039,0.015,0.051,0.046,0.061
"P09","En blanco",0.025,0.011,0.008,0,0.321,0.009
"P09","No sabe",0.056,0.051,0.054,0.074,0.021,0.456
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.369,0.119,0.11,0.203,0.24,0.123
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.055,0.039,0.02,0.059,0.032,0
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.311,0.038,0.034,0.169,0,0.072
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.084,0.04,0.006,0.032,0.028,0.026
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.047,0.414,0.25,0.01,0.156,0.164
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.021,0.231,0.024,0.155,0.048,0.057
