"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro pais","Otro","En blanco","No sabe"
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.406,0.092,0.055,0.235,0.121,0.217,0.088,0.126
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.049,0.043,0.011,0.048,0.04,0.107,0.033,0.012
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.269,0.018,0.085,0.072,0.02,0.132,0.021,0.138
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.065,0.018,0,0.048,0.118,0.032,0.048,0.075
"P10_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.106,0.513,0.114,0.113,0.25,0.075,0.073,0.073
"P10_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.022,0.226,0.016,0.23,0.084,0.104,0.055,0.043
"P10_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.079,0.072,0.707,0.077,0.352,0.115,0.158,0.176
"P10_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.001,0,0.012,0.153,0.015,0.1,0.051,0.278
"P10_imputadas","En blanco",0.003,0.018,0,0.024,0,0.118,0.473,0.079
"P13_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.716,0.109,0.051,0.166,0.43,0.257,0.1,0.312
"P13_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.1,0.717,0.135,0.093,0.115,0.054,0.09,0.154
"P13_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.087,0.084,0.8,0.126,0.117,0.288,0.123,0.143
"P13_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.068,0.005,0.014,0.568,0.174,0.12,0,0.151
"P13_imputadas","En blanco",0.029,0.085,0,0.047,0.164,0.281,0.687,0.24
"P16_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.715,0.099,0.149,0.09,0.064,0.352,0.022,0.392
"P16_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.082,0.696,0.134,0.222,0.379,0.125,0.129,0.313
"P16_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.123,0.156,0.69,0.145,0.222,0.257,0.071,0.15
"P16_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.027,0.013,0.023,0.49,0.216,0.235,0.071,0.11
"P16_imputadas","En blanco",0.053,0.036,0.004,0.053,0.119,0.031,0.707,0.035
"P19_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.748,0.136,0.098,0.167,0.155,0.469,0.108,0.376
"P19_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.112,0.6,0.109,0.314,0.145,0.234,0.059,0.363
"P19_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.051,0.107,0.77,0.072,0.475,0.229,0.052,0.109
"P19_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.027,0.053,0.009,0.307,0.072,0.068,0.054,0.114
"P19_imputadas","En blanco",0.062,0.104,0.014,0.14,0.153,0,0.727,0.038
"P22_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.638,0.06,0.146,0.152,0.248,0.256,0.22,0.324
"P22_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.176,0.627,0.058,0.141,0.112,0.355,0.068,0.345
"P22_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.093,0.165,0.73,0.11,0.605,0.19,0.039,0.097
"P22_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.023,0.024,0.056,0.519,0,0.072,0,0.067
"P22_imputadas","En blanco",0.07,0.124,0.01,0.078,0.035,0.127,0.673,0.167
