"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Tiene Decidido que va a ir a votar",0.852,0.877,0.83,0.782,0.91,0.905,0.782,0.782,0.88,0.911,0.869,0.911,0.919,0.91,0.86,0.76,0.739,1
"Tiene dudas sobre si va a ir a  votar",0.103,0.084,0.119,0.142,0.069,0.065,0.155,0.131,0.096,0.068,0.114,0.079,0.01,0.073,0.097,0.209,0.261,0
"Tiene Decidido que no va a ir a votar",0.045,0.039,0.051,0.076,0.021,0.03,0.063,0.087,0.024,0.021,0.017,0.01,0.071,0.017,0.043,0.031,0,0
