"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.387,0.359,0.412,0.266,0.395,0.518,0.415,0.368,0.43,0.321,0.701,0.167,0.227,0.61,0.213,0.113,0.253,0.087
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.282,0.313,0.253,0.354,0.206,0.295,0.301,0.334,0.219,0.335,0.082,0.536,0.364,0.193,0.457,0.562,0.176,0.101
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.179,0.207,0.153,0.22,0.192,0.1,0.179,0.155,0.184,0.208,0.089,0.169,0.368,0.101,0.174,0.325,0.226,0.692
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.06,0.066,0.055,0.052,0.084,0.027,0.066,0.096,0.038,0.048,0.048,0.057,0,0.043,0.061,0,0.218,0.089
"En blanco",0.092,0.055,0.127,0.108,0.123,0.06,0.039,0.047,0.129,0.088,0.08,0.071,0.041,0.053,0.095,0,0.127,0.031
