"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco"
"P05","Mucho",0.374,0.322,0.359,0.359,0.308,0.261,0.303,0.205,0.123
"P05","Bastante",0.267,0.213,0.308,0.143,0.246,0.167,0.166,0.102,0.078
"P05","Poco",0.236,0.101,0.168,0.113,0.218,0.336,0.187,0.193,0.301
"P05","Nada",0.086,0.313,0.142,0.315,0.206,0.216,0.264,0.355,0.479
"P05","No sabe",0.037,0.051,0.023,0.07,0.022,0.02,0.08,0.145,0.019
"P06","Siempre",0.219,0.208,0.134,0.116,0.211,0.068,0.18,0.084,0.056
"P06","Casi siempre",0.27,0.278,0.338,0.311,0.259,0.306,0.155,0.043,0.121
"P06","Casi nunca",0.304,0.212,0.316,0.132,0.261,0.416,0.291,0.385,0.307
"P06","Nunca, pero esta es una excepción",0.207,0.302,0.212,0.441,0.269,0.21,0.374,0.488,0.516
"P09","Unión por la Patria",0.648,0.431,0.659,0.465,0.185,0.087,0.153,0.006,0.022
"P09","Juntos por el Cambio",0.098,0.25,0.03,0.082,0.595,0.59,0.092,0,0.079
"P09","De los Liberales libertarios",0.028,0.03,0.066,0,0.064,0.02,0.438,0.022,0
"P09","De la Izquierda",0.045,0.051,0.021,0.041,0.024,0.109,0.018,0.099,0.02
"P09","Hacemos por nuestro pais",0.014,0.025,0.004,0.06,0.031,0.024,0.049,0.006,0
"P09","Otro",0.043,0.116,0.04,0.028,0.017,0.051,0.028,0.067,0.101
"P09","En blanco",0.022,0.044,0.008,0.053,0.02,0.034,0.048,0.043,0.504
"P09","No sabe",0.102,0.053,0.172,0.271,0.064,0.085,0.174,0.757,0.274
