"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.396,0.327,0.328,0.238,0.255,0.261
"P05","Bastante",0.28,0.287,0.21,0.234,0.101,0.112
"P05","Poco",0.195,0.225,0.218,0.175,0.273,0.222
"P05","Nada",0.101,0.139,0.201,0.229,0.345,0.329
"P05","No sabe",0.028,0.022,0.043,0.124,0.026,0.076
"P06","Siempre",0.197,0.19,0.212,0.042,0.092,0.134
"P06","Casi siempre",0.29,0.298,0.188,0.259,0.105,0.23
"P06","Casi nunca",0.334,0.313,0.275,0.421,0.44,0.208
"P06","Nunca, pero esta es una excepción",0.179,0.199,0.325,0.278,0.363,0.428
"P09","Unión por la Patria",0.732,0.161,0.196,0.311,0.135,0.2
"P09","Juntos por el Cambio",0.08,0.692,0.108,0.019,0.168,0.197
"P09","De los Liberales libertarios",0.02,0.07,0.584,0.028,0,0.008
"P09","De la Izquierda",0.02,0.021,0.009,0.445,0.028,0.025
"P09","Hacemos por nuestro pais",0.026,0,0.009,0.085,0.053,0.042
"P09","Otro",0.024,0.007,0.015,0.02,0.073,0.068
"P09","En blanco",0.01,0.02,0.035,0,0.402,0.006
"P09","No sabe",0.088,0.029,0.044,0.092,0.141,0.454
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.511,0.079,0.086,0.145,0.045,0.02
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.04,0.02,0,0.081,0.095,0.01
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.162,0.065,0.012,0.281,0.084,0.176
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.04,0,0.007,0.072,0.059,0.066
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.099,0.506,0.141,0.05,0.117,0.084
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.029,0.17,0.032,0.074,0.096,0.111
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.073,0.114,0.668,0.015,0.038,0.013
