"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco"
"P05","Mucho",0.342,0.333,0.344,0.29,0.224
"P05","Bastante",0.28,0.191,0.178,0.17,0.193
"P05","Poco",0.237,0.245,0.158,0.198,0.173
"P05","Nada",0.117,0.165,0.265,0.297,0.336
"P05","No sabe",0.024,0.066,0.055,0.045,0.074
"P06","Siempre",0.165,0.143,0.235,0.148,0.158
"P06","Casi siempre",0.318,0.252,0.174,0.147,0.205
"P06","Casi nunca",0.299,0.296,0.311,0.31,0.313
"P06","Nunca, pero esta es una excepción",0.218,0.309,0.28,0.395,0.324
"P09","Unión por la Patria",0.675,0.1,0.208,0.134,0.259
"P09","Juntos por el Cambio",0.063,0.572,0.178,0.043,0.119
"P09","De los Liberales libertarios",0.046,0.053,0.38,0.037,0.007
"P09","De la Izquierda",0.01,0.033,0.03,0.297,0.031
"P09","Hacemos por nuestro pais",0.005,0.038,0.031,0.088,0.048
"P09","Otro",0.033,0.015,0.043,0.114,0.015
"P09","En blanco",0.003,0.02,0.016,0.046,0.445
"P09","No sabe",0.165,0.169,0.114,0.241,0.076
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.435,0.072,0.106,0.125,0.075
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.052,0.016,0.022,0.045,0.061
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.207,0.063,0.04,0.201,0.22
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.065,0.035,0.019,0.019,0.035
"P10_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.101,0.41,0.173,0.043,0.176
"P10_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.023,0.23,0.074,0.016,0
"P10_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.063,0.108,0.518,0.252,0
"P10_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.044,0.046,0.026,0.263,0.015
"P10_imputadas","En blanco",0.01,0.02,0.022,0.036,0.418
"P13_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.684,0.149,0.222,0.088,0.23
"P13_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.108,0.557,0.21,0.063,0.137
"P13_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.087,0.124,0.514,0.159,0.038
"P13_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.07,0.044,0.035,0.498,0.031
"P13_imputadas","En blanco",0.051,0.126,0.019,0.192,0.564
"P19_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.727,0.158,0.23,0.178,0.306
"P19_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.112,0.573,0.244,0.176,0.109
"P19_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.08,0.148,0.476,0.074,0
"P19_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.042,0.023,0.4,0
"P19_imputadas","En blanco",0.04,0.079,0.027,0.172,0.585
"P22_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.622,0.131,0.161,0.168,0.328
"P22_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.18,0.608,0.208,0.04,0.091
"P22_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.081,0.131,0.574,0.137,0.116
"P22_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.02,0.035,0.396,0
"P22_imputadas","En blanco",0.076,0.11,0.022,0.259,0.465
"P25","Totalmente seguro",0.658,0.537,0.634,0.374,0.65
"P25","Bastante seguro",0.132,0.174,0.193,0.078,0.064
"P25","Algo seguro",0.144,0.143,0.064,0.121,0.062
"P25","Para nada seguro",0.066,0.146,0.109,0.427,0.224
"P26","Tiene Decidido que va a ir a votar",0.889,0.819,0.873,0.818,0.762
"P26","Tiene dudas sobre si va a ir a  votar",0.09,0.128,0.066,0.173,0.117
"P26","Tiene Decidido que no va a ir a votar",0.021,0.053,0.061,0.009,0.121
"P27","Si",0.953,0.955,0.984,1,1
"P27","No",0.047,0.045,0.016,0,0
