"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco"
"P05","Mucho",0.397,0.307,0.383,0.272,0.248
"P05","Bastante",0.271,0.176,0.215,0.188,0.343
"P05","Poco",0.2,0.234,0.181,0.143,0.145
"P05","Nada",0.1,0.213,0.184,0.337,0.253
"P05","No sabe",0.032,0.07,0.037,0.06,0.011
"P06","Siempre",0.205,0.175,0.223,0.178,0.086
"P06","Casi siempre",0.331,0.298,0.185,0.056,0.259
"P06","Casi nunca",0.302,0.249,0.308,0.462,0.239
"P06","Nunca, pero esta es una excepción",0.162,0.278,0.284,0.304,0.416
"P09","Unión por la Patria",0.687,0.21,0.159,0.151,0.22
"P09","Juntos por el Cambio",0.048,0.548,0.208,0.118,0.284
"P09","De los Liberales libertarios",0.053,0.023,0.423,0.126,0.011
"P09","De la Izquierda",0.019,0.02,0.022,0.412,0.029
"P09","Hacemos por nuestro pais",0.024,0.012,0.094,0,0.01
"P09","Otro",0.026,0.04,0.031,0.045,0.038
"P09","En blanco",0.026,0.009,0.007,0,0.233
"P09","No sabe",0.117,0.138,0.056,0.148,0.175
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.358,0.129,0.125,0.182,0.212
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.047,0.048,0.018,0.052,0.023
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.303,0.034,0.03,0.18,0.026
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.089,0.034,0.006,0.029,0.021
"P10_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.057,0.392,0.278,0.009,0.199
"P10_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.018,0.208,0.022,0.138,0.096
"P10_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.081,0.078,0.519,0.155,0.115
"P10_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.03,0.052,0.002,0.211,0.131
"P10_imputadas","En blanco",0.017,0.025,0,0.044,0.177
"P13_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.636,0.172,0.233,0.192,0.295
"P13_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.097,0.569,0.213,0.092,0.236
"P13_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.104,0.131,0.476,0.146,0.143
"P13_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.075,0.034,0.035,0.57,0.004
"P13_imputadas","En blanco",0.088,0.094,0.043,0,0.322
"P16_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.678,0.217,0.141,0.275,0.242
"P16_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.118,0.605,0.188,0.109,0.287
"P16_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.103,0.148,0.59,0.138,0.042
"P16_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.033,0.009,0.043,0.478,0.148
"P16_imputadas","En blanco",0.068,0.021,0.038,0,0.281
"P19_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.812,0.228,0.197,0.122,0.103
"P19_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.067,0.623,0.221,0.144,0.172
"P19_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.073,0.119,0.472,0.146,0.09
"P19_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.029,0.011,0.045,0.532,0.042
"P19_imputadas","En blanco",0.019,0.019,0.065,0.056,0.593
"P25","Totalmente seguro",0.668,0.544,0.641,0.418,0.545
"P25","Bastante seguro",0.118,0.185,0.17,0.097,0.129
"P25","Algo seguro",0.133,0.139,0.108,0.176,0.025
"P25","Para nada seguro",0.081,0.132,0.081,0.309,0.301
"P26","Tiene Decidido que va a ir a votar",0.865,0.886,0.827,0.881,0.76
"P26","Tiene dudas sobre si va a ir a  votar",0.085,0.102,0.114,0.108,0.131
"P26","Tiene Decidido que no va a ir a votar",0.05,0.012,0.059,0.011,0.109
"P27","Si",0.945,0.978,0.98,1,1
"P27","No",0.055,0.022,0.02,0,0
