"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Mucho",0.295,0.348,0.247,0.266,0.302,0.307,0.321,0.271,0.286,0.358,0.373,0.352,0.35,0.416,0.308,0.355,0.258,0.182
"Bastante",0.221,0.203,0.237,0.141,0.215,0.339,0.224,0.132,0.253,0.301,0.289,0.261,0.199,0.271,0.29,0.186,0.039,0.125
"Poco",0.201,0.164,0.235,0.148,0.259,0.196,0.175,0.175,0.234,0.172,0.215,0.195,0.298,0.192,0.257,0.296,0.071,0.15
"Nada",0.236,0.233,0.238,0.378,0.184,0.134,0.224,0.342,0.198,0.138,0.11,0.173,0.135,0.095,0.126,0.126,0.4,0.367
"No sabe",0.047,0.052,0.043,0.067,0.04,0.024,0.056,0.08,0.029,0.031,0.013,0.019,0.018,0.026,0.019,0.037,0.232,0.176
