"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.239,0.263,0.221,0.183,0.229,0.317,0.184,0.299,0.226,0.225,0.181,0.524,0.176,0.066,0.444,0,0,0,6
"Buena",0.147,0.139,0.153,0.115,0.085,0.2,0.267,0.04,0.197,0.139,0.087,0.286,0,0.028,0.277,0,0,0,6
"Ni buena ni mala",0.146,0.133,0.156,0.229,0.131,0.144,0.107,0.342,0.101,0.106,0.199,0.11,0.161,0.093,0.13,0,0,0,6
"Mala",0.128,0.158,0.105,0.099,0.169,0.064,0.15,0.154,0.118,0.126,0.204,0.017,0.069,0.2,0.094,0,0,0,6
"Muy mala",0.325,0.3,0.344,0.374,0.367,0.275,0.242,0.139,0.337,0.4,0.297,0.063,0.594,0.598,0.055,0,0,0,6
"No sabe",0.015,0.007,0.021,0,0.019,0,0.05,0.026,0.021,0.004,0.032,0,0,0.015,0,0,0,0,6
"Positiva",0.386,0.402,0.374,0.298,0.314,0.517,0.451,0.339,0.423,0.364,0.268,0.81,0.176,0.094,0.721,0,0,0,4
"Neutra",0.146,0.133,0.156,0.229,0.131,0.144,0.107,0.342,0.101,0.106,0.199,0.11,0.161,0.093,0.13,0,0,0,4
"Negativa",0.453,0.458,0.449,0.473,0.536,0.339,0.392,0.293,0.455,0.526,0.501,0.08,0.663,0.798,0.149,0,0,0,4
"No sabe",0.015,0.007,0.021,0,0.019,0,0.05,0.026,0.021,0.004,0.032,0,0,0.015,0,0,0,0,4
