"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Si",0.665,0.695,0.641,0.54,0.697,0.711,0.622,0.409,0.677,0.765,0.584,0.77,0.699,0.693,0.76,0,0,0
"No",0.335,0.305,0.359,0.46,0.303,0.289,0.378,0.591,0.323,0.235,0.416,0.23,0.301,0.307,0.24,0,0,0
