"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.338,0.322,0.355,0.334,0.327,0.387,0.287,0.376,0.337,0.321,0.254,0.617,0.129,0.091,0.591,0,0,0,6
"Buena",0.146,0.123,0.17,0.111,0.164,0.108,0.212,0.175,0.138,0.141,0.132,0.275,0.081,0.013,0.217,0,0,0,6
"Ni buena ni mala",0.101,0.114,0.086,0.111,0.063,0.059,0.252,0.103,0.146,0.051,0.179,0.034,0.148,0.169,0.077,0,0,0,6
"Mala",0.065,0.05,0.082,0.08,0.036,0.107,0.048,0.023,0.062,0.088,0.111,0.032,0.196,0.148,0.02,0,0,0,6
"Muy mala",0.341,0.388,0.291,0.364,0.386,0.339,0.201,0.323,0.307,0.387,0.313,0.036,0.446,0.569,0.092,0,0,0,6
"No sabe",0.009,0.003,0.016,0,0.024,0,0,0,0.01,0.012,0.011,0.006,0,0.01,0.003,0,0,0,6
"Positiva",0.484,0.445,0.525,0.445,0.491,0.495,0.499,0.551,0.475,0.462,0.386,0.892,0.21,0.104,0.808,0,0,0,4
"Neutra",0.101,0.114,0.086,0.111,0.063,0.059,0.252,0.103,0.146,0.051,0.179,0.034,0.148,0.169,0.077,0,0,0,4
"Negativa",0.406,0.438,0.373,0.444,0.422,0.446,0.249,0.346,0.369,0.475,0.424,0.068,0.642,0.717,0.112,0,0,0,4
"No sabe",0.009,0.003,0.016,0,0.024,0,0,0,0.01,0.012,0.011,0.006,0,0.01,0.003,0,0,0,4
