"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.236,0.14,0.341,0.111,0.273,0.27,0.261,0.117,0.345,0.174,0.212,0.501,0.129,0.081,0.444,0,0,0,6
"Buena",0.192,0.179,0.205,0.223,0.133,0.234,0.225,0.304,0.13,0.206,0.13,0.424,0.081,0.027,0.238,0,0,0,6
"Ni buena ni mala",0.104,0.138,0.067,0.111,0.119,0.077,0.102,0.13,0.07,0.128,0.067,0.027,0.13,0.048,0.187,0,0,0,6
"Mala",0.091,0.128,0.051,0.111,0.077,0.068,0.138,0.092,0.118,0.062,0.124,0,0.196,0.141,0.02,0,0,0,6
"Muy mala",0.372,0.413,0.327,0.444,0.383,0.351,0.274,0.357,0.327,0.427,0.456,0.042,0.464,0.703,0.108,0,0,0,6
"No sabe",0.005,0.002,0.009,0,0.015,0,0,0,0.01,0.003,0.011,0.006,0,0,0.003,0,0,0,6
"Positiva",0.428,0.319,0.546,0.334,0.406,0.504,0.486,0.421,0.475,0.38,0.342,0.925,0.21,0.108,0.682,0,0,0,4
"Neutra",0.104,0.138,0.067,0.111,0.119,0.077,0.102,0.13,0.07,0.128,0.067,0.027,0.13,0.048,0.187,0,0,0,4
"Negativa",0.463,0.541,0.378,0.555,0.46,0.419,0.412,0.449,0.445,0.489,0.58,0.042,0.66,0.844,0.128,0,0,0,4
"No sabe",0.005,0.002,0.009,0,0.015,0,0,0,0.01,0.003,0.011,0.006,0,0,0.003,0,0,0,4
