"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P12","Gran excedente habitual",0.003,0.006,0.005,0.008,0.009,0,0,0,0,0
"P12","Gran excedente excepcional",0,0,0,0,0,0,0,0,0,0
"P12","Pequeño excedente habitual",0.088,0.021,0.03,0.094,0.093,0.053,0,0,0,0
"P12","Pequeño excedente excepcional",0.027,0.05,0.036,0.026,0,0,0.574,0.617,0,0
"P12","Alcanza gastos familia",0.164,0.153,0.355,0.208,0.397,0,0,0,0.288,0
"P12","No alcanza gastos familia",0.164,0.24,0.052,0.26,0.027,0.373,0,0,0,0
"P12","Solo NBFamiliares",0.183,0.295,0.367,0.363,0.256,0.33,0.426,0,0.447,0
"P12","No alcanza NBFamiliares",0.371,0.235,0.143,0.041,0.218,0.244,0,0.383,0.265,1
"P12","No sabe",0,0,0.012,0,0,0,0,0,0,0
"P13","Muy buena",0.038,0.09,0.061,0,0,0,0,0,0,0
"P13","Buena",0.068,0.256,0.084,0.089,0.058,0,0,0.383,0,0
"P13","Ni buena ni mala",0.192,0.28,0.237,0.325,0.313,0.286,0.426,0,0.814,0.254
"P13","Mala",0.438,0.274,0.575,0.38,0.311,0.207,0,0.617,0.186,0
"P13","Muy mala",0.195,0.1,0.043,0.206,0.318,0.44,0.574,0,0,0.746
"P13","No sabe",0.069,0,0,0,0,0.067,0,0,0,0
"P14","Muy buena",0.23,0.43,0.567,0.198,0.188,0.192,0.574,0,0.265,0
"P14","Buena",0.052,0.192,0.175,0.204,0.249,0.135,0,0,0,0
"P14","Ni buena ni mala",0.05,0.042,0.109,0.072,0.046,0.058,0,0,0.261,0
"P14","Mala",0.176,0.125,0.045,0.025,0.233,0.124,0,0.617,0,0
"P14","Muy mala",0.49,0.211,0.104,0.501,0.284,0.491,0.426,0.383,0.474,0.746
"P14","No sabe",0.002,0,0,0,0,0,0,0,0,0.254
"P15","Muy buena",0.028,0.025,0.061,0,0.064,0,0,0,0,0
"P15","Buena",0.058,0.294,0.102,0.02,0.193,0.124,0,0,0,0.254
"P15","Ni buena ni mala",0.223,0.407,0.299,0.502,0.253,0.087,0.426,0,0.553,0
"P15","Mala",0.339,0.076,0.287,0.217,0.088,0.317,0.574,1,0.186,0
"P15","Muy mala",0.282,0.198,0.251,0.261,0.402,0.405,0,0,0.261,0.746
"P15","No sabe",0.07,0,0,0,0,0.067,0,0,0,0
"P19","Muy buena",0.046,0.028,0.075,0,0,0,0,0,0,0
"P19","Buena",0.078,0.121,0.129,0.275,0.024,0.125,0,0.383,0.261,0
"P19","Ni buena ni mala",0.329,0.349,0.231,0.259,0.347,0.257,0.426,0.617,0.739,0
"P19","Mala",0.359,0.306,0.373,0.322,0.296,0.238,0,0,0,0
"P19","Muy mala",0.179,0.053,0.185,0.144,0.333,0.38,0.574,0,0,0.746
"P19","No sabe",0.009,0.143,0.007,0,0,0,0,0,0,0.254
"P20","Gobierno nacional",0.388,0.268,0.18,0.437,0.194,0.222,0.426,0.383,0.186,0
"P20","Gobierno provincial",0.474,0.673,0.762,0.504,0.576,0.587,0.574,0.617,0.261,0
"P20","No sabe",0.138,0.059,0.058,0.059,0.23,0.191,0,0,0.553,1
"P21","El anterior gobierno de Arabela Carreras",0.446,0.288,0.353,0.425,0.082,0.145,0,0,1,0
"P21","El actual gobierno de Alberto Weretilneck",0.217,0.6,0.575,0.552,0.257,0.855,1,0,0,0
"P21","No sabe",0.337,0.112,0.072,0.023,0.661,0,0,1,0,0
"P22","El anterior gobierno de Alberto Fernández",0.347,0.276,0.696,0.008,0,0.353,0,0,0,0
"P22","El actual gobierno de Javier Milei",0.645,0.724,0.304,0.992,1,0.647,1,1,1,0
"P22","No sabe",0.008,0,0,0,0,0,0,0,0,0
"P23","Empleado sector publico",0.097,0.197,0.12,0.212,0.085,0.125,0,0,0.186,0
"P23","Empleado sector privado",0.132,0.326,0.218,0.233,0.553,0.422,0,0,0.288,0
"P23","Changas o trabajos eventuales",0.335,0.121,0.103,0.025,0.215,0,0,0,0,0
"P23","Estudiante",0.067,0.073,0.122,0.185,0,0,0,0,0,0
"P23","Amas de casa",0.075,0.059,0.064,0.009,0.009,0,0,0,0,0
"P23","Profesional o independiente",0.122,0.106,0.264,0.206,0.065,0.297,0.574,0,0,0
"P23","Comerciante, emprendedor o empresario",0.037,0,0.023,0.097,0.04,0,0,0.617,0,0
"P23","Trabajador informal",0.008,0.005,0.013,0,0,0,0,0.383,0,0.254
"P23","No tengo trabajo",0.127,0.113,0.073,0.033,0.033,0.156,0.426,0,0.526,0.746
"P24","Muy de acuerdo",0.136,0.081,0.073,0.289,0.117,0.185,0,0,0,0
"P24","De acuerdo",0.131,0.277,0.326,0.3,0.048,0.053,0,0,0.474,0
"P24","Ni de acuerdo ni en desacuerdo",0.392,0.41,0.273,0.229,0.65,0.346,0.574,1,0.265,0.254
"P24","En desacuerdo",0.144,0.156,0.104,0.099,0.096,0.028,0.426,0,0.261,0
"P24","Muy en desacuerdo",0.19,0.039,0.218,0.056,0.089,0.321,0,0,0,0.746
"P24","No sabe",0.007,0.037,0.006,0.027,0,0.067,0,0,0,0
"P25","Muy de acuerdo",0.118,0.072,0.282,0.112,0.03,0.028,0,0,0.265,0
"P25","De acuerdo",0.056,0.348,0.228,0.17,0.214,0.209,0.574,0,0,0
"P25","Ni de acuerdo ni en desacuerdo",0.152,0.309,0.168,0.096,0.295,0.162,0,0,0,0
"P25","En desacuerdo",0.496,0.17,0.14,0.523,0.16,0.141,0.426,1,0.261,0.254
"P25","Muy en desacuerdo",0.175,0.101,0.171,0.099,0.301,0.393,0,0,0.474,0.746
"P25","No sabe",0.003,0,0.011,0,0,0.067,0,0,0,0
"P26","Si",0.586,0.616,0.67,0.807,0.78,0.674,0.426,0,0.553,0
"P26","No",0.414,0.384,0.33,0.193,0.22,0.326,0.574,1,0.447,1
"P27","Muy de acuerdo",0.118,0.195,0.354,0.087,0.052,0.271,0,0,0.265,0
"P27","De acuerdo",0.087,0.37,0.131,0.103,0.066,0,0,0,0.186,0
"P27","Ni de acuerdo ni en desacuerdo",0.203,0.243,0.316,0.289,0.261,0.178,0.574,1,0,0
"P27","En desacuerdo",0.374,0.105,0.171,0.335,0.407,0.214,0,0,0.288,0
"P27","Muy en desacuerdo",0.218,0.083,0.028,0.186,0.214,0.337,0.426,0,0,1
"P27","No sabe",0,0.004,0,0,0,0,0,0,0.261,0
"P28","Si",0.612,0.638,0.866,0.936,0.791,0.875,0.426,0,1,0
"P28","No",0.388,0.362,0.134,0.064,0.209,0.125,0.574,1,0,1
"P29","Muy de acuerdo",0.15,0.199,0.157,0.138,0.262,0.19,0,0,0.265,0
"P29","De acuerdo",0.145,0.324,0.428,0.218,0.212,0.091,0,0,0,0
