"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.075,0.059,0.086,0.057,0.051,0.112,0.097,0.126,0.079,0.047,0.149,0.028,0.069,0.07,0.08,0,0,0,6
"Buena",0.111,0.084,0.131,0.045,0.1,0.137,0.168,0.04,0.098,0.158,0.217,0.059,0.054,0.166,0.071,0,0,0,6
"Ni buena ni mala",0.36,0.408,0.325,0.508,0.305,0.318,0.439,0.353,0.369,0.353,0.372,0.318,0.544,0.466,0.254,0,0,0,6
"Mala",0.251,0.246,0.254,0.168,0.252,0.305,0.238,0.265,0.254,0.24,0.165,0.377,0.224,0.183,0.347,0,0,0,6
"Muy mala",0.158,0.185,0.138,0.177,0.234,0.095,0.028,0.128,0.155,0.176,0.038,0.172,0.109,0.103,0.205,0,0,0,6
"No sabe",0.045,0.018,0.066,0.045,0.058,0.033,0.03,0.088,0.045,0.026,0.059,0.046,0,0.012,0.043,0,0,0,6
"Positiva",0.186,0.143,0.217,0.102,0.151,0.249,0.265,0.166,0.177,0.205,0.366,0.087,0.123,0.236,0.151,0,0,0,4
"Neutra",0.36,0.408,0.325,0.508,0.305,0.318,0.439,0.353,0.369,0.353,0.372,0.318,0.544,0.466,0.254,0,0,0,4
"Negativa",0.409,0.431,0.392,0.345,0.486,0.4,0.266,0.393,0.409,0.416,0.203,0.549,0.333,0.286,0.552,0,0,0,4
"No sabe",0.045,0.018,0.066,0.045,0.058,0.033,0.03,0.088,0.045,0.026,0.059,0.046,0,0.012,0.043,0,0,0,4
