"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.091,0.03,0.158,0,0.107,0.135,0.107,0.18,0.111,0.029,0.083,0.234,0,0.034,0.122,0,0,0,6
"Buena",0.143,0.129,0.159,0.111,0.119,0.221,0.118,0.174,0.12,0.154,0.107,0.325,0.131,0.029,0.183,0,0,0,6
"Ni buena ni mala",0.311,0.283,0.343,0.222,0.325,0.319,0.391,0.205,0.408,0.257,0.428,0.248,0.475,0.411,0.333,0,0,0,6
"Mala",0.186,0.185,0.186,0.222,0.187,0.157,0.179,0.177,0.139,0.239,0.138,0.077,0.251,0.196,0.211,0,0,0,6
"Muy mala",0.199,0.268,0.123,0.222,0.231,0.149,0.169,0.264,0.142,0.23,0.218,0.006,0.126,0.298,0.087,0,0,0,6
"No sabe",0.07,0.105,0.031,0.223,0.031,0.019,0.036,0,0.08,0.091,0.026,0.11,0.017,0.032,0.064,0,0,0,6
"Positiva",0.234,0.159,0.317,0.111,0.226,0.356,0.225,0.354,0.231,0.183,0.19,0.559,0.131,0.063,0.305,0,0,0,4
"Neutra",0.311,0.283,0.343,0.222,0.325,0.319,0.391,0.205,0.408,0.257,0.428,0.248,0.475,0.411,0.333,0,0,0,4
"Negativa",0.385,0.453,0.309,0.444,0.418,0.306,0.348,0.441,0.281,0.469,0.356,0.083,0.377,0.494,0.298,0,0,0,4
"No sabe",0.07,0.105,0.031,0.223,0.031,0.019,0.036,0,0.08,0.091,0.026,0.11,0.017,0.032,0.064,0,0,0,4
