"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Oponerse totalmente",0.381,0.446,0.315,0.377,0.384,0.352,0.426,0.505,0.341,0.365,0.439,0.026,0.751,0.642,0.099,0,0,0
"Oponerse parcialmente",0.132,0.083,0.18,0.102,0.178,0.117,0.082,0.116,0.134,0.136,0.183,0.082,0.145,0.196,0.046,0,0,0
"Apoyar parcialmente",0.267,0.23,0.304,0.349,0.123,0.38,0.322,0.203,0.27,0.293,0.248,0.544,0.083,0.131,0.391,0,0,0
"Apoyar totalmente",0.205,0.236,0.175,0.172,0.301,0.126,0.146,0.176,0.234,0.189,0.123,0.318,0.021,0.015,0.451,0,0,0
"No sabe",0.015,0.005,0.026,0,0.014,0.025,0.024,0,0.021,0.017,0.007,0.03,0,0.016,0.013,0,0,0
