"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa por el Frente de todos",0.383,0.367,0.396,0.429,0.382,0.374,0.322,0.407,0.399,0.32,0.641,0.06,0.292,0.421,0.297
"Manes por el Radicalismo en Cambiemos",0.224,0.207,0.24,0.162,0.196,0.283,0.313,0.25,0.203,0.228,0.099,0.422,0.188,0.204,0.27
"Santilli por el Pro en Cambiemos",0.199,0.191,0.207,0.171,0.194,0.187,0.272,0.173,0.209,0.216,0.074,0.391,0.229,0.199,0.198
"Florencio Randazzo",0.074,0.092,0.057,0.041,0.099,0.08,0.055,0.089,0.055,0.086,0.095,0.036,0.142,0.071,0.08
"Espert por los liberales",0.058,0.079,0.04,0.093,0.057,0.05,0.017,0.024,0.067,0.09,0.027,0.07,0.076,0.047,0.084
"Del Caño por el Frente de Izquierda",0.062,0.064,0.06,0.104,0.072,0.026,0.021,0.057,0.067,0.06,0.064,0.021,0.073,0.058,0.071
