"var","categoria","Si","Puede ser","No"
"P09","Sergio Massa por el Frente de todos",0.382,0.44,0.338
"P09","Jorge Macri por Cambiemos",0.404,0.264,0.23
"P09","Florencio Randazzo",0.088,0.096,0.209
"P09","Espert por los liberales",0.055,0.084,0.117
"P09","Del Caño por el Frente de Izquierda",0.071,0.116,0.106
"P11","Santiago Cafiero por el Frente de todos",0.364,0.409,0.301
"P11","Jorge Macri por Cambiemos",0.387,0.257,0.287
"P11","Florencio Randazzo",0.12,0.146,0.174
"P11","Espert por los liberales",0.063,0.103,0.148
"P11","Del Caño por el Frente de Izquierda",0.066,0.085,0.09
"P13","Sergio Massa por el Frente de todos",0.381,0.41,0.355
"P13","Manes por el Radicalismo en Cambiemos",0.222,0.252,0.215
"P13","Santilli por el Pro en Cambiemos",0.205,0.189,0.148
"P13","Florencio Randazzo",0.078,0.024,0.094
"P13","Espert por los liberales",0.052,0.08,0.093
"P13","Del Caño por el Frente de Izquierda",0.062,0.045,0.095
"P15","Santiago Cafiero por el Frente de todos",0.371,0.399,0.34
"P15","Manes por el Radicalismo en Cambiemos",0.209,0.278,0.27
"P15","Santilli por el Pro en Cambiemos",0.233,0.14,0.137
"P15","Florencio Randazzo",0.121,0.113,0.144
"P15","Espert por los liberales",0.034,0.068,0.068
"P15","Del Caño por el Frente de Izquierda",0.032,0.002,0.041
