"var","categoria","Sergio Massa por el Frente de todos","Jorge Macri por Cambiemos","Florencio Randazzo","Espert por los liberales","Del Caño por el Frente de Izquierda"
"P08","Si",0.802,0.873,0.729,0.708,0.73
"P08","Puede ser",0.134,0.083,0.116,0.157,0.173
"P08","No",0.064,0.044,0.155,0.135,0.097
"P11","Santiago Cafiero por el Frente de todos",0.767,0.109,0.149,0.013,0.176
"P11","Jorge Macri por Cambiemos",0.07,0.861,0.093,0.075,0
"P11","Florencio Randazzo",0.118,0.019,0.723,0.023,0.026
"P11","Espert por los liberales",0.009,0.008,0.035,0.866,0.128
"P11","Del Caño por el Frente de Izquierda",0.036,0.003,0,0.023,0.67
"P13","Sergio Massa por el Frente de todos",0.827,0.083,0.158,0.011,0.205
"P13","Manes por el Radicalismo en Cambiemos",0.073,0.411,0.177,0.235,0.122
"P13","Santilli por el Pro en Cambiemos",0.046,0.431,0.1,0.145,0.005
"P13","Florencio Randazzo",0.021,0.027,0.516,0.054,0.013
"P13","Espert por los liberales",0.019,0.031,0.03,0.512,0.051
"P13","Del Caño por el Frente de Izquierda",0.014,0.017,0.019,0.043,0.604
"P15","Santiago Cafiero por el Frente de todos",0.773,0.077,0.168,0.038,0.366
"P15","Manes por el Radicalismo en Cambiemos",0.054,0.419,0.176,0.247,0.118
"P15","Santilli por el Pro en Cambiemos",0.039,0.445,0.108,0.241,0.075
"P15","Florencio Randazzo",0.1,0.043,0.537,0.077,0.111
"P15","Espert por los liberales",0.006,0.015,0.011,0.397,0.08
"P15","Del Caño por el Frente de Izquierda",0.028,0.001,0,0,0.25
