"var","categoria","Santiago Cafiero por el Frente de todos","Jorge Macri por Cambiemos","Florencio Randazzo","Espert por los liberales","Del Caño por el Frente de Izquierda"
"P08","Si",0.812,0.862,0.768,0.694,0.767
"P08","Puede ser",0.128,0.08,0.131,0.159,0.139
"P08","No",0.06,0.058,0.101,0.147,0.094
"P09","Sergio Massa por el Frente de todos",0.807,0.073,0.358,0.045,0.197
"P09","Jorge Macri por Cambiemos",0.113,0.889,0.058,0.038,0.016
"P09","Florencio Randazzo",0.04,0.025,0.557,0.046,0
"P09","Espert por los liberales",0.002,0.013,0.011,0.733,0.021
"P09","Del Caño por el Frente de Izquierda",0.038,0,0.016,0.138,0.766
"P13","Sergio Massa por el Frente de todos",0.805,0.091,0.272,0.109,0.159
"P13","Manes por el Radicalismo en Cambiemos",0.054,0.446,0.135,0.209,0.135
"P13","Santilli por el Pro en Cambiemos",0.06,0.409,0.147,0.1,0.022
"P13","Florencio Randazzo",0.035,0.01,0.419,0.05,0
"P13","Espert por los liberales",0.015,0.028,0.02,0.471,0.069
"P13","Del Caño por el Frente de Izquierda",0.031,0.016,0.007,0.061,0.615
"P15","Santiago Cafiero por el Frente de todos",0.848,0.065,0.125,0.068,0.214
"P15","Manes por el Radicalismo en Cambiemos",0.034,0.45,0.133,0.205,0.172
"P15","Santilli por el Pro en Cambiemos",0.054,0.443,0.067,0.258,0.058
"P15","Florencio Randazzo",0.054,0.024,0.644,0.074,0.127
"P15","Espert por los liberales",0.001,0.014,0.012,0.354,0.107
"P15","Del Caño por el Frente de Izquierda",0.009,0.004,0.019,0.041,0.322
