"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Santiago Cafiero por el Frente de todos",0.372,0.36,0.383,0.398,0.405,0.34,0.29,0.396,0.351,0.375,0.617,0.06,0.326,0.378,0.359
"Manes por el Radicalismo en Cambiemos",0.221,0.182,0.259,0.181,0.204,0.245,0.298,0.253,0.185,0.242,0.097,0.406,0.152,0.217,0.231
"Santilli por el Pro en Cambiemos",0.215,0.255,0.178,0.18,0.191,0.238,0.302,0.17,0.248,0.219,0.064,0.428,0.262,0.215,0.215
"Florencio Randazzo",0.121,0.127,0.116,0.125,0.132,0.124,0.087,0.148,0.124,0.082,0.166,0.053,0.142,0.116,0.134
"Espert por los liberales",0.041,0.056,0.025,0.048,0.046,0.042,0.013,0.016,0.046,0.064,0.019,0.047,0.081,0.04,0.041
"Del Caño por el Frente de Izquierda",0.03,0.02,0.039,0.068,0.022,0.011,0.01,0.017,0.046,0.018,0.037,0.006,0.037,0.034,0.02
