"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.516,0.392,0.395
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.185,0.283
"P04","No tengo trabajo",0.132,0.185,0.176
"P04","Soy jubilado o pensionado",0.156,0.238,0.146
"P05","1",0.142,0.41,0.3
"P05","2",0.042,0.058,0.092
"P05","3",0.04,0.075,0.068
"P05","4",0.058,0.077,0.055
"P05","5",0.13,0.205,0.13
"P05","6",0.054,0.039,0.033
"P05","7",0.166,0.043,0.079
"P05","8",0.125,0.029,0.03
"P05","9",0.243,0.064,0.213
"P06","1",0.354,0.131,0.403
"P06","2",0.106,0.038,0.051
"P06","3",0.088,0.024,0.02
"P06","4",0.047,0.048,0.037
"P06","5",0.172,0.154,0.163
"P06","6",0.039,0.054,0.06
"P06","7",0.041,0.079,0.026
"P06","8",0.013,0.12,0.028
"P06","9",0.14,0.352,0.212
"P07","1",0.572,0.189,0.495
"P07","2",0.078,0.043,0.013
"P07","3",0.05,0.036,0.017
"P07","4",0.012,0.033,0.012
"P07","5",0.086,0.133,0.07
"P07","6",0.014,0.058,0.04
"P07","7",0.016,0.059,0.03
"P07","8",0.007,0.048,0.05
"P07","9",0.165,0.401,0.273
"P09","Del Frente de Todos y el peronismo",0.821,0.045,0.348
"P09","De Juntos por el cambio",0.034,0.589,0.196
"P09","De los Liberales libertarios",0.016,0.308,0.166
"P09","De la Izquierda",0.027,0.007,0.046
"P09","No sabe",0.102,0.051,0.244
"P10","A Alberto Fernández",0.16,0.289,0.149
"P10","A Sergio Massa",0.243,0.21,0.204
"P10","A algún candidato del peronismo",0.096,0.343,0.105
"P10","A algún candidato del kirchnerismo",0.501,0.158,0.542
"P11","A Alberto Fernández",0.109,0.24,0.162
"P11","A Sergio Massa",0.138,0.093,0.143
"P11","A algún candidato del peronismo",0.076,0.601,0.082
"P11","A Cristina Fernández de Kirchner",0.677,0.066,0.613
"P12","A Horacio Rodriguez Larreta",0.467,0.166,0.457
"P12","A Mauricio Macri",0.03,0.409,0.13
"P12","A Patricia Bullrich",0.027,0.384,0.116
"P12","A Facundo Manes",0.315,0.033,0.184
"P12","A Gerardo Morales",0.161,0.008,0.113
"P13","Seguro lo votaria",0,0.145,0.173
"P13","Quizás lo votaría",0.354,0.436,0.371
"P13","Nunca lo votaría",0.646,0.419,0.456
"P14","Lo votaría",0.039,0.479,0.061
"P14","Puede que lo vote",0.022,0.285,0.128
"P14","Nunca lo votaría",0.892,0.205,0.732
"P14","No sabe",0.047,0.031,0.079
"P15","Lo votaría",0.303,0.039,0.086
"P15","Puede que lo vote",0.501,0.064,0.274
"P15","Nunca lo votaría",0.142,0.892,0.577
"P15","No sabe",0.054,0.005,0.063
"P16","Lo votaría",0.266,0.008,0.129
"P16","Puede que lo vote",0.472,0.005,0.17
"P16","Nunca lo votaría",0.149,0.983,0.583
"P16","No sabe",0.113,0.004,0.118
"P17","La votaría",0.74,0.011,0.381
"P17","Puede que la vote",0.15,0.003,0.103
"P17","Nunca la votaría",0.091,0.985,0.472
"P17","No sabe",0.019,0.001,0.044
"P18","Lo votaría",0.071,0.2,0.144
"P18","Puede que lo vote",0.098,0.4,0.115
"P18","Nunca lo votaría",0.783,0.365,0.692
"P18","No sabe",0.048,0.035,0.049
"P19","Lo votaría",0.042,0.07,0.066
"P19","Puede que lo vote",0.161,0.269,0.153
"P19","Nunca lo votaría",0.646,0.591,0.656
"P19","No sabe",0.151,0.07,0.125
"P20","La votaría",0.011,0.583,0.047
"P20","Puede que la vote",0.041,0.3,0.148
"P20","Nunca la votaría",0.93,0.098,0.733
"P20","No sabe",0.018,0.019,0.072
"P21","Lo votaría",0.011,0.311,0.181
"P21","Puede que lo vote",0.033,0.345,0.146
"P21","Nunca lo votaría",0.925,0.3,0.607
"P21","No sabe",0.031,0.044,0.066
"P22","La votaría",0.029,0.217,0.06
"P22","Puede que la vote",0.027,0.423,0.121
"P22","Nunca la votaría",0.891,0.315,0.72
"P22","No sabe",0.053,0.045,0.099
"P23","Lo votaría",0.216,0.013,0.094
"P23","Puede que lo vote",0.446,0.06,0.15
"P23","Nunca lo votaría",0.258,0.908,0.659
"P23","No sabe",0.08,0.019,0.097
"P24","Lo votaría",0.035,0.042,0.018
"P24","Puede que lo vote",0.101,0.241,0.093
"P24","Nunca lo votaría",0.764,0.658,0.777
"P24","No sabe",0.1,0.059,0.112
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.771,0.007,0.394
"P26","Alberto Fernández por el Frente de Todos",0.108,0.002,0.027
"P26","Mauricio Macri por Juntos por el cambio",0.016,0.269,0.022
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.12,0.15
"P26","Patricia Bullrich por Juntos por el Cambio",0.008,0.338,0.044
"P26","Facundo Manes por Juntos por el Cambio",0.021,0.036,0.035
"P26","Javier Milei por los liberales libertarios",0.006,0.204,0.185
"P26","Nicolás del Caño por la izquierda",0.015,0.001,0.029
"P26","Aún no lo tengo decidido",0.029,0.023,0.114
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.137,0.201
"P27","Patricia Bullrich por Juntos por el Cambio",0.002,0.544,0.046
"P27","Facundo Manes por Juntos por el Cambio",0.015,0.045,0.03
"P27","Alberto Fernández por el Frente de Todos",0.222,0.005,0.148
"P27","Sergio Massa por el Frente de Todos",0.532,0.008,0.141
"P27","Javier Milei por los liberales libertarios",0.016,0.23,0.172
"P27","Nicolás del Caño por la izquierda",0.036,0.005,0.035
"P27","Otros candidatos",0.082,0.005,0.075
"P27","Aún no lo tengo decidido",0.07,0.021,0.152
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.843,0.008,0.38
