"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.513,0.375,0.394,0.536,0.436,0.333
"P04","Realizo changas o trabajos de vez en cuando",0.167,0.176,0.282,0.324,0.188,0.286
"P04","No tengo trabajo",0.132,0.142,0.241,0.063,0.209,0.204
"P04","Soy jubilado o pensionado",0.188,0.307,0.083,0.077,0.167,0.177
"P05","1",0.183,0.396,0.377,0.139,0.275,0.196
"P05","2",0.06,0.059,0.11,0.041,0.041,0.038
"P05","3",0.021,0.058,0.142,0.05,0.063,0.054
"P05","4",0.056,0.082,0.071,0.006,0.086,0.088
"P05","5",0.114,0.222,0.15,0.187,0.182,0.119
"P05","6",0.061,0.042,0.026,0.061,0.026,0.034
"P05","7",0.152,0.036,0.02,0.156,0.16,0.093
"P05","8",0.081,0.023,0.024,0.08,0.095,0.056
"P05","9",0.272,0.082,0.08,0.28,0.072,0.322
"P06","1",0.426,0.177,0.155,0.231,0.334,0.361
"P06","2",0.082,0.047,0.015,0.031,0.148,0.038
"P06","3",0.065,0.012,0.029,0.13,0.022,0.08
"P06","4",0.051,0.036,0.046,0.164,0.06,0.046
"P06","5",0.13,0.18,0.097,0.275,0.143,0.225
"P06","6",0.037,0.062,0.038,0,0.059,0.048
"P06","7",0.048,0.078,0.053,0.097,0.022,0.013
"P06","8",0.014,0.095,0.11,0.006,0.044,0.02
"P06","9",0.147,0.313,0.457,0.066,0.168,0.169
"P07","1",0.552,0.219,0.2,0.63,0.452,0.495
"P07","2",0.044,0.043,0.018,0.014,0.028,0.123
"P07","3",0.036,0.02,0.055,0.139,0.051,0.009
"P07","4",0.006,0.024,0.033,0.067,0.004,0.017
"P07","5",0.082,0.136,0.138,0.077,0.095,0.065
"P07","6",0.023,0.049,0.029,0,0.047,0.038
"P07","7",0.03,0.07,0.043,0,0.007,0.004
"P07","8",0.006,0.046,0.076,0,0.027,0.004
"P07","9",0.221,0.393,0.408,0.073,0.289,0.245
"P09","Del Frente de Todos y el peronismo",0.837,0.053,0.028,0.349,0.494,0.478
"P09","De Juntos por el cambio",0.066,0.761,0.095,0.133,0.246,0.152
"P09","De los Liberales libertarios",0.015,0.119,0.729,0.006,0.031,0.051
"P09","De la Izquierda",0.014,0,0.025,0.379,0.006,0.02
"P09","No sabe",0.068,0.067,0.123,0.133,0.223,0.299
"P10","A Alberto Fernández",0.17,0.322,0.285,0.108,0.024,0.237
"P10","A Sergio Massa",0.298,0.149,0,0.257,0.114,0.033
"P10","A algún candidato del peronismo",0.089,0.284,0.33,0.031,0.052,0.229
"P10","A algún candidato del kirchnerismo",0.443,0.245,0.385,0.604,0.81,0.501
"P11","A Alberto Fernández",0.119,0.318,0.113,0.043,0.059,0.145
"P11","A Sergio Massa",0.215,0.096,0,0,0.018,0
