"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Javier Milei","Negativa",0.463,0.46,0.467,0.436,0.51,0.444,0.415,0.42,0.472,0.498,0.471,0.45,0.83,0.213,0.245
"Javier Milei","No sabe",0.013,0.008,0.018,0,0.008,0.022,0.023,0.009,0.016,0.012,0.014,0.01,0.011,0.017,0.026
"Daniel Scioli","Positiva",0.241,0.241,0.241,0.25,0.243,0.254,0.207,0.255,0.276,0.171,0.246,0.231,0.479,0.095,0.117
"Daniel Scioli","Neutra",0.206,0.154,0.26,0.221,0.22,0.17,0.211,0.213,0.21,0.191,0.204,0.209,0.298,0.095,0.206
"Daniel Scioli","Negativa",0.55,0.603,0.495,0.529,0.534,0.575,0.573,0.532,0.509,0.634,0.547,0.556,0.22,0.809,0.677
"Daniel Scioli","No sabe",0.003,0.002,0.004,0,0.003,0.001,0.009,0,0.005,0.004,0.003,0.004,0.003,0.001,0
"Sergio Massa","Positiva",0.216,0.223,0.209,0.144,0.233,0.222,0.242,0.205,0.24,0.192,0.204,0.24,0.453,0.064,0.073
"Sergio Massa","Neutra",0.22,0.182,0.259,0.253,0.229,0.207,0.188,0.264,0.205,0.195,0.239,0.185,0.308,0.121,0.354
"Sergio Massa","Negativa",0.561,0.593,0.528,0.603,0.531,0.57,0.57,0.531,0.548,0.613,0.554,0.572,0.233,0.815,0.573
"Sergio Massa","No sabe",0.003,0.002,0.004,0,0.007,0.001,0,0,0.007,0,0.003,0.003,0.006,0,0
"Alberto Fernandez","Positiva",0.184,0.169,0.199,0.149,0.182,0.221,0.169,0.241,0.167,0.145,0.179,0.193,0.397,0.044,0.124
"Alberto Fernandez","Neutra",0.171,0.135,0.208,0.177,0.208,0.12,0.157,0.145,0.18,0.187,0.169,0.175,0.332,0.051,0.148
"Alberto Fernandez","Negativa",0.636,0.687,0.583,0.65,0.605,0.649,0.669,0.607,0.637,0.666,0.645,0.618,0.266,0.905,0.718
"Alberto Fernandez","No sabe",0.009,0.009,0.01,0.024,0.005,0.01,0.005,0.007,0.016,0.002,0.007,0.014,0.005,0,0.01
"Facundo Manes","Positiva",0.174,0.193,0.154,0.081,0.166,0.239,0.192,0.186,0.159,0.179,0.17,0.181,0.148,0.196,0.308
"Facundo Manes","Neutra",0.374,0.342,0.406,0.187,0.414,0.406,0.434,0.402,0.357,0.369,0.374,0.374,0.406,0.339,0.425
"Facundo Manes","Negativa",0.423,0.449,0.397,0.732,0.378,0.319,0.352,0.38,0.441,0.446,0.422,0.425,0.401,0.448,0.267
"Facundo Manes","No sabe",0.029,0.016,0.043,0,0.042,0.036,0.022,0.032,0.043,0.006,0.034,0.02,0.045,0.017,0
