"var","categoria","Sergio Massa presidente por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.532,0.416,0.357
"P04","Realizo changas o trabajos de vez en cuando",0.195,0.242,0.152
"P04","No tengo trabajo",0.11,0.204,0.176
"P04","Soy jubilado o pensionado",0.163,0.138,0.315
"P05","1",0.157,0.414,0.323
"P05","2",0.036,0.068,0.072
"P05","3",0.027,0.089,0.059
"P05","4",0.059,0.085,0.05
"P05","5",0.127,0.167,0.213
"P05","6",0.057,0.035,0.04
"P05","7",0.171,0.034,0.077
"P05","8",0.108,0.025,0.051
"P05","9",0.258,0.083,0.115
"P06","1",0.382,0.119,0.308
"P06","2",0.089,0.027,0.066
"P06","3",0.087,0.018,0.033
"P06","4",0.054,0.045,0.03
"P06","5",0.167,0.143,0.184
"P06","6",0.039,0.049,0.075
"P06","7",0.044,0.067,0.058
"P06","8",0.013,0.126,0.052
"P06","9",0.125,0.406,0.194
"P07","1",0.615,0.182,0.328
"P07","2",0.063,0.045,0.04
"P07","3",0.043,0.044,0.019
"P07","4",0.011,0.04,0.012
"P07","5",0.094,0.121,0.107
"P07","6",0.021,0.049,0.053
"P07","7",0.017,0.063,0.039
"P07","8",0.005,0.077,0.019
"P07","9",0.131,0.379,0.383
"P09","Del Frente de Todos y el peronismo",0.82,0.032,0.238
"P09","De Juntos por el cambio",0.067,0.413,0.567
"P09","De los Liberales libertarios",0.005,0.457,0.023
"P09","De la Izquierda",0.031,0.012,0.028
"P09","No sabe",0.077,0.086,0.144
"P10","A Alberto Fernández",0.133,0.171,0.24
"P10","A Sergio Massa",0.233,0.368,0.205
"P10","A algún candidato del peronismo",0.102,0.399,0.146
"P10","A algún candidato del kirchnerismo",0.532,0.062,0.409
"P11","A Alberto Fernández",0.08,0.066,0.255
"P11","A Sergio Massa",0.133,0.129,0.114
"P11","A algún candidato del peronismo",0.079,0.638,0.202
"P11","A Cristina Fernández de Kirchner",0.708,0.167,0.429
"P12","A Horacio Rodriguez Larreta",0.384,0.171,0.223
"P12","A Mauricio Macri",0.058,0.378,0.399
"P12","A Patricia Bullrich",0.07,0.401,0.317
"P12","A Facundo Manes",0.291,0.036,0.05
"P12","A Gerardo Morales",0.197,0.014,0.011
"P13","Seguro lo votaria",0.014,0.185,0.112
"P13","Quizás lo votaría",0.248,0.539,0.331
"P13","Nunca lo votaría",0.738,0.276,0.557
"P14","Lo votaría",0.032,0.354,0.386
"P14","Puede que lo vote",0.022,0.298,0.17
"P14","Nunca lo votaría",0.904,0.311,0.377
"P14","No sabe",0.042,0.037,0.067
"P15","Lo votaría",0.303,0.041,0.061
"P15","Puede que lo vote",0.481,0.089,0.176
"P15","Nunca lo votaría",0.164,0.862,0.729
"P15","No sabe",0.052,0.008,0.034
"P16","Lo votaría",0.223,0.014,0.101
"P16","Puede que lo vote",0.466,0.009,0.094
"P16","Nunca lo votaría",0.189,0.974,0.751
"P16","No sabe",0.122,0.003,0.054
"P17","La votaría",0.743,0.033,0.211
"P17","Puede que la vote",0.141,0.006,0.062
"P17","Nunca la votaría",0.108,0.959,0.698
"P17","No sabe",0.008,0.002,0.029
"P18","Lo votaría",0.059,0.142,0.264
"P18","Puede que lo vote",0.097,0.332,0.31
"P18","Nunca lo votaría",0.804,0.495,0.377
"P18","No sabe",0.04,0.031,0.049
"P19","Lo votaría",0.039,0.07,0.081
"P19","Puede que lo vote",0.168,0.236,0.229
"P19","Nunca lo votaría",0.661,0.634,0.571
"P19","No sabe",0.132,0.06,0.119
"P20","La votaría",0.005,0.505,0.348
"P20","Puede que la vote",0.041,0.299,0.208
"P20","Nunca la votaría",0.939,0.178,0.396
"P20","No sabe",0.015,0.018,0.048
"P21","Lo votaría",0.004,0.46,0.029
"P21","Puede que lo vote",0.028,0.369,0.204
"P21","Nunca lo votaría",0.944,0.131,0.717
"P21","No sabe",0.024,0.04,0.05
"P22","La votaría",0.021,0.18,0.181
"P22","Puede que la vote",0.036,0.383,0.283
"P22","Nunca la votaría",0.891,0.386,0.466
"P22","No sabe",0.052,0.051,0.07
"P23","Lo votaría",0.205,0.013,0.056
"P23","Puede que lo vote",0.454,0.069,0.099
"P23","Nunca lo votaría",0.267,0.9,0.776
"P23","No sabe",0.074,0.018,0.069
"P24","Lo votaría",0.04,0.036,0.03
"P24","Puede que lo vote",0.103,0.198,0.208
"P24","Nunca lo votaría",0.783,0.697,0.688
"P24","No sabe",0.074,0.069,0.074
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.773,0.028,0.216
"P26","Alberto Fernández por el Frente de Todos",0.089,0,0.012
"P26","Mauricio Macri por Juntos por el cambio",0.014,0.175,0.243
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.097,0.178
"P26","Patricia Bullrich por Juntos por el Cambio",0.005,0.308,0.187
"P26","Facundo Manes por Juntos por el Cambio",0.025,0.024,0.052
"P26","Javier Milei por los liberales libertarios",0.003,0.338,0.016
"P26","Nicolás del Caño por la izquierda",0.019,0.001,0.02
"P26","Aún no lo tengo decidido",0.035,0.029,0.076
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.094,0.256
"P27","Patricia Bullrich por Juntos por el Cambio",0.004,0.444,0.358
"P27","Facundo Manes por Juntos por el Cambio",0.02,0.034,0.05
"P27","Alberto Fernández por el Frente de Todos",0.209,0.008,0.086
"P27","Sergio Massa por el Frente de Todos",0.525,0.016,0.058
"P27","Javier Milei por los liberales libertarios",0.003,0.368,0.018
"P27","Nicolás del Caño por la izquierda",0.044,0.007,0.02
"P27","Otros candidatos",0.074,0.005,0.066
"P27","Aún no lo tengo decidido",0.088,0.024,0.088
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.857,0.039,0.18
"P28","Mauricio Macri por Juntos por el Cambio",0.018,0.399,0.456
"P28","Javier Milei por los liberales libertarios",0.005,0.479,0.031
"P28","Nicolás del Caño por la izquierda",0.036,0.012,0.029
"P28","Otro candidato",0.045,0.042,0.199
"P28","Aún no lo tengo decidido",0.039,0.029,0.105
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.301,0.433
"P30","Alberto Fernández por el Frente de Todos",0.491,0.029,0.137
"P30","Javier Milei por los liberales libertarios",0.008,0.56,0.039
"P30","Nicolás del Caño por la izquierda",0.068,0.014,0.029
"P30","Otro candidato",0.162,0.058,0.191
"P30","Aún no lo tengo decidido",0.167,0.038,0.171
"P32","Sergio Massa presidente por el Frente de Todos",0.695,0.029,0.066
"P32","Patricia Bullrich por Juntos por el Cambio",0.033,0.49,0.475
"P32","Javier Milei por los liberales libertarios",0.003,0.412,0.042
"P32","Nicolás del Caño por la izquierda",0.071,0.01,0.031
"P32","Otro candidato",0.102,0.034,0.206
"P32","Aún no lo tengo decidido",0.096,0.025,0.18
"P34","Sergio Massa presidente por el Frente de Todos",0.726,0.041,0.064
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.317,0.43
"P34","Javier Milei por los liberales libertarios",0.004,0.566,0.027
"P34","Nicolás del Caño por la izquierda",0.074,0.001,0.032
"P34","Otro candidato",0.093,0.048,0.269
"P34","Aún no lo tengo decidido",0.062,0.027,0.178
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.802,0.038,0.214
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.285,0.446
"P36","Javier Milei por los liberales libertarios",0.008,0.602,0.03
"P36","Nicolás del Caño por la izquierda",0.042,0.002,0.021
"P36","Otro candidato",0.042,0.045,0.17
"P36","Aún no lo tengo decidido",0.031,0.028,0.119
"P37","Sergio Massa presidente por el Frente de Todos",0.767,0.01,0.062
"P37","Mauricio Macri por Juntos por el Cambio",0.043,0.375,0.467
"P37","Javier Milei por los liberales libertarios",0.005,0.506,0.036
"P37","Nicolás del Caño por la izquierda",0.053,0.023,0.04
"P37","Otro candidato",0.08,0.057,0.231
"P37","Aún no lo tengo decidido",0.052,0.029,0.164
"P38","Alberto Fernández por el Frente de Todos",0.572,0.029,0.127
"P38","Mauricio Macri por Juntos por el Cambio",0.032,0.384,0.486
"P38","Javier Milei por los liberales libertarios",0.005,0.505,0.033
"P38","Nicolás del Caño por la izquierda",0.089,0.014,0.044
"P38","Otro candidato",0.212,0.049,0.175
"P38","Aún no lo tengo decidido",0.09,0.019,0.135
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.882,0.046,0.23
"P39","Mauricio Macri por Juntos por el Cambio",0.039,0.713,0.528
"P39","No sabe",0.079,0.241,0.242
"P40","Alberto Fernández por el Frente de Todos",0.731,0.036,0.142
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.621,0.553
"P40","No sabe",0.18,0.343,0.305
"P41","Sergio Massa presidente por el Frente de Todos",0.853,0.015,0.064
"P41","Patricia Bullrich por Juntos por el Cambio",0.011,0.848,0.534
"P41","No sabe",0.136,0.137,0.402
"P42","Sergio Massa presidente por el Frente de Todos",0.898,0.045,0.062
"P42","Mauricio Macri por Juntos por el Cambio",0.033,0.793,0.522
"P42","No sabe",0.069,0.162,0.416
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.184,0.24,0.45
"P44","Javier Milei por los liberales libertarios",0.041,0.722,0.032
