"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.455,0.375,0.419,0.652,0.491,0.317
"P04","Realizo changas o trabajos de vez en cuando",0.228,0.161,0.271,0.231,0.191,0.231
"P04","No tengo trabajo",0.178,0.136,0.234,0.006,0.143,0.197
"P04","Soy jubilado o pensionado",0.139,0.328,0.076,0.111,0.175,0.255
"P05","1",0.184,0.402,0.412,0.132,0.258,0.223
"P05","2",0.055,0.064,0.1,0.033,0.037,0.057
"P05","3",0.025,0.06,0.098,0.043,0.068,0.073
"P05","4",0.039,0.082,0.074,0.063,0.047,0.138
"P05","5",0.113,0.19,0.17,0.096,0.191,0.179
"P05","6",0.037,0.039,0.021,0.115,0.045,0.052
"P05","7",0.163,0.057,0.018,0.129,0.101,0.056
"P05","8",0.073,0.032,0.023,0.185,0.097,0.013
"P05","9",0.311,0.074,0.084,0.204,0.156,0.209
"P06","1",0.443,0.173,0.112,0.212,0.315,0.403
"P06","2",0.077,0.042,0.03,0.015,0.146,0.035
"P06","3",0.075,0.033,0.022,0.078,0.018,0.031
"P06","4",0.057,0.029,0.033,0.104,0.039,0.058
"P06","5",0.119,0.145,0.137,0.254,0.22,0.203
"P06","6",0.019,0.057,0.038,0.108,0.055,0.083
"P06","7",0.051,0.089,0.048,0.102,0.021,0.02
"P06","8",0.013,0.119,0.103,0,0.034,0.013
"P06","9",0.146,0.313,0.477,0.127,0.152,0.154
"P07","1",0.544,0.214,0.193,0.561,0.543,0.509
"P07","2",0.056,0.029,0.044,0.113,0.037,0.037
"P07","3",0.059,0.011,0.039,0.104,0.018,0.009
"P07","4",0.002,0.018,0.046,0.058,0.012,0.021
"P07","5",0.063,0.124,0.137,0.1,0.102,0.107
"P07","6",0.004,0.064,0.032,0,0.012,0.119
"P07","7",0.034,0.071,0.046,0.004,0.016,0.008
"P07","8",0.023,0.04,0.065,0,0.024,0.01
"P07","9",0.215,0.429,0.398,0.06,0.236,0.18
"P09","Del Frente de Todos y el peronismo",0.862,0.046,0.017,0.286,0.542,0.436
"P09","De Juntos por el cambio",0.054,0.842,0.132,0.173,0.217,0.168
"P09","De los Liberales libertarios",0.001,0.067,0.785,0.011,0.019,0.038
"P09","De la Izquierda",0.002,0.006,0.008,0.346,0.005,0.023
"P09","No sabe",0.081,0.039,0.058,0.184,0.217,0.335
"P10","A Alberto Fernández",0.209,0.418,0.089,0.062,0.074,0.037
"P10","A Sergio Massa",0.264,0.246,0.237,0,0.181,0.239
"P10","A algún candidato del peronismo",0.068,0.336,0.674,0.27,0.067,0.218
"P10","A algún candidato del kirchnerismo",0.459,0,0,0.668,0.678,0.506
"P11","A Alberto Fernández",0.161,0.358,0.089,0,0.02,0.034
"P11","A Sergio Massa",0.158,0.246,0.237,0,0.095,0.169
"P11","A algún candidato del peronismo",0.075,0.336,0.547,0.049,0.125,0.09
"P11","A Cristina Fernández de Kirchner",0.606,0.06,0.127,0.951,0.76,0.707
"P12","A Horacio Rodriguez Larreta",0.299,0.161,0.367,0.569,0.348,0.278
"P12","A Mauricio Macri",0,0.443,0.067,0.431,0.063,0.201
"P12","A Patricia Bullrich",0.138,0.369,0.477,0,0.243,0.339
"P12","A Facundo Manes",0.427,0.02,0.066,0,0.294,0.018
"P12","A Gerardo Morales",0.136,0.007,0.023,0,0.052,0.164
"P13","Seguro lo votaria",0,0.121,0.557,0.066,0.147,0.078
"P13","Quizás lo votaría",0.353,0.412,0.443,0.22,0.45,0.398
"P13","Nunca lo votaría",0.647,0.467,0,0.714,0.403,0.524
"P14","Lo votaría",0.036,0.702,0.12,0.047,0.021,0.087
"P14","Puede que lo vote",0.008,0.246,0.323,0.044,0.154,0.116
"P14","Nunca lo votaría",0.909,0.037,0.505,0.813,0.738,0.698
"P14","No sabe",0.047,0.015,0.052,0.096,0.087,0.099
"P15","Lo votaría",0.307,0.055,0.042,0.114,0.115,0.107
"P15","Puede que lo vote",0.439,0.058,0.081,0.382,0.395,0.307
"P15","Nunca lo votaría",0.205,0.87,0.87,0.468,0.423,0.486
"P15","No sabe",0.049,0.017,0.007,0.036,0.067,0.1
"P16","Lo votaría",0.394,0.016,0.02,0.008,0.023,0.081
"P16","Puede que lo vote",0.477,0.007,0.009,0.127,0.254,0.213
"P16","Nunca lo votaría",0.071,0.958,0.969,0.688,0.561,0.548
"P16","No sabe",0.058,0.019,0.002,0.177,0.162,0.158
"P17","La votaría",0.775,0.013,0.032,0.308,0.487,0.41
"P17","Puede que la vote",0.141,0.001,0.011,0.255,0.097,0.112
