"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.403,0.44,0.456
"P04","Realizo changas o trabajos de vez en cuando",0.197,0.245,0.169
"P04","No tengo trabajo",0.128,0.21,0.16
"P04","Soy jubilado o pensionado",0.272,0.105,0.215
"P05","1",0.316,0.433,0.203
"P05","2",0.075,0.066,0.044
"P05","3",0.041,0.1,0.044
"P05","4",0.066,0.07,0.066
"P05","5",0.229,0.129,0.157
"P05","6",0.046,0.034,0.048
"P05","7",0.076,0.048,0.131
"P05","8",0.06,0.034,0.075
"P05","9",0.091,0.086,0.232
"P06","1",0.173,0.137,0.407
"P06","2",0.048,0.031,0.086
"P06","3",0.02,0.032,0.07
"P06","4",0.036,0.042,0.049
"P06","5",0.227,0.099,0.165
"P06","6",0.079,0.054,0.035
"P06","7",0.1,0.05,0.032
"P06","8",0.068,0.129,0.023
"P06","9",0.249,0.426,0.133
"P07","1",0.273,0.17,0.561
"P07","2",0.043,0.039,0.062
"P07","3",0.011,0.053,0.041
"P07","4",0.018,0.049,0.007
"P07","5",0.144,0.122,0.075
"P07","6",0.041,0.055,0.03
"P07","7",0.071,0.057,0.01
"P07","8",0.032,0.072,0.016
"P07","9",0.367,0.383,0.198
"P09","Del Frente de Todos y el peronismo",0.147,0.063,0.681
"P09","De Juntos por el cambio",0.697,0.272,0.165
"P09","De los Liberales libertarios",0.041,0.567,0.008
"P09","De la Izquierda",0.03,0.01,0.027
"P09","No sabe",0.085,0.088,0.119
"P10","A Alberto Fernández",0.119,0.448,0.139
"P10","A Sergio Massa",0.381,0.291,0.202
"P10","A algún candidato del peronismo",0.161,0.261,0.105
"P10","A algún candidato del kirchnerismo",0.339,0,0.554
"P11","A Alberto Fernández",0.078,0.081,0.118
"P11","A Sergio Massa",0.225,0.071,0.117
"P11","A algún candidato del peronismo",0.33,0.597,0.06
"P11","A Cristina Fernández de Kirchner",0.367,0.251,0.705
"P12","A Horacio Rodriguez Larreta",0.3,0.078,0.103
"P12","A Mauricio Macri",0.309,0.438,0.46
"P12","A Patricia Bullrich",0.311,0.46,0.272
"P12","A Facundo Manes",0.054,0.024,0.113
"P12","A Gerardo Morales",0.026,0,0.052
"P13","Seguro lo votaria",0.132,0.21,0.085
"P13","Quizás lo votaría",0.388,0.613,0.31
"P13","Nunca lo votaría",0.48,0.177,0.605
"P14","Lo votaría",0.4,0.282,0.152
"P14","Puede que lo vote",0.244,0.291,0.038
"P14","Nunca lo votaría",0.295,0.398,0.758
"P14","No sabe",0.061,0.029,0.052
"P15","Lo votaría",0.132,0.054,0.181
"P15","Puede que lo vote",0.133,0.086,0.427
"P15","Nunca lo votaría",0.716,0.85,0.341
"P15","No sabe",0.019,0.01,0.051
"P16","Lo votaría",0.031,0.031,0.205
"P16","Puede que lo vote",0.108,0.027,0.344
"P16","Nunca lo votaría",0.839,0.935,0.335
"P16","No sabe",0.022,0.007,0.116
"P17","La votaría",0.098,0.054,0.644
"P17","Puede que la vote",0.079,0.018,0.091
"P17","Nunca la votaría",0.811,0.922,0.251
"P17","No sabe",0.012,0.006,0.014
"P18","Lo votaría",0.41,0.034,0.06
