"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.269,0.272,0.266,0.231,0.228,0.304,0.352,0.326,0.239,0.252,0.272,0.265,0.068,0.496,0.145
"Patricia Bullrich","Buena",0.169,0.19,0.148,0.161,0.143,0.203,0.185,0.169,0.15,0.197,0.155,0.196,0.063,0.262,0.163
"Patricia Bullrich","Ni buena ni mala",0.127,0.118,0.137,0.187,0.127,0.096,0.114,0.103,0.141,0.133,0.128,0.125,0.07,0.103,0.437
"Patricia Bullrich","Mala",0.084,0.079,0.089,0.103,0.086,0.096,0.043,0.071,0.089,0.091,0.091,0.07,0.127,0.034,0.124
"Patricia Bullrich","Muy mala",0.348,0.338,0.357,0.318,0.414,0.298,0.297,0.328,0.377,0.325,0.35,0.342,0.67,0.1,0.131
"Patricia Bullrich","No sabe",0.003,0.003,0.003,0,0.002,0.003,0.009,0.003,0.004,0.002,0.004,0.002,0.002,0.005,0
"Horacio Rodriguez Larreta","Muy buena",0.124,0.079,0.171,0.063,0.101,0.143,0.21,0.145,0.124,0.102,0.122,0.128,0.021,0.245,0.103
"Horacio Rodriguez Larreta","Buena",0.225,0.232,0.217,0.157,0.201,0.261,0.294,0.256,0.202,0.225,0.246,0.184,0.061,0.388,0.316
"Horacio Rodriguez Larreta","Ni buena ni mala",0.185,0.183,0.187,0.16,0.183,0.221,0.165,0.216,0.173,0.168,0.175,0.206,0.146,0.181,0.356
"Horacio Rodriguez Larreta","Mala",0.149,0.153,0.145,0.15,0.189,0.13,0.083,0.138,0.162,0.139,0.141,0.163,0.236,0.055,0.088
"Horacio Rodriguez Larreta","Muy mala",0.314,0.351,0.277,0.47,0.326,0.241,0.239,0.245,0.334,0.363,0.315,0.313,0.533,0.129,0.119
"Horacio Rodriguez Larreta","No sabe",0.003,0.002,0.003,0,0,0.004,0.009,0,0.005,0.003,0.001,0.006,0.003,0.002,0.018
"Mauricio Macri","Muy buena",0.178,0.156,0.2,0.161,0.147,0.184,0.256,0.19,0.182,0.157,0.193,0.149,0.049,0.377,0.022
"Mauricio Macri","Buena",0.16,0.158,0.161,0.1,0.126,0.219,0.208,0.161,0.157,0.163,0.15,0.177,0.029,0.313,0.046
"Mauricio Macri","Ni buena ni mala",0.135,0.132,0.138,0.127,0.148,0.128,0.125,0.16,0.117,0.135,0.109,0.186,0.063,0.133,0.274
"Mauricio Macri","Mala",0.141,0.156,0.127,0.215,0.14,0.138,0.077,0.125,0.145,0.155,0.14,0.143,0.182,0.054,0.31
"Mauricio Macri","Muy mala",0.38,0.393,0.367,0.397,0.434,0.33,0.312,0.357,0.391,0.388,0.4,0.342,0.669,0.122,0.348
"Mauricio Macri","No sabe",0.006,0.005,0.007,0,0.005,0.001,0.022,0.007,0.008,0.002,0.008,0.003,0.008,0.001,0
"Maria Eugenia Vidal","Muy buena",0.143,0.129,0.159,0.083,0.112,0.188,0.211,0.165,0.137,0.128,0.136,0.157,0.019,0.299,0.098
"Maria Eugenia Vidal","Buena",0.192,0.168,0.215,0.153,0.166,0.208,0.264,0.207,0.196,0.169,0.217,0.144,0.056,0.324,0.288
"Maria Eugenia Vidal","Ni buena ni mala",0.183,0.168,0.198,0.179,0.188,0.167,0.197,0.215,0.152,0.195,0.156,0.233,0.087,0.24,0.378
"Maria Eugenia Vidal","Mala",0.108,0.124,0.091,0.153,0.101,0.118,0.063,0.069,0.131,0.115,0.111,0.103,0.147,0.049,0.081
"Maria Eugenia Vidal","Muy mala",0.367,0.406,0.328,0.432,0.424,0.308,0.26,0.33,0.378,0.392,0.377,0.349,0.675,0.085,0.155
"Maria Eugenia Vidal","No sabe",0.007,0.005,0.009,0,0.009,0.011,0.005,0.014,0.006,0.001,0.003,0.014,0.016,0.003,0
"CFK","Muy buena",0.268,0.231,0.306,0.184,0.321,0.282,0.21,0.278,0.282,0.236,0.27,0.265,0.611,0.048,0.059
"CFK","Buena",0.06,0.062,0.058,0.04,0.061,0.074,0.056,0.064,0.054,0.064,0.056,0.067,0.131,0.007,0
"CFK","Ni buena ni mala",0.06,0.033,0.087,0.129,0.06,0.018,0.053,0.042,0.068,0.067,0.054,0.071,0.095,0.014,0.036
"CFK","Mala",0.069,0.069,0.069,0.125,0.055,0.04,0.089,0.056,0.072,0.079,0.074,0.058,0.037,0.063,0.181
"CFK","Muy mala",0.538,0.595,0.48,0.508,0.502,0.585,0.58,0.555,0.522,0.543,0.543,0.529,0.125,0.858,0.724
"CFK","No sabe",0.005,0.01,0,0.014,0.001,0.001,0.012,0.005,0.002,0.011,0.003,0.01,0.001,0.01,0
"Javier Milei","Muy buena",0.175,0.217,0.132,0.365,0.17,0.131,0.059,0.216,0.15,0.167,0.171,0.183,0.033,0.222,0.094
"Javier Milei","Buena",0.131,0.155,0.106,0.101,0.133,0.132,0.153,0.092,0.158,0.133,0.123,0.146,0.04,0.213,0.27
"Javier Milei","Ni buena ni mala",0.218,0.16,0.277,0.098,0.179,0.271,0.35,0.263,0.204,0.19,0.221,0.211,0.086,0.335,0.365
"Javier Milei","Mala",0.123,0.112,0.135,0.081,0.136,0.149,0.099,0.127,0.136,0.099,0.126,0.118,0.143,0.128,0.084
"Javier Milei","Muy mala",0.34,0.348,0.332,0.355,0.374,0.295,0.316,0.293,0.336,0.399,0.345,0.332,0.687,0.085,0.161
"Javier Milei","No sabe",0.013,0.008,0.018,0,0.008,0.022,0.023,0.009,0.016,0.012,0.014,0.01,0.011,0.017,0.026
"Daniel Scioli","Muy buena",0.083,0.079,0.086,0.067,0.089,0.093,0.067,0.115,0.084,0.043,0.084,0.08,0.163,0.036,0.035
"Daniel Scioli","Buena",0.158,0.162,0.155,0.183,0.154,0.161,0.14,0.14,0.192,0.128,0.162,0.151,0.316,0.059,0.082
"Daniel Scioli","Ni buena ni mala",0.206,0.154,0.26,0.221,0.22,0.17,0.211,0.213,0.21,0.191,0.204,0.209,0.298,0.095,0.206
"Daniel Scioli","Mala",0.129,0.128,0.129,0.07,0.122,0.145,0.183,0.145,0.12,0.125,0.13,0.127,0.076,0.156,0.202
"Daniel Scioli","Muy mala",0.421,0.475,0.366,0.459,0.412,0.43,0.39,0.387,0.389,0.509,0.417,0.429,0.144,0.653,0.475
"Daniel Scioli","No sabe",0.003,0.002,0.004,0,0.003,0.001,0.009,0,0.005,0.004,0.003,0.004,0.003,0.001,0
"Sergio Massa","Muy buena",0.069,0.062,0.076,0.049,0.08,0.059,0.079,0.086,0.072,0.046,0.06,0.087,0.137,0.023,0.021
"Sergio Massa","Buena",0.147,0.161,0.133,0.095,0.153,0.163,0.163,0.119,0.168,0.146,0.144,0.153,0.316,0.041,0.052
"Sergio Massa","Ni buena ni mala",0.22,0.182,0.259,0.253,0.229,0.207,0.188,0.264,0.205,0.195,0.239,0.185,0.308,0.121,0.354
"Sergio Massa","Mala",0.134,0.131,0.137,0.144,0.129,0.113,0.164,0.074,0.152,0.173,0.134,0.133,0.103,0.137,0.287
"Sergio Massa","Muy mala",0.427,0.462,0.391,0.459,0.402,0.457,0.406,0.457,0.396,0.44,0.42,0.439,0.13,0.678,0.286
"Sergio Massa","No sabe",0.003,0.002,0.004,0,0.007,0.001,0,0,0.007,0,0.003,0.003,0.006,0,0
