"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.484,0.405,0.416
"P04","Realizo changas o trabajos de vez en cuando",0.176,0.198,0.262
"P04","No tengo trabajo",0.163,0.149,0.186
"P04","Soy jubilado o pensionado",0.177,0.248,0.136
"P05","1",0.205,0.362,0.32
"P05","2",0.036,0.056,0.093
"P05","3",0.04,0.064,0.081
"P05","4",0.037,0.091,0.067
"P05","5",0.109,0.211,0.161
"P05","6",0.036,0.05,0.036
"P05","7",0.158,0.053,0.064
"P05","8",0.095,0.039,0.041
"P05","9",0.284,0.074,0.137
"P06","1",0.411,0.138,0.288
"P06","2",0.09,0.043,0.055
"P06","3",0.078,0.029,0.027
"P06","4",0.043,0.041,0.052
"P06","5",0.152,0.186,0.14
"P06","6",0.019,0.073,0.049
"P06","7",0.044,0.086,0.02
"P06","8",0.016,0.097,0.074
"P06","9",0.147,0.307,0.295
"P07","1",0.597,0.207,0.39
"P07","2",0.045,0.05,0.038
"P07","3",0.056,0.03,0.023
"P07","4",0.011,0.018,0.035
"P07","5",0.064,0.121,0.121
"P07","6",0.006,0.043,0.069
"P07","7",0.016,0.064,0.028
"P07","8",0.012,0.053,0.035
"P07","9",0.193,0.414,0.261
"P09","Del Frente de Todos y el peronismo",0.851,0.06,0.252
"P09","De Juntos por el cambio",0.057,0.625,0.201
"P09","De los Liberales libertarios",0.018,0.198,0.343
"P09","De la Izquierda",0.015,0.018,0.035
"P09","No sabe",0.059,0.099,0.169
"P10","A Alberto Fernández",0.196,0.186,0.038
"P10","A Sergio Massa",0.214,0.233,0.273
"P10","A algún candidato del peronismo",0.067,0.411,0.162
"P10","A algún candidato del kirchnerismo",0.523,0.17,0.527
"P11","A Alberto Fernández",0.145,0.13,0.061
"P11","A Sergio Massa",0.124,0.127,0.183
"P11","A algún candidato del peronismo",0.055,0.522,0.124
"P11","A Cristina Fernández de Kirchner",0.676,0.221,0.632
"P12","A Horacio Rodriguez Larreta",0.075,0.228,0.105
"P12","A Mauricio Macri",0.353,0.356,0.39
"P12","A Patricia Bullrich",0.036,0.367,0.392
"P12","A Facundo Manes",0.282,0.04,0.081
"P12","A Gerardo Morales",0.254,0.009,0.032
"P13","Seguro lo votaria",0,0.153,0.119
"P13","Quizás lo votaría",0.334,0.407,0.493
"P13","Nunca lo votaría",0.666,0.44,0.388
"P14","Lo votaría",0.049,0.458,0.166
"P14","Puede que lo vote",0.009,0.288,0.16
"P14","Nunca lo votaría",0.908,0.205,0.617
"P14","No sabe",0.034,0.049,0.057
"P15","Lo votaría",0.259,0.077,0.076
"P15","Puede que lo vote",0.446,0.106,0.226
"P15","Nunca lo votaría",0.239,0.811,0.644
"P15","No sabe",0.056,0.006,0.054
"P16","Lo votaría",0.326,0.007,0.051
"P16","Puede que lo vote",0.48,0.037,0.099
"P16","Nunca lo votaría",0.116,0.934,0.752
"P16","No sabe",0.078,0.022,0.098
"P17","La votaría",0.792,0.008,0.27
"P17","Puede que la vote",0.114,0.047,0.055
"P17","Nunca la votaría",0.075,0.942,0.642
"P17","No sabe",0.019,0.003,0.033
"P18","Lo votaría",0.054,0.291,0.042
"P18","Puede que lo vote",0.04,0.46,0.145
"P18","Nunca lo votaría",0.876,0.214,0.75
"P18","No sabe",0.03,0.035,0.063
"P19","Lo votaría",0.027,0.111,0.028
"P19","Puede que lo vote",0.15,0.304,0.133
"P19","Nunca lo votaría",0.696,0.5,0.717
"P19","No sabe",0.127,0.085,0.122
"P20","La votaría",0.017,0.535,0.222
"P20","Puede que la vote",0.045,0.265,0.212
"P20","Nunca la votaría",0.913,0.172,0.521
"P20","No sabe",0.025,0.028,0.045
"P21","Lo votaría",0.015,0.209,0.337
"P21","Puede que lo vote",0.055,0.366,0.126
"P21","Nunca lo votaría",0.891,0.381,0.473
"P21","No sabe",0.039,0.044,0.064
"P22","La votaría",0.022,0.254,0.039
"P22","Puede que la vote",0.041,0.396,0.198
"P22","Nunca la votaría",0.88,0.306,0.674
"P22","No sabe",0.057,0.044,0.089
"P23","Lo votaría",0.203,0.034,0.06
"P23","Puede que lo vote",0.459,0.08,0.106
"P23","Nunca lo votaría",0.286,0.865,0.729
"P23","No sabe",0.052,0.021,0.105
"P24","Lo votaría",0.023,0.051,0.019
"P24","Puede que lo vote",0.076,0.275,0.091
"P24","Nunca lo votaría",0.809,0.602,0.778
"P24","No sabe",0.092,0.072,0.112
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.809,0.019,0.273
"P26","Alberto Fernández por el Frente de Todos",0.106,0.008,0.018
"P26","Mauricio Macri por Juntos por el cambio",0.023,0.259,0.079
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.204,0.03
"P26","Patricia Bullrich por Juntos por el Cambio",0.01,0.301,0.161
"P26","Facundo Manes por Juntos por el Cambio",0.014,0.047,0.026
"P26","Javier Milei por los liberales libertarios",0.001,0.13,0.292
"P26","Nicolás del Caño por la izquierda",0.013,0.005,0.02
"P26","Aún no lo tengo decidido",0.014,0.027,0.101
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.238,0.041
"P27","Patricia Bullrich por Juntos por el Cambio",0.029,0.484,0.211
"P27","Facundo Manes por Juntos por el Cambio",0.005,0.053,0.031
"P27","Alberto Fernández por el Frente de Todos",0.33,0.005,0.017
"P27","Sergio Massa por el Frente de Todos",0.46,0.021,0.179
"P27","Javier Milei por los liberales libertarios",0.011,0.143,0.307
"P27","Nicolás del Caño por la izquierda",0.031,0.007,0.034
"P27","Otros candidatos",0.047,0.024,0.069
"P27","Aún no lo tengo decidido",0.074,0.025,0.111
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.879,0.048,0.219
"P28","Mauricio Macri por Juntos por el Cambio",0.029,0.559,0.166
"P28","Javier Milei por los liberales libertarios",0.001,0.221,0.358
"P28","Nicolás del Caño por la izquierda",0.022,0.019,0.034
"P28","Otro candidato",0.037,0.117,0.093
"P28","Aún no lo tengo decidido",0.032,0.036,0.13
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.09,0.553,0.04
"P30","Alberto Fernández por el Frente de Todos",0.631,0.029,0.076
"P30","Javier Milei por los liberales libertarios",0.046,0.244,0.396
"P30","Nicolás del Caño por la izquierda",0.031,0.026,0.047
"P30","Otro candidato",0.086,0.082,0.247
"P30","Aún no lo tengo decidido",0.116,0.066,0.194
"P32","Sergio Massa presidente por el Frente de Todos",0.654,0.044,0.17
"P32","Patricia Bullrich por Juntos por el Cambio",0.066,0.604,0.208
"P32","Javier Milei por los liberales libertarios",0.016,0.193,0.311
"P32","Nicolás del Caño por la izquierda",0.049,0.007,0.056
"P32","Otro candidato",0.099,0.104,0.116
"P32","Aún no lo tengo decidido",0.116,0.048,0.139
"P34","Sergio Massa presidente por el Frente de Todos",0.651,0.068,0.162
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.559,0.06
"P34","Javier Milei por los liberales libertarios",0.04,0.241,0.399
"P34","Nicolás del Caño por la izquierda",0.052,0.008,0.046
"P34","Otro candidato",0.117,0.084,0.199
"P34","Aún no lo tengo decidido",0.109,0.04,0.134
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.811,0.069,0.265
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.569,0.015
"P36","Javier Milei por los liberales libertarios",0.025,0.255,0.443
"P36","Nicolás del Caño por la izquierda",0.022,0.006,0.034
"P36","Otro candidato",0.037,0.066,0.139
"P36","Aún no lo tengo decidido",0.058,0.035,0.104
"P37","Sergio Massa presidente por el Frente de Todos",0.704,0.031,0.18
