"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.296,0.432,0.48,0.551
"P04","Realizo changas o trabajos de vez en cuando",0.277,0.201,0.177,0.141
"P04","No tengo trabajo",0.263,0.187,0.125,0.1
"P04","Soy jubilado o pensionado",0.164,0.18,0.218,0.208
"P05","1",0.367,0.229,0.24,0.169
"P05","2",0.069,0.09,0.076,0.045
"P05","3",0.022,0.015,0.033,0.034
"P05","4",0.035,0.073,0.112,0.024
"P05","5",0.093,0.173,0.108,0.105
"P05","6",0.029,0.034,0.039,0.067
"P05","7",0.048,0.128,0.089,0.173
"P05","8",0.058,0.054,0.084,0.109
"P05","9",0.279,0.204,0.219,0.274
"P06","1",0.519,0.273,0.385,0.483
"P06","2",0.041,0.079,0.102,0.128
"P06","3",0.047,0.056,0.034,0.064
"P06","4",0.076,0.089,0.063,0.042
"P06","5",0.094,0.187,0.152,0.115
"P06","6",0.009,0.055,0.074,0.005
"P06","7",0.003,0.053,0.037,0.039
"P06","8",0.016,0.018,0.034,0.007
"P06","9",0.195,0.19,0.119,0.117
"P07","1",0.469,0.394,0.362,0.709
"P07","2",0.043,0.083,0.128,0.064
"P07","3",0.014,0.06,0.039,0.029
"P07","4",0,0,0.009,0.015
"P07","5",0.091,0.094,0.091,0.05
"P07","6",0.004,0.014,0.062,0.018
"P07","7",0.018,0.025,0.014,0.006
"P07","8",0.027,0.014,0.014,0.007
"P07","9",0.334,0.316,0.281,0.102
"P11","A Alberto Fernández",0.586,0.078,0.028,0.024
"P11","A Sergio Massa",0.035,0.574,0.017,0.009
"P11","A algún candidato del peronismo",0.116,0.08,0.528,0.018
"P11","A Cristina Fernández de Kirchner",0.263,0.268,0.427,0.949
"P14","Lo votaría",0.095,0.084,0.161,0.004
"P14","Puede que lo vote",0.043,0.068,0.02,0.026
"P14","Nunca lo votaría",0.813,0.758,0.709,0.924
"P14","No sabe",0.049,0.09,0.11,0.046
"P15","Lo votaría",0.21,0.555,0.25,0.174
"P15","Puede que lo vote",0.316,0.244,0.328,0.517
"P15","Nunca lo votaría",0.436,0.16,0.293,0.223
"P15","No sabe",0.038,0.041,0.129,0.086
"P16","Lo votaría",0.632,0.285,0.24,0.147
"P16","Puede que lo vote",0.197,0.379,0.245,0.554
"P16","Nunca lo votaría",0.135,0.226,0.322,0.187
"P16","No sabe",0.036,0.11,0.193,0.112
"P17","La votaría",0.662,0.606,0.531,0.88
"P17","Puede que la vote",0.221,0.178,0.215,0.072
"P17","Nunca la votaría",0.117,0.176,0.229,0.03
"P17","No sabe",0,0.04,0.025,0.018
"P18","Lo votaría",0.156,0.074,0.091,0.049
"P18","Puede que lo vote",0.069,0.13,0.153,0.022
"P18","Nunca lo votaría",0.736,0.678,0.686,0.907
"P18","No sabe",0.039,0.118,0.07,0.022
"P19","Lo votaría",0.056,0.027,0.025,0.005
"P19","Puede que lo vote",0.165,0.208,0.166,0.115
"P19","Nunca lo votaría",0.628,0.662,0.629,0.749
"P19","No sabe",0.151,0.103,0.18,0.131
"P20","La votaría",0.107,0.07,0.075,0.013
"P20","Puede que la vote",0.035,0.092,0.129,0.014
"P20","Nunca la votaría",0.845,0.77,0.693,0.971
"P20","No sabe",0.013,0.068,0.103,0.002
"P21","Lo votaría",0.004,0.031,0.085,0.002
"P21","Puede que lo vote",0.071,0.104,0.072,0.01
"P21","Nunca lo votaría",0.832,0.757,0.752,0.973
"P21","No sabe",0.093,0.108,0.091,0.015
"P22","La votaría",0.069,0.018,0.059,0.012
"P22","Puede que la vote",0.077,0.114,0.022,0.015
"P22","Nunca la votaría",0.811,0.776,0.813,0.913
"P22","No sabe",0.043,0.092,0.106,0.06
"P23","Lo votaría",0.326,0.096,0.204,0.163
"P23","Puede que lo vote",0.312,0.368,0.339,0.5
"P23","Nunca lo votaría",0.298,0.432,0.421,0.258
"P23","No sabe",0.064,0.104,0.036,0.079
"P24","Lo votaría",0.1,0.007,0.076,0.021
"P24","Puede que lo vote",0.113,0.136,0.114,0.059
"P24","Nunca lo votaría",0.67,0.76,0.695,0.853
"P24","No sabe",0.117,0.097,0.115,0.067
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.58,0.654,0.542,0.94
"P26","Alberto Fernández por el Frente de Todos",0.223,0.122,0.112,0.017
"P26","Mauricio Macri por Juntos por el cambio",0.073,0.007,0.086,0.012
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.064,0.041,0.021,0.009
"P26","Patricia Bullrich por Juntos por el Cambio",0.02,0.08,0.055,0
"P26","Facundo Manes por Juntos por el Cambio",0.006,0.013,0.061,0.019
"P26","Javier Milei por los liberales libertarios",0.021,0,0.07,0.002
"P26","Nicolás del Caño por la izquierda",0.008,0,0,0.001
"P26","Aún no lo tengo decidido",0.005,0.083,0.053,0
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.081,0.079,0.021,0.022
"P27","Patricia Bullrich por Juntos por el Cambio",0.069,0.008,0.117,0.001
"P27","Facundo Manes por Juntos por el Cambio",0.054,0,0.07,0.022
"P27","Alberto Fernández por el Frente de Todos",0.547,0.119,0.123,0.221
"P27","Sergio Massa por el Frente de Todos",0.197,0.742,0.297,0.419
"P27","Javier Milei por los liberales libertarios",0.021,0.032,0.098,0.002
