"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.393,0.386,0.413,0.293,0.544,0.411,0.642,0.531,0.295
"P04","Realizo changas o trabajos de vez en cuando",0.247,0.19,0.295,0.268,0.165,0.276,0.193,0.122,0.248
"P04","No tengo trabajo",0.154,0.125,0.139,0.262,0.118,0.229,0.046,0.204,0.228
"P04","Soy jubilado o pensionado",0.206,0.299,0.153,0.177,0.173,0.084,0.119,0.143,0.229
"P05","1",0.327,0.428,0.299,0.356,0.149,0.321,0.142,0.11,0.14
"P05","2",0.09,0.056,0.116,0.048,0.045,0.092,0.048,0.037,0.027
"P05","3",0.039,0.049,0.035,0.03,0.034,0.144,0.054,0.067,0.117
"P05","4",0.058,0.086,0.145,0.051,0.052,0.062,0.018,0.065,0.095
"P05","5",0.185,0.188,0.22,0.068,0.118,0.186,0.132,0.153,0.208
"P05","6",0.05,0.054,0.053,0.054,0.058,0.018,0.037,0.023,0.037
"P05","7",0.02,0.043,0.101,0.113,0.18,0.024,0.193,0.23,0.092
"P05","8",0.067,0.015,0.021,0.035,0.08,0.024,0.08,0.162,0.059
"P05","9",0.164,0.081,0.01,0.245,0.284,0.129,0.296,0.153,0.225
"P06","1",0.221,0.173,0.092,0.516,0.397,0.127,0.287,0.306,0.424
"P06","2",0.056,0.035,0.079,0.064,0.095,0.014,0.047,0.22,0.069
"P06","3",0.015,0.016,0.059,0.054,0.065,0.023,0.119,0.118,0.058
"P06","4",0.03,0.036,0.116,0.075,0.05,0.055,0.013,0.027,0.044
"P06","5",0.182,0.141,0.229,0.092,0.148,0.112,0.226,0.21,0.25
"P06","6",0.081,0.077,0.092,0,0.045,0.045,0.028,0.021,0.018
"P06","7",0.106,0.065,0.051,0.002,0.047,0.045,0.113,0.005,0.04
"P06","8",0.03,0.118,0.131,0.009,0.012,0.117,0.013,0.005,0.025
"P06","9",0.279,0.339,0.151,0.188,0.141,0.462,0.154,0.088,0.072
"P07","1",0.243,0.199,0.281,0.48,0.572,0.181,0.633,0.664,0.579
"P07","2",0.031,0.033,0.119,0.047,0.063,0.014,0.006,0.104,0.052
"P07","3",0.012,0.036,0.038,0.059,0.038,0.052,0.013,0.012,0.019
"P07","4",0.007,0.027,0.017,0,0.008,0.039,0.078,0.004,0.024
"P07","5",0.109,0.122,0.118,0.035,0.097,0.135,0.011,0.069,0.126
"P07","6",0.01,0.066,0.044,0.002,0.024,0.025,0.042,0.022,0.056
"P07","7",0.076,0.064,0.023,0.029,0.013,0.041,0.013,0,0.008
"P07","8",0.049,0.052,0.036,0.016,0.001,0.047,0,0.036,0.005
"P07","9",0.463,0.401,0.324,0.332,0.184,0.466,0.204,0.089,0.131
"P09","Del Frente de Todos y el peronismo",0.132,0.039,0.229,0.807,0.831,0.054,0.241,0.572,0.499
"P09","De Juntos por el cambio",0.712,0.742,0.353,0.065,0.047,0.052,0.065,0.043,0.087
"P09","De los Liberales libertarios",0.02,0.136,0.142,0.009,0.021,0.763,0.099,0.027,0.083
"P09","De la Izquierda",0.021,0.005,0,0,0.019,0.022,0.438,0.091,0.007
"P09","No sabe",0.115,0.078,0.276,0.119,0.082,0.109,0.157,0.267,0.324
"P10","A Alberto Fernández",0.329,0.419,0.334,0.403,0.082,0.158,0.03,0,0.05
"P10","A Sergio Massa",0.381,0.057,0,0.105,0.369,0.283,0,0.03,0.021
"P10","A algún candidato del peronismo",0.06,0.506,0.308,0.064,0.088,0.519,0.052,0.223,0.175
"P10","A algún candidato del kirchnerismo",0.23,0.018,0.358,0.428,0.461,0.04,0.918,0.747,0.754
"P11","A Alberto Fernández",0.329,0.186,0.061,0.399,0.027,0,0,0,0.021
"P11","A Sergio Massa",0.249,0.057,0,0.016,0.284,0.041,0,0,0
"P11","A algún candidato del peronismo",0.192,0.506,0.496,0.083,0.052,0.675,0.052,0.103,0.045
"P11","A Cristina Fernández de Kirchner",0.23,0.251,0.443,0.502,0.637,0.284,0.948,0.897,0.934
"P12","A Horacio Rodriguez Larreta",0.644,0.055,0.102,0.218,0.147,0,0.099,0.083,0.257
"P12","A Mauricio Macri",0.271,0.42,0.174,0,0.164,0.59,0.901,0.425,0.264
"P12","A Patricia Bullrich",0.068,0.516,0.029,0.052,0.021,0.135,0,0,0.332
"P12","A Facundo Manes",0.015,0.006,0.62,0.416,0.548,0.223,0,0.202,0.147
"P12","A Gerardo Morales",0.002,0.003,0.075,0.314,0.12,0.052,0,0.29,0
"P13","Seguro lo votaria",0.165,0.154,0.15,0,0.049,0.725,0,0,0.245
"P13","Quizás lo votaría",0.378,0.431,0.362,0.098,0.176,0.102,0.45,0.237,0.584
"P13","Nunca lo votaría",0.457,0.415,0.488,0.902,0.775,0.173,0.55,0.763,0.171
"P14","Lo votaría",0.315,0.582,0.164,0.054,0.016,0.141,0.072,0.083,0.056
"P14","Puede que lo vote",0.294,0.276,0.182,0.032,0.02,0.295,0.133,0.019,0.137
"P14","Nunca lo votaría",0.296,0.125,0.541,0.892,0.933,0.499,0.687,0.739,0.724
"P14","No sabe",0.095,0.017,0.113,0.022,0.031,0.065,0.108,0.159,0.083
"P15","Lo votaría",0.07,0.042,0.028,0.178,0.401,0.007,0.028,0.075,0.085
"P15","Puede que lo vote",0.134,0.057,0.239,0.482,0.439,0.105,0.27,0.452,0.291
"P15","Nunca lo votaría",0.752,0.893,0.608,0.293,0.12,0.865,0.65,0.401,0.474
"P15","No sabe",0.044,0.008,0.125,0.047,0.04,0.023,0.052,0.072,0.15
"P16","Lo votaría",0.039,0.003,0.012,0.591,0.219,0,0,0.05,0.086
"P16","Puede que lo vote",0.088,0.006,0.178,0.34,0.476,0.011,0.125,0.382,0.137
"P16","Nunca lo votaría",0.827,0.981,0.737,0.044,0.2,0.98,0.626,0.397,0.543
"P16","No sabe",0.046,0.01,0.073,0.025,0.105,0.009,0.249,0.171,0.234
"P17","La votaría",0.021,0.013,0.061,0.784,0.749,0.037,0.366,0.544,0.498
"P17","Puede que la vote",0.087,0.01,0.144,0.141,0.127,0.055,0.139,0.133,0.116
"P17","Nunca la votaría",0.863,0.97,0.718,0.055,0.111,0.903,0.44,0.308,0.315
"P17","No sabe",0.029,0.007,0.077,0.02,0.013,0.005,0.055,0.015,0.071
"P18","Lo votaría",0.637,0.167,0.147,0.082,0.046,0.007,0,0.048,0.028
"P18","Puede que lo vote",0.212,0.467,0.396,0.051,0.084,0.274,0.156,0.166,0.114
"P18","Nunca lo votaría",0.126,0.319,0.387,0.84,0.829,0.69,0.771,0.766,0.676
"P18","No sabe",0.025,0.047,0.07,0.027,0.041,0.029,0.073,0.02,0.182
"P19","Lo votaría",0.106,0.057,0.437,0.032,0.005,0.032,0,0.075,0.071
"P19","Puede que lo vote",0.326,0.241,0.279,0.161,0.147,0.179,0.213,0.071,0.177
"P19","Nunca lo votaría",0.457,0.633,0.16,0.658,0.7,0.735,0.673,0.671,0.55
"P19","No sabe",0.111,0.069,0.124,0.149,0.148,0.054,0.114,0.183,0.202
"P20","La votaría",0.209,0.767,0.198,0.022,0.021,0.26,0.086,0.012,0.041
"P20","Puede que la vote",0.37,0.144,0.371,0.038,0.038,0.378,0.034,0.098,0.124
"P20","Nunca la votaría",0.358,0.075,0.364,0.882,0.93,0.336,0.814,0.843,0.744
"P20","No sabe",0.063,0.014,0.067,0.058,0.011,0.026,0.066,0.047,0.091
"P21","Lo votaría",0.061,0.165,0.031,0.012,0.018,0.86,0.133,0.02,0.012
"P21","Puede que lo vote",0.314,0.442,0.26,0.07,0.036,0.09,0.047,0.033,0.076
"P21","Nunca lo votaría",0.557,0.346,0.596,0.836,0.914,0.033,0.807,0.924,0.744
"P21","No sabe",0.068,0.047,0.113,0.082,0.032,0.017,0.013,0.023,0.168
"P22","La votaría",0.324,0.22,0.103,0.015,0.014,0.122,0.057,0.092,0.012
"P22","Puede que la vote",0.271,0.432,0.282,0.038,0.033,0.279,0.052,0.063,0.117
