"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.318,0.214,0.282,0.303
"P05","2",0.051,0.171,0.062,0.04
"P05","3",0.039,0.04,0.102,0.04
"P05","4",0.051,0.031,0.061,0.146
"P05","5",0.167,0.17,0.166,0.185
"P05","6",0.059,0.032,0.047,0.051
"P05","7",0.111,0.054,0.059,0.048
"P05","8",0.043,0.034,0.034,0.053
"P05","9",0.161,0.254,0.187,0.134
"P06","1",0.252,0.269,0.316,0.313
"P06","2",0.059,0.07,0.06,0.065
"P06","3",0.046,0.036,0.024,0.034
"P06","4",0.05,0.055,0.048,0.044
"P06","5",0.179,0.168,0.167,0.132
"P06","6",0.049,0.057,0.032,0.043
"P06","7",0.06,0.042,0.049,0.044
"P06","8",0.055,0.042,0.054,0.068
"P06","9",0.25,0.261,0.25,0.257
"P07","1",0.43,0.295,0.356,0.309
"P07","2",0.056,0.063,0.02,0.038
"P07","3",0.029,0.036,0.035,0.028
"P07","4",0.027,0.018,0.01,0.008
"P07","5",0.107,0.109,0.104,0.093
"P07","6",0.023,0.04,0.023,0.027
"P07","7",0.038,0.028,0.034,0.035
"P07","8",0.034,0.029,0.03,0.03
"P07","9",0.256,0.382,0.388,0.432
"P09","Del Frente de Todos y el peronismo",0.393,0.292,0.292,0.326
"P09","De Juntos por el cambio",0.277,0.293,0.246,0.456
"P09","De los Liberales libertarios",0.171,0.175,0.167,0.071
"P09","De la Izquierda",0.032,0.027,0.045,0.011
"P09","No sabe",0.127,0.213,0.25,0.136
"P10","A Alberto Fernández",0.119,0.281,0.323,0.157
"P10","A Sergio Massa",0.201,0.236,0.265,0.201
"P10","A algún candidato del peronismo",0.153,0.143,0.121,0.166
"P10","A algún candidato del kirchnerismo",0.527,0.34,0.291,0.476
"P11","A Alberto Fernández",0.068,0.244,0.239,0.132
"P11","A Sergio Massa",0.145,0.119,0.184,0.109
"P11","A algún candidato del peronismo",0.129,0.127,0.128,0.108
"P11","A Cristina Fernández de Kirchner",0.658,0.51,0.449,0.651
"P12","A Horacio Rodriguez Larreta",0.219,0.291,0.181,0.149
"P12","A Mauricio Macri",0.351,0.272,0.352,0.358
"P12","A Patricia Bullrich",0.295,0.372,0.343,0.401
"P12","A Facundo Manes",0.098,0.052,0.091,0.08
"P12","A Gerardo Morales",0.037,0.013,0.033,0.012
"P13","Seguro lo votaria",0.178,0.308,0.219,0.14
"P13","Quizás lo votaría",0.372,0.394,0.33,0.323
"P13","Nunca lo votaría",0.45,0.298,0.451,0.537
"P14","Lo votaría",0.193,0.185,0.211,0.317
"P14","Puede que lo vote",0.182,0.194,0.154,0.159
