"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.469,0.4,0.427,0.65,0.36,0.243
"P04","Realizo changas o trabajos de vez en cuando",0.209,0.157,0.263,0.188,0.202,0.253
"P04","No tengo trabajo",0.162,0.138,0.226,0.055,0.127,0.215
"P04","Soy jubilado o pensionado",0.16,0.305,0.084,0.107,0.311,0.289
"P05","1",0.179,0.336,0.431,0.233,0.303,0.314
"P05","2",0.045,0.073,0.076,0.061,0.077,0.057
"P05","3",0.041,0.052,0.097,0.078,0.057,0.072
"P05","4",0.047,0.077,0.085,0.014,0.094,0.12
"P05","5",0.095,0.196,0.176,0.156,0.256,0.228
"P05","6",0.053,0.053,0.02,0.034,0.06,0.016
"P05","7",0.161,0.056,0.021,0.096,0.078,0.012
"P05","8",0.101,0.045,0.02,0.047,0.008,0.006
"P05","9",0.278,0.112,0.074,0.281,0.067,0.175
"P06","1",0.462,0.159,0.134,0.129,0.237,0.327
"P06","2",0.1,0.052,0.026,0,0.019,0.063
"P06","3",0.058,0.023,0.016,0.178,0.06,0.018
"P06","4",0.052,0.041,0.055,0.052,0.033,0.038
"P06","5",0.114,0.172,0.112,0.517,0.236,0.287
"P06","6",0.026,0.06,0.055,0.009,0.091,0.042
"P06","7",0.043,0.094,0.051,0,0.027,0.028
"P06","8",0.02,0.076,0.107,0,0.09,0.034
"P06","9",0.125,0.323,0.444,0.115,0.207,0.163
"P07","1",0.593,0.242,0.187,0.703,0.301,0.362
"P07","2",0.06,0.041,0.037,0.025,0.038,0.008
"P07","3",0.043,0.031,0.03,0.047,0.013,0.006
"P07","4",0.012,0.008,0.048,0,0.019,0.015
"P07","5",0.065,0.125,0.138,0.168,0.186,0.065
"P07","6",0.022,0.033,0.041,0,0.053,0.093
"P07","7",0.02,0.064,0.054,0.009,0.009,0.025
"P07","8",0.02,0.035,0.056,0,0.04,0.015
"P07","9",0.165,0.421,0.409,0.048,0.341,0.411
"P09","Del Frente de Todos y el peronismo",0.839,0.114,0.035,0.095,0.187,0.215
"P09","De Juntos por el cambio",0.07,0.769,0.193,0.156,0.462,0.281
"P09","De los Liberales libertarios",0.009,0.027,0.674,0.013,0.045,0.072
"P09","De la Izquierda",0.018,0.009,0.018,0.525,0.003,0.008
"P09","No sabe",0.064,0.081,0.08,0.211,0.303,0.424
"P10","A Alberto Fernández",0.152,0.283,0.178,0.424,0.159,0.131
"P10","A Sergio Massa",0.188,0.294,0.437,0,0.411,0.427
"P10","A algún candidato del peronismo",0.1,0.151,0.347,0,0.162,0.099
"P10","A algún candidato del kirchnerismo",0.56,0.272,0.038,0.576,0.268,0.343
"P11","A Alberto Fernández",0.106,0.17,0.178,0,0.159,0.208
"P11","A Sergio Massa",0.111,0.181,0.088,0,0.353,0.388
"P11","A algún candidato del peronismo",0.054,0.243,0.696,0.132,0.322,0.061
"P11","A Cristina Fernández de Kirchner",0.729,0.406,0.038,0.868,0.166,0.343
"P12","A Horacio Rodriguez Larreta",0.181,0.276,0.115,0.918,0.032,0.113
"P12","A Mauricio Macri",0.254,0.362,0.341,0,0.482,0.348
"P12","A Patricia Bullrich",0.222,0.298,0.515,0.082,0.408,0.404
"P12","A Facundo Manes",0.325,0.049,0.019,0,0.048,0.018
"P12","A Gerardo Morales",0.018,0.015,0.01,0,0.03,0.117
"P13","Seguro lo votaria",0.069,0.14,0.335,0,0.108,0.028
"P13","Quizás lo votaría",0.349,0.365,0.56,0,0.461,0.538
"P13","Nunca lo votaría",0.582,0.495,0.105,1,0.431,0.434
"P14","Lo votaría",0.032,0.511,0.238,0,0.337,0.211
"P14","Puede que lo vote",0.033,0.249,0.298,0.082,0.148,0.168
"P14","Nunca lo votaría",0.89,0.188,0.402,0.865,0.449,0.541
"P14","No sabe",0.045,0.052,0.062,0.053,0.066,0.08
"P15","Lo votaría",0.242,0.079,0.037,0,0.091,0.135
"P15","Puede que lo vote",0.452,0.129,0.084,0.258,0.139,0.218
"P15","Nunca lo votaría",0.24,0.769,0.858,0.722,0.737,0.551
"P15","No sabe",0.066,0.023,0.021,0.02,0.033,0.096
"P16","Lo votaría",0.264,0.018,0.016,0.014,0.043,0.199
"P16","Puede que lo vote",0.415,0.069,0.005,0.3,0.094,0.111
"P16","Nunca lo votaría",0.211,0.876,0.972,0.633,0.786,0.546
"P16","No sabe",0.11,0.037,0.007,0.053,0.077,0.144
"P17","La votaría",0.803,0.049,0.03,0.131,0.026,0.228
"P17","Puede que la vote",0.135,0.042,0.021,0.239,0.107,0.061
"P17","Nunca la votaría",0.059,0.895,0.944,0.615,0.811,0.563
"P17","No sabe",0.003,0.014,0.005,0.015,0.056,0.148
"P18","Lo votaría",0.055,0.439,0.019,0.144,0.069,0.042
"P18","Puede que lo vote",0.069,0.378,0.315,0.061,0.312,0.287
"P18","Nunca lo votaría",0.849,0.152,0.639,0.686,0.521,0.463
"P18","No sabe",0.027,0.031,0.027,0.109,0.098,0.208
"P19","Lo votaría",0.023,0.135,0.028,0,0.08,0.086
"P19","Puede que lo vote",0.143,0.306,0.202,0.154,0.17,0.213
"P19","Nunca lo votaría",0.694,0.463,0.719,0.637,0.671,0.459
"P19","No sabe",0.14,0.096,0.051,0.209,0.079,0.242
"P20","La votaría",0.021,0.501,0.391,0,0.434,0.208
"P20","Puede que la vote",0.044,0.254,0.338,0.027,0.147,0.16
"P20","Nunca la votaría",0.917,0.202,0.249,0.847,0.404,0.444
"P20","No sabe",0.018,0.043,0.022,0.126,0.015,0.188
"P21","Lo votaría",0.009,0.057,0.671,0.025,0.029,0.034
"P21","Puede que lo vote",0.056,0.38,0.252,0,0.223,0.169
"P21","Nunca lo votaría",0.906,0.503,0.044,0.932,0.671,0.558
"P21","No sabe",0.029,0.06,0.033,0.043,0.077,0.239
"P22","La votaría",0.021,0.323,0.099,0.011,0.045,0.09
"P22","Puede que la vote",0.04,0.329,0.362,0.188,0.309,0.237
"P22","Nunca la votaría",0.898,0.301,0.488,0.682,0.53,0.459
"P22","No sabe",0.041,0.047,0.051,0.119,0.116,0.214
"P23","Lo votaría",0.201,0.064,0.006,0,0.019,0.048
"P23","Puede que lo vote",0.423,0.082,0.056,0.215,0.09,0.168
"P23","Nunca lo votaría",0.309,0.825,0.91,0.651,0.809,0.62
"P23","No sabe",0.067,0.029,0.028,0.134,0.082,0.164
"P24","Lo votaría",0.017,0.065,0.02,0,0.028,0.052
"P24","Puede que lo vote",0.086,0.299,0.129,0.015,0.118,0.191
"P24","Nunca lo votaría",0.803,0.564,0.785,0.903,0.699,0.517
"P24","No sabe",0.094,0.072,0.066,0.082,0.155,0.24
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.857,0.047,0.019,0.126,0.077,0.147
"P26","Alberto Fernández por el Frente de Todos",0.065,0.012,0.007,0.054,0.058,0.118
"P26","Mauricio Macri por Juntos por el cambio",0.014,0.302,0.111,0,0.215,0.12
