"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.457,0.371,0.403,0.619,0.472,0.32
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.178,0.291,0.161,0.149,0.232
"P04","No tengo trabajo",0.163,0.134,0.219,0.136,0.14,0.212
"P04","Soy jubilado o pensionado",0.163,0.317,0.087,0.084,0.239,0.236
"P05","1",0.177,0.418,0.37,0.159,0.307,0.22
"P05","2",0.042,0.068,0.075,0.051,0.101,0.06
"P05","3",0.032,0.066,0.119,0.07,0.031,0.071
"P05","4",0.049,0.079,0.077,0,0.086,0.125
"P05","5",0.086,0.187,0.175,0.161,0.258,0.254
"P05","6",0.061,0.029,0.02,0.157,0.023,0.053
"P05","7",0.153,0.052,0.03,0.217,0.102,0.021
"P05","8",0.094,0.03,0.017,0.032,0.048,0.008
"P05","9",0.306,0.071,0.117,0.153,0.044,0.188
"P06","1",0.458,0.163,0.123,0.176,0.279,0.273
"P06","2",0.096,0.057,0.025,0,0.019,0.035
"P06","3",0.068,0.028,0.025,0.113,0.015,0.027
"P06","4",0.049,0.024,0.056,0.25,0.044,0.044
"P06","5",0.115,0.147,0.118,0.313,0.288,0.271
"P06","6",0.024,0.05,0.057,0.044,0.097,0.096
"P06","7",0.032,0.085,0.04,0.018,0.095,0.028
"P06","8",0.011,0.112,0.111,0,0.043,0.035
"P06","9",0.147,0.334,0.445,0.086,0.12,0.191
"P07","1",0.596,0.202,0.201,0.53,0.287,0.343
"P07","2",0.062,0.04,0.026,0.007,0.058,0.007
"P07","3",0.041,0.012,0.047,0.25,0.003,0.017
"P07","4",0.011,0.026,0.026,0,0.013,0.022
"P07","5",0.056,0.122,0.141,0.096,0.139,0.147
"P07","6",0.016,0.06,0.032,0,0.022,0.068
"P07","7",0.017,0.067,0.047,0,0.069,0.015
"P07","8",0.015,0.05,0.046,0,0.038,0.009
"P07","9",0.186,0.421,0.434,0.117,0.371,0.372
"P09","Del Frente de Todos y el peronismo",0.866,0.03,0.041,0.049,0.281,0.165
"P09","De Juntos por el cambio",0.05,0.853,0.119,0.147,0.371,0.199
"P09","De los Liberales libertarios",0.017,0.067,0.715,0.017,0.063,0.093
"P09","De la Izquierda",0.012,0.006,0.027,0.407,0.008,0.025
"P09","No sabe",0.055,0.044,0.098,0.38,0.277,0.518
"P10","A Alberto Fernández",0.165,0.367,0.156,0.357,0.069,0.297
"P10","A Sergio Massa",0.176,0.139,0.362,0.254,0.594,0.474
"P10","A algún candidato del peronismo",0.097,0.494,0.482,0.249,0.18,0.13
"P10","A algún candidato del kirchnerismo",0.562,0,0,0.14,0.157,0.099
"P11","A Alberto Fernández",0.116,0.367,0.033,0,0.105,0.369
"P11","A Sergio Massa",0.104,0.139,0.053,0.253,0.455,0.429
"P11","A algún candidato del peronismo",0.052,0.494,0.791,0.249,0.347,0.087
"P11","A Cristina Fernández de Kirchner",0.728,0,0.123,0.498,0.093,0.115
"P12","A Horacio Rodriguez Larreta",0.243,0.161,0.12,1,0.4,0.489
"P12","A Mauricio Macri",0.092,0.464,0.178,0,0.093,0.088
